restaurant,address,city,state,zip,inspection_date,score,latitude,longitude
PruittHealth-Fairburn,7560 Butner RD,Fairburn,GA,30213,3/29/19,81,33.6421342,-84.6358015
Dolvin ElementarySchool,10495 Jones Bridge,Alpharetta,GA,30201,3/5/20,100,34.0361999,-84.2327369
Domino's Pizza #5705,7529 Roswell RD,Atlanta,GA,30350,1/6/20,100,33.9610268,-84.3638379
Domino's Pizza #4163,10955 Jones Bridge RD NE STE 103,Alpharetta,GA,30022,11/18/19,99,34.0453816,-84.2213751
Domino's Pizza #4192,12460 Crabapple STE 102,Alpharetta,GA,30004,3/11/19,100,34.0850282,-84.357207
American Legion,201 Wills RD,Alpharetta,GA,30201,3/20/19,96,34.0744323,-84.3124429
Domino's Pizza #4121,9925 Haynes Bridge RD STE 630,Alpharetta,GA,30022,10/23/19,100,34.0231649,-84.2675497
Arby's #6796,1090 Hammond DR,Atlanta,GA,30328,11/14/19,100,33.9193497,-84.3533423
Gibney's Pubs,231 Peachtree Center AVE,Atlanta,GA,30303,1/27/20,87,33.7603687,-84.3863588
Chic-A-Loes,2879 East Point ST,Eastpoint,GA,30344,6/12/19,93,33.6767422,-84.4432352
Dunwoody Country Club Kitchen I,1600 Dunwoody Club DR,Atlanta,GA,30350,7/11/19,100,33.9653997,-84.3133323
Publico (KITCHEN),1104 Crescent AVE,Atlanta,GA,30309,11/14/19,96,33.7848194,-84.3846357
Eats,600 Ponce De Leon AVE,Atlanta,GA,30308,8/29/19,99,33.7736968,-84.3672046
River Eves Elementary School,9000 Eaves,Roswell,GA,30076,10/16/19,100,33.9935249,-84.3113864
McDonald's,2350 Cheshire Bridge RD,Atlanta,GA,30324,6/28/19,100,33.8194244,-84.3519456
New Horizons Sr. Center,745 Orr ST,Atlanta,GA,30314,6/6/19,95,33.7631158,-84.4116036
Pacific Rim Bistro,303 Peachtree Center AVE NE,Atlanta,GA,30308,5/29/19,84,33.7627649,-84.3864991
Einstein Brothers,"1100 Hammond Dr , Suite 600",Atlanta,GA,30328,11/5/19,100,33.9195355,-84.3525657
Rheas II,11490 Alpharetta HWY,Roswell,GA,30076,11/12/19,80,34.0604236,-84.325649
Sotto Sotto,313 North Highland AVE,Atlanta,GA,30307,11/17/16,90,33.7630372,-84.3576759
Soul Vegetarian South,879 Ralph David Abernathy BLVD STE B,Atlanta,GA,30310,4/8/19,86,33.7384972,-84.4166511
St. Ives Country Club Main Bar,1 St. Ives Country Club DR,Duluth,GA,30097,8/24/18,94,34.0307173,-84.1833447
El Ponce,939 Ponce De Leon AVE,Atlanta,GA,30306,11/19/19,81,33.7735389,-84.3566285
Subway,68 Broad ST,Atlanta,GA,30303,1/22/20,96,33.7560067,-84.3894245
Voya Bistro,4711 Best RD,College Park,GA,30337,5/15/19,87,33.6261841,-84.4608054
The Local,758 Ponce De Leon AVE,Atlanta,GA,30306,9/23/16,96,33.7741456,-84.3622967
El Porton,11950 Jones Bridge,Alpharetta,GA,30022,6/20/19,95,34.0713997,-84.2044383
"El Taco Veloz II, Inc.",5670 Roswell RD,Atlanta,GA,30342,6/20/19,84,33.9092553,-84.3791133
Esther Jackson Elementary School,1400 Martin RD,Roswell,GA,30076,3/4/20,100,34.0113129,-84.3185341
Evoline C West Elem Sch,7040 Rivertown,Fairburn,GA,30213,10/23/19,100,33.5724152,-84.6199496
Fancy Pantry,10595 Old Alabama Rd Connector,Alpharetta,GA,30022,9/24/19,100,34.0202782,-84.2757333
Fannie's Rest. & Lounge,4401 Fulton Industrial BLVD,Atlanta,GA,30336,10/16/18,93,33.7650179,-84.5324928
Fat Matts Rib Shack,1811 Piedmont RD NE,Atlanta,GA,30324,6/20/19,98,33.8080596,-84.3658903
Fellini's,1991 Howell Mill RD,Atlanta,GA,30318,3/18/19,95,33.8091969,-84.4125779
Fellini's Pizza,4429 Roswell RD,Atlanta,GA,30342,2/28/14,97,33.8760655,-84.3799745
Fellini's Pizza,4429 Roswell RD,Atlanta,GA,30342,1/6/20,97,33.8760655,-84.3799745
Findley Oaks Elementary School,5880 Finley Chase DR,Duluth,GA,30097,9/18/19,100,34.061255,-84.186453
Cafe Xpress,675 West Peachtree ST STE C-1,Atlanta,GA,30308,10/17/19,98,33.7727744,-84.3866474
Fox Theatre,660 Peachtree ST NE,Atlanta,GA,30308,1/18/19,100,33.772423,-84.3850225
Subway,1175 Ralph David Abernathy BLVD,Atlanta,GA,30310,11/5/19,77,33.7388996,-84.4262274
Anna Lee's,425 Market PL,Roswell,GA,30076,11/7/19,100,34.0310237,-84.3408532
Chef For A Night,499 Peachtree ST,Atlanta,GA,30308,3/28/19,95,33.7681501,-84.3852112
Georgia Grille,2290 Peachtree RD N,Atlanta,GA,30309,7/3/19,99,33.8171632,-84.3900366
Annie Thai Castle,3195 Roswell RD,Atlanta,GA,30305,8/29/19,92,33.8422175,-84.3784766
Food 101,4969 Roswell RD STE 200,Atlanta,GA,30342,12/18/18,97,33.8900622,-84.3807352
Ghion Cultural Hall,2080 Cheshire Bridge RD,Atlanta,GA,30324,12/18/17,92,33.8125269,-84.3551497
Greyhound Lines Food Service,232 Forsyth ST,Atlanta,GA,30303,9/3/18,97,33.748501,-84.3963356
Gold Rush Kitchen,2608 Metropolitan PKWY S,Atlanta,GA,30315,7/9/19,70,33.683733,-84.4072165
Goldberg's Bagel Company,4383 Roswell RD,Atlanta,GA,30342,9/13/19,100,33.8741705,-84.380949
Wendy's,5965 Bakers Ferry RD,Atlanta,GA,30336,3/27/19,99,33.7311475,-84.5737445
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
