	NAICS_Sector	NAICS2012_TTL	state	relevant_naics	COUNTY	id	GEO_TTL	estab	emp	payann	estimate
0	11	Fishing	18	1141	35	18035	Delaware County, Indiana	1.0	0.0	0.0	0.8
1	11	Fishing	18	1141	79	18079	Jennings County, Indiana	1.0	0.0	0.0	1.0
2	11	Fishing	18	1141	89	18089	Lake County, Indiana	1.0	0.0	0.0	1.0
3	11	Forest nurseries and gathering of forest products	18	1132	173	18173	Warrick County, Indiana	1.0	0.0	0.0	1.0
4	11	Hunting and trapping	18	1142	47	18047	Franklin County, Indiana	1.0	4.6103896103896105	185.88365800865802	1.0
5	11	Hunting and trapping	18	1142	51	18051	Gibson County, Indiana	1.0	4.226190476190476	185.08779761904762	1.0
6	11	Hunting and trapping	18	1142	57	18057	Hamilton County, Indiana	1.0	4.226190476190476	185.08779761904762	1.0
7	11	Hunting and trapping	18	1142	65	18065	Henry County, Indiana	1.0	0.0	153.64583333333331	1.0
8	11	Hunting and trapping	18	1142	69	18069	Huntington County, Indiana	1.0	5.071428571428571	188.40535714285716	1.0
9	11	Hunting and trapping	18	1142	103	18103	Miami County, Indiana	1.0	5.071428571428571	188.40535714285716	1.0
10	11	Hunting and trapping	18	1142	119	18119	Owen County, Indiana	1.0	4.226190476190476	185.08779761904762	1.0
11	11	Hunting and trapping	18	1142	141	18141	St. Joseph County, Indiana	1.0	4.6103896103896105	185.88365800865802	1.0
12	11	Logging	18	1133	1	18001	Adams County, Indiana	1.0	3.032860330505477	92.18174185519021	1.0
13	11	Logging	18	1133	3	18003	Allen County, Indiana	2.9	10.601360904913397	177.10342950983858	0.925
14	11	Logging	18	1133	21	18021	Clay County, Indiana	2.9	5.2353039943442905	176.25890037704727	0.95
15	11	Logging	18	1133	23	18023	Clinton County, Indiana	1.0	3.676519971721456	84.79450188523624	1.0
16	11	Logging	18	1133	25	18025	Crawford County, Indiana	3.725	8.547530045952634	156.00384043242607	0.95
17	11	Logging	18	1133	27	18027	Daviess County, Indiana	1.0	2.982814040669009	93.02636997451202	1.0
18	11	Logging	18	1133	29	18029	Dearborn County, Indiana	1.0	3.032860330505477	92.18174185519021	1.0
19	11	Logging	18	1133	31	18031	Decatur County, Indiana	1.0	3.6341463414634148	71.07317073170732	1.0
20	11	Logging	18	1133	33	18033	DeKalb County, Indiana	1.0	3.032860330505477	92.18174185519021	1.0
21	11	Logging	18	1133	37	18037	Dubois County, Indiana	5.05	7.7679347826086955	439.066847826087	0.875
22	11	Logging	18	1133	47	18047	Franklin County, Indiana	3.05	8.584039634146341	260.5891920731707	0.925
23	11	Logging	18	1133	49	18049	Fulton County, Indiana	1.95	5.886280045952629	180.53828487687036	1.0
24	11	Logging	18	1133	51	18051	Gibson County, Indiana	1.0	3.6341463414634148	71.07317073170732	1.0
25	11	Logging	18	1133	55	18055	Greene County, Indiana	2.0	5.883200335807702	182.1769322198655	0.975
26	11	Logging	18	1133	61	18061	Harrison County, Indiana	2.975	9.40670731707317	236.22865853658536	0.875
27	11	Logging	18	1133	65	18065	Henry County, Indiana	1.0	3.032860330505477	92.18174185519021	1.0
28	11	Logging	18	1133	71	18071	Jackson County, Indiana	3.025	10.125	231.725	0.85
29	11	Logging	18	1133	77	18077	Jefferson County, Indiana	1.025	3.1237139890420624	93.95857112348288	1.0
30	11	Logging	18	1133	79	18079	Jennings County, Indiana	2.9210526315789473	8.677861109560752	272.00423689791813	1.0
31	11	Logging	18	1133	83	18083	Knox County, Indiana	1.0	3.9837398373983737	76.13380758807588	1.0
32	11	Logging	18	1133	85	18085	Kosciusko County, Indiana	1.0	2.961342592592591	93.00254629629622	1.0
33	11	Logging	18	1133	91	18091	LaPorte County, Indiana	1.0	3.032860330505477	92.18174185519021	1.0
34	11	Logging	18	1133	93	18093	Lawrence County, Indiana	2.1	6.120050813008127	194.97775406504047	0.925
35	11	Logging	18	1133	95	18095	Madison County, Indiana	1.0	3.028699776128194	91.85369396029516	1.0
36	11	Logging	18	1133	97	18097	Marion County, Indiana	1.0	3.6341463414634148	71.07317073170732	1.0
37	11	Logging	18	1133	103	18103	Miami County, Indiana	1.0	2.982814040669009	93.02636997451202	1.0
38	11	Logging	18	1133	105	18105	Monroe County, Indiana	3.0	9.158946845174974	278.59705483386347	0.975
39	11	Logging	18	1133	117	18117	Orange County, Indiana	3.85	11.564602332979845	356.4408268528335	1.0
40	11	Logging	18	1133	119	18119	Owen County, Indiana	1.0	3.9837398373983737	76.13380758807588	1.0
41	11	Logging	18	1133	121	18121	Parke County, Indiana	1.975	5.740548338635557	177.66206536467524	0.975
42	11	Logging	18	1133	123	18123	Perry County, Indiana	3.0	12.375	474.1	0.85
43	11	Logging	18	1133	133	18133	Putnam County, Indiana	2.0	6.065720661010954	184.36348371038042	1.0
44	11	Logging	18	1133	135	18135	Randolph County, Indiana	1.0	4.333333333333333	81.19444444444444	1.0
45	11	Logging	18	1133	137	18137	Ripley County, Indiana	2.075	6.592346677271118	204.8251029515728	0.95
46	11	Logging	18	1133	147	18147	Spencer County, Indiana	2.05	6.262640950866027	188.44171438670892	1.0
47	11	Logging	18	1133	151	18151	Steuben County, Indiana	1.0	3.028699776128194	91.85369396029516	1.0
48	11	Logging	18	1133	153	18153	Sullivan County, Indiana	1.0	2.9676609536365617	93.32614260602058	1.0
49	11	Logging	18	1133	155	18155	Switzerland County, Indiana	1.0	2.961342592592591	93.00254629629622	1.0
50	11	Logging	18	1133	165	18165	Vermillion County, Indiana	1.0	3.032860330505477	92.18174185519021	1.0
51	11	Logging	18	1133	167	18167	Vigo County, Indiana	2.0	6.065720661010954	184.36348371038042	1.0
52	11	Logging	18	1133	173	18173	Warrick County, Indiana	2.975	7.700516967126194	211.96888918345704	0.9
53	11	Logging	18	1133	175	18175	Washington County, Indiana	2.025	6.163546747967476	184.21674457994564	0.975
54	11	Logging	18	1133	183	18183	Whitley County, Indiana	1.0	3.6906445151408036	89.36827893641255	1.0
55	11	Support activities for animal production	18	1152	3	18003	Allen County, Indiana	4.072727272727272	9.418181818181818	77.8	0.8909090909090909
56	11	Support activities for animal production	18	1152	11	18011	Boone County, Indiana	4.072727272727272	10.6	286.56363636363636	0.8909090909090909
57	11	Support activities for animal production	18	1152	19	18019	Clark County, Indiana	1.0	2.8680765306398923	84.1654630100691	1.0
58	11	Support activities for animal production	18	1152	21	18021	Clay County, Indiana	1.0	2.886025771482801	85.02888585103796	1.0
59	11	Support activities for animal production	18	1152	23	18023	Clinton County, Indiana	1.0	2.8680765306398923	84.1654630100691	1.0
60	11	Support activities for animal production	18	1152	27	18027	Daviess County, Indiana	1.0	2.8680765306398923	84.1654630100691	1.0
61	11	Support activities for animal production	18	1152	29	18029	Dearborn County, Indiana	2.0	5.736153061279785	168.3309260201382	1.0
62	11	Support activities for animal production	18	1152	31	18031	Decatur County, Indiana	1.9636363636363636	5.667022554762708	165.94662199989952	1.0
