STATEFP,COUNTYFP,GEOID,NAME,NAMELSAD,longitude,latitude,state,ABBR,sq_miles,totalpop18
42,007,42007,Beaver,Beaver County,-80.3507209,40.6841401,Pennsylvania,PA,444.042239317196,166896
42,053,42053,Forest,Forest County,-79.249705,41.513304,Pennsylvania,PA,430.496436203461,7351
42,117,42117,Tioga,Tioga County,-77.2572881,41.7668593,Pennsylvania,PA,1136.96530890455,41226
42,043,42043,Dauphin,Dauphin County,-76.7926343,40.4125646,Pennsylvania,PA,558.175552308249,274515
42,127,42127,Wayne,Wayne County,-75.2924932,41.6466021,Pennsylvania,PA,750.614175846107,51536
42,059,42059,Greene,Greene County,-80.2256552,39.8477067,Pennsylvania,PA,577.977522534173,37144
42,065,42065,Jefferson,Jefferson County,-79.012419,41.1380282,Pennsylvania,PA,656.800724110001,44084
42,109,42109,Snyder,Snyder County,-77.0729288,40.7554068,Pennsylvania,PA,331.546909411866,40466
42,031,42031,Clarion,Clarion County,-79.4203691,41.1981594,Pennsylvania,PA,609.843895488801,38827
42,033,42033,Clearfield,Clearfield County,-78.473749,41.0002489,Pennsylvania,PA,1153.92316575017,80216
42,063,42063,Indiana,Indiana County,-79.0875451,40.6514319,Pennsylvania,PA,834.282811040027,85755
42,099,42099,Perry,Perry County,-77.2663284,40.3977795,Pennsylvania,PA,555.537588718057,45924
42,023,42023,Cameron,Cameron County,-78.1983225,41.4382909,Pennsylvania,PA,398.416392525007,4686
42,019,42019,Butler,Butler County,-79.9189776,40.9138467,Pennsylvania,PA,795.73289162134,186566
42,101,42101,Philadelphia,Philadelphia County,-75.1333459,40.0093755,Pennsylvania,PA,142.698680167269,1575522
42,057,42057,Fulton,Fulton County,-78.1226171,39.9107505,Pennsylvania,PA,438.055432599717,14506
42,015,42015,Bradford,Bradford County,-76.5021231,41.7915044,Pennsylvania,PA,1161.01942481751,61304
42,061,42061,Huntingdon,Huntingdon County,-77.9685953,40.4223108,Pennsylvania,PA,889.266461394565,45421
42,009,42009,Bedford,Bedford County,-78.4947466,39.9986336,Pennsylvania,PA,1016.9052842935,48611
42,073,42073,Lawrence,Lawrence County,-80.3344455,40.9927352,Pennsylvania,PA,361.783663485218,87382
42,035,42035,Clinton,Clinton County,-77.69636,41.262624,Pennsylvania,PA,896.933564072412,39074
42,037,42037,Columbia,Columbia County,-76.4042599,41.0455174,Pennsylvania,PA,490.159392414803,66220
42,011,42011,Berks,Berks County,-75.9268598,40.4139565,Pennsylvania,PA,865.753947773659,416642
