"city","facebook","name","state","street","tags","twitter","type","website","x","y","zip"
"Wye Mills","","A. H. Herb'n Craft Farm","Maryland","13433 Ocean Gateway (US Route 50)","bedding plants eggs herbs fresh-fruits fresh-vegetables honey nursery-stock nuts poultry fowl soap body-care wild-harvested forest-products","","farm","","-76.062360","38.936137","21679"
"Accokeek","www.facebook.com/accokeekfoundation","Accokeek Foundation - Ecosystem Farm Market","Maryland","3400 Bryan Point Road","eggs herbs fresh-fruits fresh-vegetables honey","twitter.com/Accokeek","farm","www.accokeekfoundation.org","-77.060180","38.691496","20607"
"Westminster","baughers","Baugher's Orchard & Farm","Maryland","1015 Baugher Road","baked-goods bedding plants canned preserved crafts woodworking dairy products eggs fresh-fruits fresh-vegetables honey juices ciders maple-products","","farm","www.baughers.com","-77.0502021","39.6020820","21158"
"Germantown","https://www.facebook.com/ButlersOrchard1","Butler's Orchard","Maryland","22222 Davis Mill Road","baked-goods bedding plants canned preserved coffee tea dairy products eggs herbs fresh-fruits fresh-vegetables honey maple-products nursery-stock nuts prepared foods soap body-care","https://twitter.com/ButlersOrchard","farm","http://www.butlersorchard.com/","-77.223226","39.221380","20876"
"Upper Marlboro","www.facebook.com/cabincreekheritagefarm","Cabin Creek Heritage Farm","Maryland","18235 Clagett Landing Road","baked-goods canned preserved cut-flowers eggs herbs fresh-fruits fresh-vegetables poultry fowl prepared foods red-meat non-poultry-meat soap body-care","twitter.com   @PasturedFarmer","farm","www.cabincreekheritagefarm.com","-76.687062","38.873444","20774"
"Davidsonville","","Chase's Produce","Maryland","2857  Davidsonville Rd","fresh-fruits fresh-vegetables","","farm","","0.437050","0.289763","21035"
"Clarksburg","https://www.facebook.com/Citizens-of-Earth-466859626793595/","Citizens of Earth","Maryland","12600 Piedmont Road ","fresh-fruits fresh-vegetables","","farm","thecitizensofearth.org ","-77.2609970","39.2434310","20871"
"Ellicott CIty","https://www.facebook.com/ClarksProduce","Clark's Elioak Farm","Maryland","10500 Clarksville Pike","eggs fresh-vegetables poultry fowl","","farm","http://clarklandfarm.com/","-76.876279","39.235883","21042"
"Williamsport ","","Columbine Manor","Maryland","16290 Spielman Road","nuts","","farm","cm-longhornbeef.com","-77.8089000","39.5638270","21795"
"WESTMINSTER","https://www.facebook.com/cultivale","Cultivale Farm","Maryland","717 MULLER RD","eggs red-meat non-poultry-meat","","farm","www.cultivale.com","-77.022237","39.475424","21157"
"Westminster","www.facebook/evermorefarm","Evermore Farm","Maryland","150 Rockland Road","eggs poultry fowl red-meat non-poultry-meat","https://www.twitter.com/evermorefarm","farm","www.evermorefarm.com","-77.048689","39.579598","21158"
"Mt. Airy","www.facebook.com/gaverfarm","Gaver Farm, LLC","Maryland","5501 Detrick Road","baked-goods canned preserved crafts woodworking fresh-fruits fresh-vegetables honey soap body-care","","farm","www.gaverfarm.com","-77.240356","39.382212","21771"
"Tyaskin","https://www.facebook.com/habanerafarm","Habanera Farm, LLC","Maryland","2916 Whitehaven Road","coffee tea","","farm","http://www.habanerafarm.com/","-75.7951050","38.2744420","21865"
"Clarksburg","www.facebook.com/HiltonsFarmandGarden","Hilton's Farm & Garden","Maryland","24801 Burnt Hill Road","baked-goods bedding plants crafts woodworking cut-flowers eggs herbs fresh-vegetables soap body-care","","farm","","-77.257396","39.264681","20871"
"Dickerson","","Jehovah Jireh Farm","Maryland","7033 Ed Sears Rd","eggs honey pet-food poultry fowl red-meat non-poultry-meat soap body-care","","farm","www.Jehovahjirehfarm.com","-77.418607","39.260721","20842"
"Middletown","www.facebook.com/smcdairy","Karen's Kountry Store","Maryland","8305 Bolivar Road","canned preserved coffee tea dairy products eggs fish seafood herbs fresh-vegetables honey juices ciders maple-products poultry fowl red-meat non-poultry-meat","www.twitter.com/southmtcreamery","farm","www.southmountaincreamery.com","-77.6029605","39.4585804","21769"
"Adamstown","","Nick's Organic Farm-Buckeystown","Maryland","2733 Buckeystown Pike","eggs grains flour poultry fowl red-meat non-poultry-meat","","farm","www.nicksorganicfarm.com","-77.442373","39.310287","21710"
"Potomac","","Nick's Organic Farm-Potomac","Maryland","8565 Horseshoe Lane","eggs grains flour poultry fowl red-meat non-poultry-meat","","farm","www.nicksorganicfarm.com","-77.2178494","38.9966381","20854"
"Hurlock","Pop's Old Place","Pop's Old Place","Maryland","4657 Skinners Run Road","poultry fowl red-meat non-poultry-meat","","farm","www.PopsOldPlace.com","-75.8577030","38.6853330","21643"
"Mount Airy","https://www.facebook.com/rockhillorchard/?fref=ts","Rock Hill Orchard","Maryland","28600 Ridge Rd","baked-goods bedding plants canned preserved cut-flowers dairy products eggs herbs fresh-fruits fresh-vegetables honey juices ciders maple-products poultry fowl red-meat non-poultry-meat","@rockhillorchard","farm","http://www.rockhillorchard.com","-77.194802","39.327127","21771"
"White Hall","https://www.facebook.com/shaworchards","Shaw Orchards","Maryland","5594 Norrisville Rd","baked-goods canned preserved crafts woodworking cut-flowers fresh-fruits fresh-vegetables honey juices ciders maple-products nuts","","farm","www.shaworchards.com","-76.547311","39.721081","21161"
"Pocomoke City","Shi-Mar Farms","Shimar Farms","Maryland","3017 Klej Grange Rd","grains flour red-meat non-poultry-meat","","farm","","-75.456314","38.097410","21851"
"Chestertown","https://www.facebook.com/tag.alpacas","Tag Along Alpacas, LLC","Maryland","8139 Broadneck Road","","","farm","www.tagalongalpacas.com","-76.125663","39.200861","21620"
"Westminster","https://www.facebook.com/thornefarm","Thorne Farm","Maryland","1130 Martin Drive","bedding plants eggs","","farm","http://www.thornefarm.com","-76.956602","39.598136","21157"
"Church Hill","https://www.facebook.com/unitychurchhill.nursery","Unity Church Hill","Maryland","3621 Church Hill Road, Church Hill, MD 21623","canned preserved cut-flowers herbs fresh-fruits fresh-vegetables honey maple-products nursery-stock soap body-care","","farm","http://unitynursery.com/","-76.0071553","39.1262217","21623"
"mount airy","","Wagon Wheel Ranch","Maryland","661 west watersville rd","eggs pet-food poultry fowl red-meat non-poultry-meat","","farm","www.wagonwheelranch.org","-77.1138157","39.3590151","21771"
"Baltimore","","Whitelock Community Farm ","Maryland","930 Whitelock Street","fresh-vegetables","","farm","www.whitelockfarm.org","-76.634006","39.314492","21217"
"Emmitsburg","","Whitmore Farm","Maryland","10720 Dern Road","eggs fresh-vegetables pet-food poultry fowl red-meat non-poultry-meat","","farm","www.whitmorefarm.com","-77.2919250","39.6551050","21727"
"Severn","https://www.facebook.com/pages/Willow-Oak-flower-and-Herb-Farm/240128883193?v=info","Willow Oak Flower & Herb Farm","Maryland","8109 Telegraph Rd","bedding plants coffee tea crafts woodworking cut-flowers eggs herbs fresh-fruits fresh-vegetables honey nursery-stock soap body-care wild-harvested forest-products","","farm","www.willowoakherbs.com","-76.691217","39.112864","21144"
"Baltimore","https://www.facebook.com/pages/Baltimores-32nd-Street-Farmers-Market/194872083921466?sk=wall","32nd Street/Waverly Farmers Market","Maryland","E. 32nd & Barclay Street","organic baked goods cheese flowers eggs herbs vegetables honey jams meat nuts plants poultry prepared fruits","","market","http://www.32ndstreetmarket.org","-76.611","39.3272","21218"
"Annapolis","","AAMC Farmers's Market","Maryland","2001 Medical Parkway, Sajak Pavilion","","","market","","-76.6123","39.006","21401"
"Berlin","","AGH Wellness Committee Farmer's Market","Maryland","9733 Healthway Drive","","","market","","-75.2113","38.3388","21811"
"Annapolis","Anne Arundel County Farmers Market, INC","Anne Arundel County Farmers' Market  (Riva)","Maryland","Riva Road & Harry S Truman pkwy","organic baked goods cheese crafts flowers eggs seafood herbs vegetables honey jams meat nuts plants poultry prepared soap trees wine coffee fruits juices mushrooms pet food wild","","market","http://www.aacofarmersmarket.com/","-76.5556","38.9763","21401"
"Lutherville=Timonium","","Baltimore County Farmers' Market","Maryland","2200 York Road","vegetables","","market","http://www.baltimorecountyfarmersmarket.com","-76.6264","39.4398","21093"
"Baltimore","","Baltimore Farmers' Market","Maryland","400 unit block of Saratoga Street","organic baked goods cheese crafts flowers eggs seafood herbs vegetables honey jams maple meat nursery nuts plants poultry prepared soap trees","","market","http://www.promotionandarts.org","-76.6214780","39.2929004","21210"
"Crisfield ","Bayside Harvest Market","Bayside Harvest Market","Maryland","930 Main Street","baked goods eggs seafood herbs vegetables honey jams plants fruits","","market","http://somosinc.org","-75.8616660","37.9791310","21817"
"Bel Air","BelAir Farmers Market","Bel Air Farmers' Market","Maryland","2 South Bond Street","organic baked goods cheese crafts flowers eggs herbs vegetables honey jams maple meat plants poultry prepared soap trees wine coffee fruits mushrooms pet food","@belairfm","market","http://www.BelAirFarmersMarket.com","-76.351011","39.535284","21014"
"Berlin","","Berlin  Farmers' Market","Maryland","N. Main & West St.- Downtown Historic Berlin","baked goods flowers vegetables jams plants","","market","http://www.berlinchamber.org/event-farmers-market","-76.8194","39.0641","21811"
