zcta,population,poverty,poverty_under18,poverty_18to65,poverty_over65,education,work_experience,working_fulltime,working_fulltime_poverty
00601,17547,11282,3149,6436,1697,11841,13997,342,13
00602,39156,20428,4839,12989,2600,27504,32391,909,210
00603,48506,25176,6892,14143,4141,33590,39471,1437,112
00606,6304,4092,1081,2596,415,4346,5179,87,16
00610,27483,12553,3282,7211,2060,19176,22719,739,77
00612,62345,29872,8105,16454,5313,43061,51048,1525,233
00616,10653,5364,741,3286,1337,7783,9223,158,20
00617,24481,11774,3265,6919,1590,16643,19661,506,25
00622,7311,4013,939,2153,921,5419,6289,169,30
00623,42248,22008,5318,12460,4230,29546,34530,1236,170
00624,23109,13092,3747,7892,1453,15293,18255,500,94
00627,32872,15927,4468,8941,2518,22752,26948,708,144
00631,1555,922,132,532,258,1205,1406,60,0
00637,23499,11506,2242,6891,2373,16189,19266,359,9
00638,17018,9961,2685,5715,1561,11688,13824,365,36
00641,28307,14903,3926,8643,2334,19635,23289,282,9
00646,37967,12709,3197,7684,1828,25528,30296,1185,37
00647,5610,3551,803,2219,529,4148,4876,33,0
00650,14646,8200,2312,4690,1198,9651,11838,295,56
00652,3672,1597,559,791,247,2466,2834,255,33
00653,11698,7737,2285,4223,1229,7792,9140,267,47
00656,19454,10869,3019,6158,1692,13253,15608,524,32
00659,40862,18522,4441,10326,3755,28658,33649,943,166
00660,16462,6476,1622,3368,1486,12017,13738,437,67
00662,41082,21976,5049,12987,3940,28672,33654,973,107
00664,15143,9164,2791,5366,1007,9873,12124,272,86
00667,24022,14529,3542,8464,2523,17036,20005,589,53
00669,26240,14802,3376,8805,2621,18227,21580,412,55
00670,8722,4982,1520,2745,717,5946,7026,139,9
00674,40688,18834,4899,10646,3289,27927,33087,1077,184
00676,37670,21724,5644,12893,3187,25432,30301,634,29
00677,14547,7047,1656,3945,1446,10596,12234,538,116
00678,26635,13864,3570,8206,2088,18322,21759,748,42
00680,47240,23993,5285,14136,4572,32227,40157,1149,149
00682,32480,17330,4545,10330,2455,20615,26891,995,40
00683,30955,16122,4173,9175,2774,21762,25488,834,85
00685,38687,21573,5071,11874,4628,27266,31643,607,89
00687,31738,15639,4580,9178,1881,20981,25472,748,95
00688,11621,6151,1537,3521,1093,8313,9796,476,68
00690,5587,2752,665,1479,608,3801,4574,380,63
00692,35359,17824,5303,10316,2205,23499,28033,750,145
00693,56008,24547,5991,13966,4590,38656,45729,1516,56
00694,88,42,0,16,26,88,88,0,0
00698,37229,18728,4484,10572,3672,26173,30600,678,29
00703,27004,13350,3514,7857,1979,18723,22113,473,100
00704,7787,4461,1521,2481,459,4927,6044,112,0
00705,23810,11827,3322,6671,1834,16537,19450,526,124
00707,11235,5945,1454,3451,1040,7853,9259,228,0
00714,18350,10346,2761,6300,1285,12317,14726,324,56
00715,3645,2439,649,1218,572,2534,2848,50,0
00716,29064,14157,4169,7695,2293,20568,23830,987,82
00717,16909,10048,3064,5602,1382,11006,13558,663,33
00718,25981,12777,3960,7226,1591,17187,20692,800,30
00719,29531,13849,3550,7983,2316,20203,24031,558,85
00720,21651,12103,3384,7161,1558,14217,17401,466,73
00723,17826,10182,2491,6015,1676,12465,14617,450,29
00725,82435,34629,9592,19582,5455,57177,67352,3718,232
00727,55763,17736,4789,10057,2890,38267,45470,3207,153
00728,37984,18782,5665,10928,2189,25291,30580,1083,149
00729,51949,21939,5954,13074,2911,35096,41737,1398,93
00730,32664,17834,5181,9930,2723,22102,26427,1137,166
00731,13794,7621,2384,4298,939,9445,11302,258,107
00735,12733,5579,1384,3062,1133,8894,10516,612,13
00736,48391,21635,5615,12566,3454,34048,39910,2163,298
00738,31370,13443,4021,7092,2330,21373,25352,1202,83
00739,37251,15775,4388,9071,2316,25180,29799,1315,79
00740,1517,928,309,518,101,950,1230,73,10
00741,5106,2178,585,1342,251,3796,4398,185,60
00745,51773,19531,5193,10937,3401,35463,42310,1856,142
00751,22071,11879,3166,6684,2029,14956,17792,717,127
00754,38576,17606,4567,10237,2802,26740,31428,1274,158
00757,22475,11045,3301,6271,1473,14646,17731,669,70
00765,8721,3226,1232,1453,541,6168,7000,500,72
00766,23733,11955,3722,6788,1445,15682,19114,639,132
00767,34934,18314,4564,10321,3429,24152,28502,902,91
00769,39543,19083,5353,11223,2507,27238,31975,1388,180
00771,37628,17258,4452,10094,2712,25885,30470,994,52
00772,20784,12014,3489,6814,1711,13739,16602,542,42
00773,18791,8649,2229,4915,1505,12866,15379,569,40
00775,1459,615,130,351,134,1105,1215,86,19
00777,40552,20541,5459,12395,2687,27027,32594,1530,51
00778,46617,14361,3577,8511,2273,31649,37404,2027,83
00780,11596,4591,1075,2926,590,7866,9245,710,103
00782,18058,10576,2662,6299,1615,12208,14693,441,0
00783,34055,19045,5316,11203,2526,22747,27276,481,100
00784,39588,21515,6021,12244,3250,26427,31738,1340,179
00786,249,51,0,24,27,249,249,0,0
00791,49134,22625,6284,13075,3266,34176,40167,1732,49
