zcta,population,poverty,poverty_under18,poverty_18to65,poverty_over65,education,work_experience,working_fulltime,working_fulltime_poverty
45216,9539,2521,920,1503,98,6543,7601,1008,103
45217,6937,1197,534,634,29,4301,5207,619,39
45218,3716,343,150,173,20,2670,2962,227,0
45219,14153,7682,553,6984,145,4895,13048,1805,174
45220,13850,4170,435,3633,102,8679,12257,2208,165
45223,12044,5146,2382,2553,211,7255,8695,1670,123
45224,19343,2960,761,1777,422,14238,15895,1558,27
45225,8430,4925,2295,2515,115,4443,5608,531,23
45226,5650,529,108,402,19,4254,4777,1294,0
45227,18112,3116,801,1894,421,12585,14608,2131,89
45229,11697,4890,1931,2703,256,7632,9034,1198,29
45230,26881,2382,581,1547,254,18982,21069,2487,32
45231,40105,7167,3432,3324,411,26823,31320,2987,87
45232,6920,4190,2191,1943,56,2965,4179,292,34
45233,15017,969,330,444,195,9642,11717,583,0
45236,23633,2240,629,1331,280,17477,19568,2704,23
45237,19396,4769,1947,2156,666,13279,14996,1732,107
45238,44986,5933,2204,3278,451,30315,35794,3601,86
45239,27783,3681,1304,2162,215,18681,21644,2745,54
45240,26637,4362,1683,2471,208,17267,20517,1935,0
45241,23241,1453,419,854,180,16586,18705,1832,104
45242,21640,991,212,560,219,15402,17252,1255,28
45243,14092,556,149,374,33,9712,10713,510,0
45244,28504,1744,600,1044,100,18372,21269,1431,7
45245,19455,1418,482,893,43,13544,15923,2095,10
45246,14867,3456,1533,1775,148,9501,11463,1647,80
45247,22600,1121,190,747,184,16229,18409,1274,27
45248,25426,1506,524,708,274,17488,20453,1321,18
45249,13406,1449,498,769,182,9529,10822,1398,20
45251,21298,2049,746,1021,282,13993,16736,1084,59
45252,4650,45,16,18,11,3518,3980,335,0
45255,21587,1447,378,799,270,15149,17257,1111,13
45301,96,0,0,0,0,96,96,21,0
45302,4255,192,87,66,39,2556,3183,208,0
45303,1962,330,115,203,12,1390,1569,166,2
45304,7654,909,402,459,48,4968,5807,374,14
45305,11077,1333,791,498,44,7046,8241,410,62
45306,2491,177,59,114,4,1605,1823,122,8
45307,305,57,26,31,0,195,225,12,0
45308,4391,483,223,198,62,2874,3318,195,0
45309,12336,804,223,470,111,8795,9963,719,15
45310,197,4,0,2,2,147,157,18,0
45311,6587,974,326,560,88,4703,5415,313,32
45312,1410,135,93,35,7,941,1073,86,0
45314,3444,575,82,445,48,2227,2864,178,13
45315,3722,123,21,80,22,2684,3074,112,0
45316,179,26,3,17,6,107,147,19,7
45317,913,61,0,46,15,639,735,16,0
45318,5278,631,272,324,35,3667,4125,268,0
45319,345,32,16,16,0,234,256,29,0
45320,15044,1912,645,1180,87,9911,11516,802,49
45321,975,173,88,67,18,672,777,29,0
45322,22000,1622,667,748,207,15108,16966,1244,0
45323,5220,488,139,281,68,4010,4422,501,27
45324,37386,9016,2005,6569,442,23605,30808,3605,369
45325,2389,199,91,75,33,1739,1918,129,0
45326,1014,17,2,12,3,753,821,49,0
45327,9126,609,223,326,60,6315,7196,470,0
45328,692,194,101,93,0,408,463,24,1
45330,727,81,10,60,11,499,571,48,0
45331,21866,3290,959,1988,343,15675,17808,1446,85
45332,708,200,54,131,15,447,521,43,0
45333,1174,36,0,6,30,723,821,32,0
45334,2231,205,82,108,15,1497,1708,108,0
45335,6685,552,234,303,15,4565,5150,344,4
45336,156,32,20,10,2,100,116,0,0
45337,1500,79,31,48,0,1123,1295,70,0
45338,4986,445,223,205,17,3495,4023,323,37
45339,1347,166,53,68,45,958,1077,40,1
45340,708,78,38,40,0,494,539,26,0
45341,3542,645,278,345,22,2411,2803,196,0
45342,35680,4667,1828,2360,479,24682,28011,3389,104
45344,17111,1966,772,1048,146,11600,13897,897,74
45345,5949,597,200,264,133,4115,4635,343,1
45346,2212,249,103,138,8,1400,1635,108,10
45347,4521,693,232,387,74,3126,3669,281,14
45348,663,132,47,63,22,402,509,34,9
45349,478,14,0,14,0,283,296,12,0
45350,131,12,3,7,2,83,99,0,0
45351,236,13,0,13,0,169,191,24,3
45352,183,29,13,14,2,134,153,3,0
45353,204,20,0,0,20,132,187,15,0
45354,584,10,0,4,6,439,479,82,0
45356,25335,5172,2135,2921,116,17024,20064,1912,9
45358,423,16,7,9,0,246,307,18,0
45359,1904,214,82,110,22,1230,1501,118,0
45360,488,58,21,37,0,290,345,37,0
45361,276,41,24,17,0,165,174,13,0
45362,1199,126,29,91,6,849,1010,111,0
45363,1766,64,18,19,27,1001,1212,58,0
45365,29725,4189,1524,2362,303,19788,23086,1857,82
45368,4703,481,220,225,36,3103,3681,490,8
45369,3704,483,151,323,9,2441,2899,147,23
45370,2477,123,10,113,0,1699,2025,83,0
45371,18641,1247,368,743,136,12781,14711,1099,12
45372,521,68,20,48,0,345,429,21,0
45373,34367,4577,1695,2511,371,23681,27047,2918,77
45377,14838,1513,518,906,89,10335,11772,1018,23
45378,405,37,20,17,0,251,291,24,0
45380,5433,541,228,255,58,3519,4038,212,0
45381,5356,609,192,360,57,3839,4345,275,0
45382,1467,199,108,89,2,908,1054,36,6
45383,7152,524,157,316,51,5010,5600,574,0
45384,111,0,0,0,0,106,111,0,0
45385,37209,6656,2649,3582,425,26133,29657,2150,16
45387,4893,501,106,338,57,3953,4296,360,10
45388,1000,13,0,11,2,563,648,21,0
45389,482,40,14,18,8,322,369,25,0
45390,3282,636,271,315,50,2222,2564,126,3
45402,9616,4291,1259,2657,375,6497,7734,991,59
45403,15436,6269,2383,3567,319,9647,11695,1479,147
45404,10183,3690,1355,2113,222,6981,8034,645,22
45405,18691,6787,2272,4187,328,12120,14334,1872,75
45406,20288,6184,2272,3480,432,13274,15812,1748,35
45409,7615,1654,175,1392,87,4596,6172,817,33
45410,15576,5646,1688,3587,371,10458,12713,1671,89
45414,20480,3776,1383,2254,139,13949,16495,1251,62
45415,11845,1250,251,867,132,8748,9872,1125,57
45416,5977,1932,840,925,167,3765,4545,358,0
45417,29317,11383,4371,6281,731,18677,22781,1528,76
45418,1583,171,79,92,0,906,1196,51,0
45419,14785,951,238,657,56,10340,11516,1727,27
45420,24646,4511,1586,2614,311,17387,19966,3172,54
45424,49948,5021,1873,2788,360,33212,38835,3426,58
45426,14363,2637,805,1634,198,10135,11764,993,74
45428,110,91,0,91,0,82,110,0,0
45429,24927,2067,463,1305,299,18659,20752,2305,71
45430,7386,401,115,159,127,5138,5956,485,0
45431,26927,3016,1045,1785,186,18370,21064,2763,38
45432,14951,1706,581,973,152,10541,12162,968,24
45433,1939,116,0,116,0,1035,1441,105,0
45434,11826,363,56,244,63,8107,9152,544,0
45439,9616,2218,987,1110,121,6358,7382,906,34
45440,20396,1645,448,997,200,14552,16696,2066,6
45449,18246,2750,719,1749,282,12835,14670,2049,70
45458,29155,1605,388,988,229,20862,23066,1940,3
45459,27398,1539,368,869,302,20591,23021,2473,89
45502,15869,1118,367,670,81,11494,13125,506,0
45503,32214,5952,2015,3456,481,22211,25577,2738,196
45504,16599,3450,1061,2214,175,11175,13431,964,23
45505,18947,5978,2141,3372,465,12517,14788,1659,62
45506,13885,4125,1708,2210,207,8851,10412,748,18
45601,51396,10555,3809,6170,576,35170,40689,3324,135
45612,5566,1026,318,613,95,3897,4372,224,16
45613,3628,1119,521,586,12,2361,2820,216,0
45614,4582,940,421,449,70,2922,3484,18,0
45616,1426,420,142,226,52,1065,1129,27,0
45617,122,0,0,0,0,33,33,0,0
45618,16,0,0,0,0,12,12,4,0
45619,8746,2040,623,1143,274,5766,6765,399,7
45620,1004,209,33,123,53,793,832,43,0
45621,409,93,39,52,2,265,323,10,0
45622,299,84,53,31,0,214,232,40,0
45623,3127,433,100,266,67,2073,2569,98,0
45624,28,0,0,0,0,28,28,0,0
45628,4628,470,72,348,50,3421,3834,186,0
45629,3197,751,236,505,10,2169,2598,146,0
45630,229,0,0,0,0,197,204,0,0
45631,15338,2450,766,1409,275,10678,12135,847,0
45634,2115,596,192,359,45,1410,1657,104,0
45636,167,66,0,52,14,144,160,0,0
45638,21560,4256,1241,2574,441,14388,16985,1043,60
45640,16236,3669,1424,2048,197,10860,12638,780,33
45642,0,0,0,0,0,0,0,0,0
45644,4565,582,126,384,72,3190,3723,304,0
45645,3227,315,45,211,59,2178,2537,84,19
45646,361,26,5,21,0,256,291,53,0
45647,2537,169,41,122,6,1619,1915,189,0
45648,11360,2466,787,1523,156,8032,9248,579,0
45650,207,13,0,13,0,164,193,0,0
45651,5910,1155,495,605,55,4001,4696,241,0
45652,3883,707,277,417,13,2442,2856,161,0
45653,4323,618,117,418,83,2864,3238,106,13
45654,828,149,34,105,10,594,686,41,0
45656,6282,1543,537,881,125,4165,4918,406,22
45657,2757,961,396,456,109,1653,1844,31,0
45658,2120,422,93,282,47,1588,1800,46,0
45659,2749,622,153,386,83,2080,2295,181,41
45660,8408,2201,793,1270,138,5666,6496,372,0
45661,6720,1716,626,974,116,4502,5350,234,13
45662,28055,8369,2278,5484,607,19207,22867,1625,102
45663,6640,1408,370,944,94,4458,5210,277,36
45669,10125,1015,193,639,183,7269,8289,513,9
45671,439,250,129,109,12,252,301,21,0
45672,1436,301,84,181,36,969,1156,40,0
45673,407,22,0,14,8,258,332,37,0
45674,388,122,8,114,0,189,307,39,0
45678,1249,296,60,205,31,939,1069,65,0
45679,2759,758,155,562,41,1912,2252,32,0
45680,11950,2501,874,1392,235,8411,9681,506,39
45681,1897,688,290,383,15,1366,1488,69,1
45682,2542,522,95,361,66,1764,2074,70,0
45684,1862,253,45,185,23,1257,1483,69,0
45685,1159,279,107,145,27,717,903,18,2
45686,3568,551,101,420,30,2521,2902,43,1
45688,533,89,12,47,30,380,445,33,0
45690,14010,2835,732,1741,362,9434,11004,799,92
45692,8296,2500,997,1371,132,5599,6605,335,0
45693,7977,1740,617,910,213,5295,6250,233,5
45694,12155,1780,578,943,259,8461,9759,527,2
45695,558,181,59,119,3,426,455,36,12
45696,1330,227,62,152,13,920,1030,93,0
45697,5473,851,364,478,9,3371,3985,161,5
45698,409,23,10,12,1,323,336,20,0
45701,25636,10812,772,9845,195,13595,22622,1902,218
45710,5879,709,262,419,28,4034,4693,227,0
45711,1237,211,57,145,9,885,984,21,0
45714,9398,1596,287,1051,258,7132,8012,751,81
45715,2482,364,95,219,50,1745,1965,112,21
45716,434,52,4,46,2,308,371,30,0
45719,1218,375,116,236,23,802,981,59,5
45721,11,0,0,0,0,11,11,0,0
45723,3847,517,188,295,34,2643,3138,134,0
45724,1878,210,20,185,5,1389,1531,77,0
45727,504,90,14,65,11,307,368,19,0
45729,1533,44,14,30,0,956,1071,24,0
45732,4473,1310,460,809,41,2880,3533,284,18
45734,606,135,69,65,1,437,461,7,0
