zcta,population,poverty,poverty_under18,poverty_18to65,poverty_over65,education,work_experience,working_fulltime,working_fulltime_poverty
00601,18375,10200,2909,5996,1295,11883,14421,265,28
00602,41616,23189,6381,14375,2433,27550,33089,710,60
00603,53195,26776,7542,15450,3784,35651,42405,877,88
00606,6593,3927,1221,2218,488,4311,5188,139,31
00610,29089,14397,4164,8435,1798,19402,23118,659,88
00612,68666,30902,8647,17399,4856,45782,54695,1500,94
00616,10715,5027,1381,2843,803,7409,8791,244,24
00617,24717,13171,4037,7363,1771,16139,19113,740,41
00622,5903,3217,795,1777,645,4248,4991,249,0
00623,44902,21806,6073,11976,3757,30311,35486,1129,165
00624,25845,15301,4783,9038,1480,15740,19627,393,71
00627,35021,16874,5081,9603,2190,23062,27636,429,39
00631,1800,888,220,495,173,1316,1535,0,0
00637,25168,12744,3706,7226,1812,16718,19922,434,28
00638,18956,11762,3546,6676,1540,12070,14768,301,62
00641,30710,16858,4867,9495,2496,20228,24431,405,53
00646,38049,13757,4355,7707,1695,24824,29468,1477,92
00647,5869,3062,852,1536,674,3908,4646,48,0
00650,15109,8234,2459,4861,914,9431,11556,279,43
00652,3229,1717,279,1070,368,2177,2598,66,0
00653,13446,8749,2328,5237,1184,8782,10472,193,29
00656,21394,11881,3450,7042,1389,13803,16581,187,0
00659,41911,19729,5801,11492,2436,27748,33061,806,16
00660,17040,5514,1411,3051,1052,12012,13884,437,36
00662,43228,24600,6271,14809,3520,29144,34558,974,87
00664,16624,9073,2830,5355,888,10201,12593,267,10
00667,26048,15693,4178,9374,2141,17674,20927,417,39
00669,29222,17918,4925,10448,2545,19095,22995,443,80
00670,9746,5737,1609,3438,690,6337,7696,210,32
00674,43867,21385,6479,11809,3097,28720,34281,1235,99
00676,39874,21729,6450,12850,2429,25635,30843,562,135
00677,15179,7567,2220,4469,878,10556,12225,310,69
00678,27328,16161,4709,9514,1938,17988,21442,515,65
00680,55990,28916,7887,16546,4483,36531,45822,1188,115
00682,32836,17177,4490,10767,1920,20212,26833,779,82
00683,32928,15414,4435,8415,2564,22582,26560,890,145
00685,42327,23903,6604,13565,3734,28463,33554,418,115
00687,32388,18711,5968,10713,2030,19956,24639,673,21
00688,11900,6911,1611,3860,1440,8086,9675,284,8
00690,6174,3061,988,1593,480,3933,4617,62,0
00692,37062,18212,6314,9697,2201,23437,28435,741,21
00693,60599,31447,9148,18073,4226,39749,47428,1332,145
00694,152,128,15,13,100,137,137,13,0
00698,41336,22771,6040,13691,3040,27629,32988,532,34
00703,29014,16969,5171,9868,1930,18700,22644,454,92
00704,7863,4268,1367,2502,399,4977,5714,207,0
00705,25392,12653,3597,7264,1792,16622,20060,615,108
00707,12145,7053,1982,3959,1112,8032,9671,178,42
00714,19519,10377,3054,6053,1270,12406,14999,370,2
00715,4270,2611,815,1488,308,2896,3459,108,0
00716,32483,15485,5224,8618,1643,21074,25087,1274,268
00717,18373,10343,3303,5698,1342,11688,14555,820,104
00718,26452,14113,4679,8006,1428,16827,20376,860,28
00719,30910,16176,4443,9779,1954,19718,24239,643,77
00720,23130,13847,4358,8170,1319,14359,17918,631,120
00723,19163,10528,3081,5915,1532,12625,15176,371,45
00725,90592,36671,11849,19698,5124,59469,71228,3196,215
00727,56335,17221,4798,9496,2927,37930,44949,2341,96
00728,40773,19629,6046,11336,2247,26157,32134,1165,68
00729,54807,22481,7679,12428,2374,33987,41790,1943,155
00730,38896,19646,6798,10284,2564,24957,30142,963,90
00731,13808,7295,1999,4109,1187,9358,11155,289,45
00735,13761,5600,1791,2898,911,9088,10939,404,47
00736,51563,20403,5922,11638,2843,33712,40729,1634,35
00738,34810,14203,4662,7571,1970,22833,27429,1734,161
00739,38960,14448,4258,8357,1833,25452,30647,1317,0
00740,1730,1140,470,553,117,981,1198,15,0
00741,5173,2488,794,1472,222,3388,4111,205,51
00745,53915,21404,6657,11813,2934,35160,42267,1740,158
00751,22926,13966,4097,7751,2118,14796,18079,558,48
00754,40247,18514,5299,10799,2416,26671,31916,1315,85
00757,23257,11255,3630,6460,1165,14348,17432,858,73
00765,9190,4140,1425,2181,534,6173,7318,433,38
00766,26101,14253,4560,8211,1482,15965,19812,467,8
00767,37668,19214,6024,11046,2144,24539,29609,767,46
00769,39865,21002,6083,12467,2452,25446,30876,1091,220
00771,38028,18365,5613,10578,2174,24911,29903,1269,66
00772,21797,11453,3424,6944,1085,13913,17050,842,64
00773,19904,8657,2969,4688,1000,13025,15618,700,61
00775,1535,877,277,511,89,1043,1240,62,15
00777,40813,18122,5375,10701,2046,26144,31276,1120,40
00778,45416,15410,4637,8863,1910,29379,34886,1452,115
00780,13232,5638,1605,3462,571,8784,10502,329,32
00782,18964,11042,3457,6230,1355,12176,14755,319,20
00783,36557,19565,5868,11024,2673,23305,28568,750,67
00784,43384,20643,6839,11539,2265,27597,33345,1118,41
00786,355,12,0,0,12,278,315,16,0
00791,52527,23049,7075,12973,3001,35004,41717,2019,135
00794,30463,17363,5568,10014,1781,18461,23139,739,73
00795,48016,25303,7977,14489,2837,30159,36983,1277,208
00901,5200,2427,473,1504,450,4028,4578,455,29
00906,36,0,0,0,0,22,36,11,0
00907,16932,4998,1067,3010,921,13265,14935,2267,124
00909,5362,2791,808,1610,373,3594,4408,502,38
00911,7476,1912,293,969,650,5912,6580,1069,69
00912,6161,2835,710,1710,415,4344,5172,464,34
00913,8634,6142,2462,3276,404,4696,6005,384,77
00915,32065,19545,6311,10806,2428,20642,25034,1683,168
00917,20779,9676,2272,5649,1755,15152,17564,1401,78
00918,16773,6413,2135,3285,993,11698,13784,2243,114
00920,19492,6472,1784,3569,1119,14162,16396,1400,99
00921,38317,17525,6074,9688,1763,25233,30476,2464,180
00923,29568,14785,4691,8132,1962,19655,23339,1838,188
00924,57102,25927,10491,12763,2673,36095,43278,2910,326
00925,6343,3422,491,2522,409,4072,5697,777,122
00926,107265,27292,8077,15687,3528,74778,87638,6519,514
00927,15749,3293,624,2011,658,11258,13283,927,57
00934,247,74,42,32,0,130,160,0,0
00936,70,18,0,0,18,70,70,52,0
00949,81787,30177,9995,16441,3741,53739,64070,3890,116
00950,0,0,0,0,0,0,0,0,0
00951,16,16,0,10,6,16,16,0,0
00952,10078,4378,1342,2328,708,6397,8189,350,24
00953,72958,26019,8248,14738,3033,45631,55908,2286,204
00956,78781,30344,8912,16688,4744,52521,62805,2732,290
00957,46011,17633,6585,8516,2532,30262,35528,1639,132
00959,47626,15129,4441,8226,2462,32114,38346,2611,142
00960,14,14,0,14,0,14,14,0,0
00961,30569,8499,2402,4695,1402,21556,25619,1525,73
00962,22187,12074,4415,6318,1341,13800,16759,648,80
00965,9245,5145,1629,2845,671,6132,7411,422,41
00966,17331,3178,1007,1778,393,12224,14117,1187,57
00968,3986,408,44,153,211,3271,3513,469,11
00969,42522,6998,2236,3798,964,29482,34671,2662,162
00971,29767,11444,3141,6442,1861,20579,24216,1632,103
00976,63446,19995,6873,10561,2561,41461,49374,3408,144
00979,16192,2843,668,1696,479,12397,13905,1981,36
00982,16600,4946,1506,2677,763,11474,13530,1003,81
00983,42414,13102,4854,6429,1819,27803,32932,1817,58
00985,37149,12105,4091,6533,1481,25280,30202,1488,94
00987,59689,16506,5717,8907,1882,39082,47500,2387,71
01001,16760,1251,374,733,144,11861,13699,1827,52
01002,22925,6286,658,5556,72,12757,19710,1662,40
01003,79,1,0,1,0,31,35,9,0
01005,5082,237,43,133,61,3407,4071,277,11
01007,14471,870,169,636,65,9955,11479,816,17
01008,1160,35,10,25,0,869,973,72,0
01009,636,53,24,29,0,459,516,42,0
01010,3593,159,51,92,16,2554,2861,249,0
01011,1326,98,26,66,6,985,1076,78,2
01012,506,30,9,11,10,394,437,52,0
01013,21251,4283,1713,2162,408,14077,16882,2043,25
01020,30778,2614,648,1551,415,22333,25555,2630,32
01022,2602,576,129,430,17,1661,2355,372,0
01026,1014,118,42,63,13,786,848,86,3
01027,17601,1010,164,698,148,13409,15054,1971,35
01028,15392,594,192,249,153,10754,12124,477,0
01029,591,80,16,55,9,479,524,12,0
01030,11096,867,350,338,179,8079,9047,498,10
01031,1529,352,75,254,23,1048,1258,103,0
01032,626,26,0,26,0,484,536,70,0
01033,6197,174,52,90,32,4553,5115,641,0
01034,1949,108,18,84,6,1349,1587,101,3
01035,4992,413,37,337,39,3742,4242,491,0
01036,5012,233,65,134,34,3520,4202,121,0
01037,662,45,26,19,0,489,534,70,0
01038,2676,238,84,120,34,1938,2115,249,0
01039,1532,106,0,81,25,1251,1362,189,0
01040,38979,11918,4664,6422,832,25255,30090,2613,11
01050,2657,182,65,83,34,1867,2050,195,0
01053,1627,235,57,178,0,1234,1325,191,0
01054,1808,203,48,136,19,1357,1522,139,8
01056,19887,1129,243,696,190,14628,16485,1372,38
01057,8378,788,124,593,71,6031,6815,713,35
01060,12709,2271,558,1601,112,9666,10973,2350,76
01062,10546,849,122,584,143,7638,8574,961,14
01063,0,0,0,0,0,0,0,0,0
01066,0,0,0,0,0,0,0,0,0
01068,1787,90,21,54,15,1242,1450,76,0
01069,8701,734,82,576,76,6282,7234,467,0
01070,528,45,12,24,9,426,468,48,0
01071,1477,72,21,51,0,1099,1214,86,0
01072,1449,112,30,72,10,1067,1179,168,14
01073,5803,348,13,87,248,4187,4767,291,0
01074,271,0,0,0,0,242,242,48,0
01075,15228,1019,283,619,117,11537,12766,1585,28
01077,9459,491,182,282,27,6575,7739,612,0
01079,492,25,0,25,0,392,448,115,0
01080,2291,424,132,271,21,1569,1883,165,0
01081,1853,127,25,84,18,1351,1525,159,0
01082,10205,1540,703,724,113,7374,8248,889,22
01083,2893,155,23,132,0,2035,2397,192,0
01084,239,11,0,8,3,204,212,11,0
01085,38931,3364,854,2043,467,26538,31261,2441,6
01086,0,0,0,0,0,0,0,0,0
01088,595,206,0,148,58,571,571,82,0
01089,28033,3506,1247,1961,298,19438,22875,2697,0
01092,1440,205,41,152,12,989,1112,104,0
01093,298,19,0,19,0,211,264,25,0
01094,240,21,0,21,0,208,220,15,0
01095,14045,427,16,198,213,9864,11447,543,16
01096,2220,106,20,75,11,1647,1798,138,0
01097,83,2,0,0,2,38,71,0,0
01098,1124,54,5,37,12,906,973,73,4
01103,2331,1005,236,660,109,1545,1974,426,28
01104,22446,6049,2061,3116,872,14358,17342,1167,0
01105,12130,6406,2501,3741,164,6307,8496,729,39
01106,15432,667,175,221,271,10863,12317,546,0
01107,10985,4711,2013,2453,245,5937,7704,284,14
01108,25408,6776,3036,3497,243,15251,19141,1537,13
01109,28243,9455,4050,4903,502,16231,21067,1019,12
01118,13560,1408,506,736,166,9652,10950,1332,0
01119,13204,2087,706,1194,187,8989,10423,908,9
01128,2340,28,9,19,0,1792,2081,192,0
01129,7250,956,338,556,62,5075,5844,676,0
01151,8603,3214,1772,1255,187,4998,6028,708,15
01199,0,0,0,0,0,0,0,0,0
01201,44962,7176,2372,4075,729,32197,36619,3913,115
01220,8644,1001,303,562,136,6100,7108,628,32
01222,875,21,0,21,0,636,723,55,0
01223,2376,275,36,234,5,1900,2078,168,6
01224,291,19,15,4,0,139,191,19,0
01225,3018,408,179,218,11,2211,2530,186,11
01226,6919,596,231,316,49,4903,5594,336,13
01229,170,0,0,0,0,110,110,14,0
01230,7589,802,174,553,75,5969,6623,822,62
01235,2867,116,11,98,7,2112,2324,156,0
01236,1384,65,15,27,23,1031,1145,25,10
01237,2580,56,31,19,6,1821,2117,113,0
01238,6087,568,178,390,0,4307,5250,407,0
01240,4167,589,99,344,146,3244,3430,340,17
