State,County,ViolentCrime,MurderNonnegligentManslaughter,Rape1,Robbery,AggravatedAssault,PropertyCrime,Burglary,LarcenyTheft,MotorVehicleTheft,Arson2,Area,StateAbbrev
Alabama,Autauga,69,0,13,6,50,344,111,187,46,, Metropolitan Counties,AL
Alabama,Baldwin,115,0,9,33,73,648,225,390,33,, Metropolitan Counties,AL
Alabama,Bibb,7,0,2,1,4,41,20,18,3,, Metropolitan Counties,AL
Alabama,Blount,204,5,16,5,178,832,247,503,82,, Metropolitan Counties,AL
Alabama,Calhoun,16,0,4,1,11,413,181,225,7,, Metropolitan Counties,AL
Alabama,Chilton,120,0,23,1,96,575,263,274,38,, Metropolitan Counties,AL
Alabama,Elmore,93,5,17,5,66,1141,495,574,72,, Metropolitan Counties,AL
Alabama,Etowah,113,1,23,2,87,561,214,298,49,, Metropolitan Counties,AL
Alabama,Geneva,41,0,9,0,32,229,91,113,25,, Metropolitan Counties,AL
Alabama,Henry,36,0,8,3,25,162,78,64,20,, Metropolitan Counties,AL
Alabama,Houston,97,3,16,5,73,609,191,387,31,, Metropolitan Counties,AL
Alabama,Jefferson,787,10,91,202,484,3436,1903,1392,141,, Metropolitan Counties,AL
Alabama,Lawrence,46,1,5,0,40,336,123,185,28,, Metropolitan Counties,AL
Alabama,Limestone,50,2,8,3,37,567,159,384,24,, Metropolitan Counties,AL
Alabama,Lowndes,44,0,10,11,23,187,56,109,22,, Metropolitan Counties,AL
Alabama,Madison,366,7,52,46,261,2052,633,1252,167,, Metropolitan Counties,AL
Alabama,Mobile,114,4,26,21,63,1924,607,1124,193,, Metropolitan Counties,AL
Alabama,Montgomery,19,0,2,6,11,188,61,108,19,, Metropolitan Counties,AL
Alabama,Morgan,42,0,10,2,30,381,195,165,21,, Metropolitan Counties,AL
Alabama,Pickens,11,0,5,0,6,33,16,17,0,, Metropolitan Counties,AL
Alabama,Russell,45,0,10,4,31,395,134,233,28,, Metropolitan Counties,AL
Alabama,Shelby,131,3,40,15,73,1140,296,754,90,, Metropolitan Counties,AL
Alabama,Tuscaloosa,182,2,9,18,153,1073,307,664,102,, Metropolitan Counties,AL
Alabama,Walker,127,1,23,9,94,1114,382,604,128,, Metropolitan Counties,AL
Alabama,Barbour,32,2,4,0,26,115,59,45,11,, Nonmetropolitan Counties,AL
Alabama,Bullock,21,0,0,8,13,52,34,17,1,, Nonmetropolitan Counties,AL
Alabama,Butler,41,1,2,1,37,166,65,90,11,, Nonmetropolitan Counties,AL
Alabama,Chambers,3,0,0,0,3,61,27,34,0,, Nonmetropolitan Counties,AL
Alabama,Cherokee,52,2,8,3,39,346,118,194,34,, Nonmetropolitan Counties,AL
Alabama,Choctaw,7,0,0,1,6,34,15,15,4,, Nonmetropolitan Counties,AL
Alabama,Clarke,48,3,5,2,38,63,25,33,5,, Nonmetropolitan Counties,AL
Alabama,Clay,9,0,0,0,9,15,4,7,4,, Nonmetropolitan Counties,AL
Alabama,Cleburne,6,0,1,1,4,143,50,90,3,, Nonmetropolitan Counties,AL
Alabama,Coffee,31,1,7,3,20,192,82,91,19,, Nonmetropolitan Counties,AL
Alabama,Coosa,21,1,0,4,16,156,58,88,10,, Nonmetropolitan Counties,AL
Alabama,Covington,36,0,12,0,24,232,86,119,27,, Nonmetropolitan Counties,AL
Alabama,Crenshaw,38,0,2,2,34,147,49,77,21,, Nonmetropolitan Counties,AL
Alabama,Cullman,48,0,22,5,21,944,285,556,103,, Nonmetropolitan Counties,AL
Alabama,Dale,34,0,6,1,27,209,78,114,17,, Nonmetropolitan Counties,AL
Alabama,Dallas,81,2,8,9,62,447,152,257,38,, Nonmetropolitan Counties,AL
Alabama,DeKalb,123,5,44,3,71,814,320,400,94,, Nonmetropolitan Counties,AL
Alabama,Fayette,20,0,8,0,12,67,23,33,11,, Nonmetropolitan Counties,AL
Alabama,Franklin,29,1,4,3,21,276,108,153,15,, Nonmetropolitan Counties,AL
Alabama,Greene,32,0,2,10,20,91,37,47,7,, Nonmetropolitan Counties,AL
Alabama,Lamar,13,0,2,0,11,59,24,27,8,, Nonmetropolitan Counties,AL
Alabama,Macon,26,0,4,2,20,144,62,66,16,, Nonmetropolitan Counties,AL
Alabama,Marengo,45,0,7,4,34,170,70,85,15,, Nonmetropolitan Counties,AL
Alabama,Marion,26,0,2,1,23,139,57,71,11,, Nonmetropolitan Counties,AL
Alabama,Marshall,26,2,7,6,11,385,166,191,28,, Nonmetropolitan Counties,AL
Alabama,Monroe,27,0,0,1,26,88,30,47,11,, Nonmetropolitan Counties,AL
Alabama,Pike,19,1,3,1,14,132,44,75,13,, Nonmetropolitan Counties,AL
Alabama,Randolph,13,0,0,0,13,145,67,78,0,, Nonmetropolitan Counties,AL
Alabama,Talladega,77,5,6,12,54,747,240,420,87,, Nonmetropolitan Counties,AL
Alabama,Tallapoosa,11,1,2,1,7,202,102,97,3,, Nonmetropolitan Counties,AL
Alabama,Washington,36,0,6,2,28,133,58,60,15,, Nonmetropolitan Counties,AL
Alabama,Wilcox,38,0,1,4,33,98,36,50,12,, Nonmetropolitan Counties,AL
Alabama,Winston,10,0,1,2,7,54,16,34,4,, Nonmetropolitan Counties,AL
Arizona,Cochise,253,1,24,7,221,654,65,564,25,0.0, Metropolitan Counties,AZ
Arizona,Coconino,138,2,19,2,115,446,128,297,21,10.0, Metropolitan Counties,AZ
Arizona,Maricopa,1053,20,26,123,884,5188,1270,3321,597,33.0, Metropolitan Counties,AZ
Arizona,Mohave,139,2,14,16,107,2013,689,1186,138,13.0, Metropolitan Counties,AZ
Arizona,Pima,566,10,76,149,331,9143,1623,7006,514,57.0, Metropolitan Counties,AZ
Arizona,Pinal,318,0,25,20,273,2067,584,1282,201,13.0, Metropolitan Counties,AZ
Arizona,Yavapai,245,1,28,6,210,1152,343,708,101,14.0, Metropolitan Counties,AZ
Arizona,Yuma,124,5,22,10,87,1020,419,535,66,12.0, Metropolitan Counties,AZ
Arizona,Apache,19,0,0,0,19,126,63,60,3,42.0, Nonmetropolitan Counties,AZ
Arizona,Gila,184,0,4,8,172,495,103,327,65,8.0, Nonmetropolitan Counties,AZ
Arizona,Graham,15,1,2,0,12,159,41,102,16,13.0, Nonmetropolitan Counties,AZ
Arizona,Navajo,43,0,1,1,41,406,175,187,44,4.0, Nonmetropolitan Counties,AZ
Arizona,Santa Cruz,1,0,0,0,1,184,65,99,20,0.0, Nonmetropolitan Counties,AZ
Arkansas,Benton,99,1,40,0,58,483,225,239,19,0.0, Metropolitan Counties,AR
Arkansas,Cleveland,13,0,3,0,10,54,16,33,5,0.0, Metropolitan Counties,AR
Arkansas,Craighead,46,1,13,4,28,297,97,174,26,4.0, Metropolitan Counties,AR
Arkansas,Crawford,80,0,11,0,69,358,70,243,45,2.0, Metropolitan Counties,AR
Arkansas,Crittenden,106,3,5,16,82,309,108,181,20,1.0, Metropolitan Counties,AR
Arkansas,Faulkner,110,2,16,5,87,1121,294,675,152,8.0, Metropolitan Counties,AR
Arkansas,Garland,345,0,38,24,283,1831,786,926,119,0.0, Metropolitan Counties,AR
Arkansas,Grant,25,0,5,0,20,193,40,132,21,1.0, Metropolitan Counties,AR
Arkansas,Jefferson,77,2,10,3,62,385,135,222,28,6.0, Metropolitan Counties,AR
Arkansas,Lincoln,17,0,1,1,15,90,37,46,7,0.0, Metropolitan Counties,AR
Arkansas,Little River,12,0,5,0,7,53,15,31,7,0.0, Metropolitan Counties,AR
Arkansas,Lonoke,106,2,5,0,99,428,117,259,52,5.0, Metropolitan Counties,AR
Arkansas,Madison,30,3,6,0,21,105,43,57,5,4.0, Metropolitan Counties,AR
Arkansas,Perry,29,0,5,0,24,186,43,138,5,0.0, Metropolitan Counties,AR
Arkansas,Poinsett,11,0,2,1,8,1,0,1,0,0.0, Metropolitan Counties,AR
Arkansas,Pulaski,365,2,25,27,311,1657,469,1034,154,12.0, Metropolitan Counties,AR
Arkansas,Saline,151,0,8,5,138,651,223,349,79,2.0, Metropolitan Counties,AR
Arkansas,Sebastian,36,0,5,1,30,317,112,191,14,1.0, Metropolitan Counties,AR
Arkansas,Washington,153,0,16,2,135,611,215,358,38,6.0, Metropolitan Counties,AR
Arkansas,Arkansas,8,0,1,0,7,167,33,106,28,0.0, Nonmetropolitan Counties,AR
Arkansas,Ashley,11,0,3,0,8,238,103,126,9,5.0, Nonmetropolitan Counties,AR
Arkansas,Baxter,67,3,15,2,47,612,81,503,28,0.0, Nonmetropolitan Counties,AR
Arkansas,Boone,202,2,23,0,177,379,128,225,26,0.0, Nonmetropolitan Counties,AR
Arkansas,Bradley,7,0,0,0,7,39,19,17,3,0.0, Nonmetropolitan Counties,AR
Arkansas,Calhoun,2,1,0,1,0,56,22,32,2,1.0, Nonmetropolitan Counties,AR
