zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,naics_title
1862,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
1862,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
1915,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
1915,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
1915,114112,6,6,0,0,0,0,0,0,0,0,"Shellfish Fishing"
1915,114112,6,6,0,0,0,0,0,0,0,0,"Shellfish Fishing"
1923,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
1923,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
1923,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
1923,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
1930,114111,14,13,1,0,0,0,0,0,0,0,"Finfish Fishing"
1930,114111,14,13,1,0,0,0,0,0,0,0,"Finfish Fishing"
1930,114112,11,9,2,0,0,0,0,0,0,0,"Shellfish Fishing"
1930,114112,11,9,2,0,0,0,0,0,0,0,"Shellfish Fishing"
1930,114119,1,1,0,0,0,0,0,0,0,0,"Other Marine Fishing"
1930,114119,1,1,0,0,0,0,0,0,0,0,"Other Marine Fishing"
1931,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
1931,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
1944,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
1944,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
1945,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
1945,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
1960,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
1960,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
1966,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
1966,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
1985,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
1985,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2020,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2020,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2020,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2020,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2066,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2066,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2151,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2151,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2169,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2169,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2170,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2170,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2332,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2332,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2360,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2360,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2458,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2458,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2536,114112,1,0,1,0,0,0,0,0,0,0,"Shellfish Fishing"
2536,114112,1,0,1,0,0,0,0,0,0,0,"Shellfish Fishing"
2553,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2553,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2554,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2554,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2563,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2563,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2571,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2571,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2601,114111,1,0,0,1,0,0,0,0,0,0,"Finfish Fishing"
2601,114111,1,0,0,1,0,0,0,0,0,0,"Finfish Fishing"
2632,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2632,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2633,114112,4,4,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2633,114112,4,4,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2635,114112,1,0,1,0,0,0,0,0,0,0,"Shellfish Fishing"
2635,114112,1,0,1,0,0,0,0,0,0,0,"Shellfish Fishing"
2641,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2641,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2642,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2642,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2645,114112,4,4,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2645,114112,4,4,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2648,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2648,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2652,114111,3,3,0,0,0,0,0,0,0,0,"Finfish Fishing"
2652,114111,3,3,0,0,0,0,0,0,0,0,"Finfish Fishing"
2652,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2652,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2653,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2653,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2655,114111,1,0,1,0,0,0,0,0,0,0,"Finfish Fishing"
2655,114111,1,0,1,0,0,0,0,0,0,0,"Finfish Fishing"
2657,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2657,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2657,114119,1,1,0,0,0,0,0,0,0,0,"Other Marine Fishing"
2657,114119,1,1,0,0,0,0,0,0,0,0,"Other Marine Fishing"
2659,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2659,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2660,114111,1,0,0,1,0,0,0,0,0,0,"Finfish Fishing"
2660,114111,1,0,0,1,0,0,0,0,0,0,"Finfish Fishing"
2662,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2662,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2666,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2666,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2666,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2666,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2667,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2667,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2667,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2667,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2668,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2668,114112,2,2,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2669,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2669,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2673,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2673,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2717,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2717,114111,1,1,0,0,0,0,0,0,0,0,"Finfish Fishing"
2717,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2717,114112,1,1,0,0,0,0,0,0,0,0,"Shellfish Fishing"
2719,114111,3,3,0,0,0,0,0,0,0,0,"Finfish Fishing"
2719,114111,3,3,0,0,0,0,0,0,0,0,"Finfish Fishing"
