"storm","city","city_radius","wind_mph","wind_kmph","label","cityimpactday","year","norm_count_total","impact_count_total","change_count_percent","norm_displacement_total_km","impact_displacement_total_km","change_displacement_total_km","change_displacement_total_degree","change_displacement_total_degree_abs","change_displacement_percent","change_displacement_percent_abs","change_step_displacement_percent","change_step_displacement_percent_abs","step_type","norm_step_count","norm_step_avg_km","norm_step_displacement_km","impact_step_count","impact_step_avg_km","change_step_avg_km","change_step_avg_km_abs","norm_step_avg_degrees","impact_step_avg_degrees","change_step_avg_degrees","change_step_avg_degrees_abs","impact_step_displacement_km","change_displacement_km","change_displacement_km_abs","change_displacement_degrees","change_displacement_degrees_abs","norm_step_count_percent","impact_step_count_percent","change_step_count_percent","change_step_count_percent_abs","norm_step_distance_proportionality","impact_step_distance_proportionality","change_step_distance_proportionality","change_step_distance_proportionality_abs"
"Rammasun","Antipolo","15","40","64.37","40 - Rammasun - Antipolo","2014-07-16","2014","7569.20000000000000000000","11560","52.7242","16368.2354","16196.6000","-171.635400","-1.551584","1.5516","-1.0486","1.0486","-18.6581","18.6581",5,"348","2.6274","4566.4261","287","12.9422","-10.314800","10.314800","0.023752","0.116997","-0.093246","0.093246","3714.4200","-852.0061","852.006100","-7.702100","7.702100","0.04597580","0.02482699","0.02114881","0.02114881","0.27898096","0.22933332","0.04964765","0.04964765"
"Rammasun","Manila","6","40","64.37","40 - Rammasun - Manila","2014-07-16","2014","2890.60000000000000000000","4836","67.3009","2508.0136","2279.2500","-228.763600","-2.068023","2.0680","-9.1213","9.1213","91.5270","91.5270",1,"1828","0.0291","265.8409","3631","0.1402","-0.111100","0.111100","0.000263","0.001267","-0.001004","0.001004","509.1570","243.3161","243.316100","2.199600","2.199600","0.63239466","0.75082713","-0.11843247","0.11843247","0.10599659","0.22338796","-0.11739136","0.11739136"
"Rammasun","Manila","6","40","64.37","40 - Rammasun - Manila","2014-07-16","2014","2890.60000000000000000000","4836","67.3009","2508.0136","2279.2500","-228.763600","-2.068023","2.0680","-9.1213","9.1213","66.4099","66.4099",2,"410","0.1224","250.5992","694","0.6009","-0.478500","0.478500","0.001106","0.005432","-0.004326","0.004326","417.0220","166.4228","166.422800","1.504500","1.504500","0.14183906","0.14350703","-0.00166797","0.00166797","0.09991939","0.18296457","-0.08304518","0.08304518"
"Rammasun","Manila","6","40","64.37","40 - Rammasun - Manila","2014-07-16","2014","2890.60000000000000000000","4836","67.3009","2508.0136","2279.2500","-228.763600","-2.068023","2.0680","-9.1213","9.1213","-26.0733","26.0733",3,"561","0.4968","1392.5409","462","2.2283","-1.731500","1.731500","0.004491","0.020144","-0.015653","0.015653","1029.4600","-363.0809","363.080900","-3.282300","3.282300","0.19407735","0.09553350","0.09854386","0.09854386","0.55523658","0.45166612","0.10357046","0.10357046"
"Rammasun","Manila","6","40","64.37","40 - Rammasun - Manila","2014-07-16","2014","2890.60000000000000000000","4836","67.3009","2508.0136","2279.2500","-228.763600","-2.068023","2.0680","-9.1213","9.1213","-48.4944","48.4944",4,"91","1.2901","588.2974","47","6.4469","-5.156800","5.156800","0.011663","0.058280","-0.046617","0.046617","303.0060","-285.2914","285.291400","-2.579000","2.579000","0.03148135","0.00971878","0.02176258","0.02176258","0.23456707","0.13294110","0.10162597","0.10162597"
"Rammasun","Manila","6","40","64.37","40 - Rammasun - Manila","2014-07-16","2014","2890.60000000000000000000","4836","67.3009","2508.0136","2279.2500","-228.763600","-2.068023","2.0680","-9.1213","9.1213","91.9806","91.9806",5,"1","2.1470","10.7352","2","10.3047","-8.157700","8.157700","0.019409","0.093154","-0.073746","0.073746","20.6095","9.8743","9.874300","0.089300","0.089300","0.00034595","0.00041356","-0.00006762","0.00006762","0.00428036","0.00904223","-0.00476187","0.00476187"
"Lan","Tokyo","50","55","88.51","55 - Lan - Tokyo","2017-10-23","2017","10892.20000000000000000000","10626","-2.4440","90847.5715","90500.8000","-346.771500","-3.134814","3.1348","-0.3817","0.3817","-10.2888","10.2888",1,"2511","0.0353","442.6101","2269","0.1750","-0.139700","0.139700","0.000319","0.001582","-0.001263","0.001263","397.0710","-45.5391","45.539100","-0.411700","0.411700","0.23053194","0.21353284","0.01699910","0.01699910","0.00487201","0.00438749","0.00048452","0.00048452"
"Lan","Tokyo","50","55","88.51","55 - Lan - Tokyo","2017-10-23","2017","10892.20000000000000000000","10626","-2.4440","90847.5715","90500.8000","-346.771500","-3.134814","3.1348","-0.3817","0.3817","-13.6675","13.6675",2,"1105","0.1286","710.5908","952","0.6444","-0.515800","0.515800","0.001163","0.005825","-0.004663","0.004663","613.4710","-97.1198","97.119800","-0.878000","0.878000","0.10144874","0.08959157","0.01185718","0.01185718","0.00782179","0.00677863","0.00104317","0.00104317"
"Lan","Tokyo","50","55","88.51","55 - Lan - Tokyo","2017-10-23","2017","10892.20000000000000000000","10626","-2.4440","90847.5715","90500.8000","-346.771500","-3.134814","3.1348","-0.3817","0.3817","1.5289","1.5289",3,"2474","0.5446","6737.0601","2499","2.7371","-2.192500","2.192500","0.004923","0.024743","-0.019820","0.019820","6840.0600","102.9999","102.999900","0.931100","0.931100","0.22713501","0.23517787","-0.00804285","0.00804285","0.07415784","0.07558011","-0.00142226","0.00142226"
"Lan","Tokyo","50","55","88.51","55 - Lan - Tokyo","2017-10-23","2017","10892.20000000000000000000","10626","-2.4440","90847.5715","90500.8000","-346.771500","-3.134814","3.1348","-0.3817","0.3817","3.6147","3.6147",4,"1771","1.4402","12751.9511","1838","7.1887","-5.748500","5.748500","0.013019","0.064986","-0.051966","0.051966","13212.9000","460.9489","460.948900","4.167000","4.167000","0.16259342","0.17297196","-0.01037854","0.01037854","0.14036645","0.14599760","-0.00563115","0.00563115"
