	id	state	COUNTY	GEO_TTL	relevant_naics	NAICS2012_TTL	NAICS_Sector	estab	emp_reported	payann_reported	emp_est1	payann_est1	estimate_est1	emp_est3	payann_est3	estimate_est3
0	27001	27	1	Aitkin County, Minnesota	1133	Logging	11	4.2	7.4	343.6	11.864516129032257	502.51612903225805	0.2	18.0089605734767	699.266129032258	0.8611111111111112
1	27001	27	1	Aitkin County, Minnesota	2123	Nonmetallic mineral mining and quarrying	21	1.4	0.0	0.0	12.893371284940825	964.7024512745027	1.0	24.729534659842358	2024.9216304149122	1.0
2	27001	27	1	Aitkin County, Minnesota	2211	Electric power generation, transmission and distribution	22	1.0	0.0	0.0	16.461966980848036	1462.3832345347996	1.0	46.5778740010853	4545.161172199812	1.0
3	27001	27	1	Aitkin County, Minnesota	2361	Residential building construction	23	9.2	8.0	449.6	8.0	449.6	0.0	8.945652173913043	340.2826086956522	0.9347826086956522
4	27001	27	1	Aitkin County, Minnesota	2362	Nonresidential building construction	23	3.0	0.2	77.0	18.616263736263736	946.98989010989	0.4	2.087423687423688	168.23394383394384	0.9506172839506172
5	27001	27	1	Aitkin County, Minnesota	2371	Utility system construction	23	3.6	3.4	220.4	75.95880740958542	5317.2305274919145	0.6	13.292231244204194	881.7968286853792	0.9615384615384616
6	27001	27	1	Aitkin County, Minnesota	2372	Land subdivision	23	1.0	0.0	0.0	2.3741621495599463	94.3018622695637	1.0	2.2976666997474844	153.46936362716102	1.0
7	27001	27	1	Aitkin County, Minnesota	2379	Other heavy and civil engineering construction	23	1.2	0.0	0.0	20.90098978191246	1358.7375039007052	1.0	13.029641548281118	1010.459358536438	1.0
8	27001	27	1	Aitkin County, Minnesota	2381	Foundation, structure, and building exterior contractors	23	10.0	5.0	642.2	5.0	642.2	0.0	4.054945054945056	712.8901098901099	0.934065934065934
9	27001	27	1	Aitkin County, Minnesota	2382	Building equipment contractors	23	15.8	68.0	2840.8	68.0	2840.8	0.0	82.18478260869566	3319.4891304347825	0.9347826086956522
10	27001	27	1	Aitkin County, Minnesota	2383	Building finishing contractors	23	5.0	3.0	92.4	9.5	173.86923076923077	0.2	5.258620689655173	124.03846153846158	0.9310344827586208
11	27001	27	1	Aitkin County, Minnesota	2389	Other specialty trade contractors	23	14.4	8.0	1535.0	8.0	1535.0	0.0	21.23913043478261	1670.228260869565	0.9347826086956522
12	27001	27	1	Aitkin County, Minnesota	3112	Grain and oilseed milling	31	1.0	0.0	0.0	75.27094060888895	4595.371339317466	1.0	69.82290033014527	4614.694385859942	1.0
13	27001	27	1	Aitkin County, Minnesota	3114	Fruit and vegetable preserving and specialty food manufacturing	31	1.0	0.0	0.0	94.48324045433802	4554.1284328042875	1.0	78.02769994388827	4240.2594239394775	1.0
14	27001	27	1	Aitkin County, Minnesota	3116	Animal slaughtering and processing	31	1.0	0.0	0.0	158.53632723112128	5674.187070938216	1.0	158.53632723112128	5674.187070938216	1.0
15	27001	27	1	Aitkin County, Minnesota	3118	Bakeries and tortilla manufacturing	31	1.0	0.0	0.0	28.60169491525424	1076.676021116977	1.0	28.60169491525424	1076.676021116977	1.0
16	27001	27	1	Aitkin County, Minnesota	3149	Other textile product mills	31	1.3333333333333333	0.0	0.0	17.01018415523421	537.9487702385367	1.0	17.01018415523421	537.9487702385367	1.0
17	27001	27	1	Aitkin County, Minnesota	3211	Sawmills and wood preservation	32	1.2	0.0	0.0	19.87725394703336	977.8490250190987	1.0	29.5974065505968	1352.0028893399985	1.0
18	27001	27	1	Aitkin County, Minnesota	3219	Other wood product manufacturing	32	2.0	0.0	0.0	143.30363538431249	6998.69764498221	1.0	84.09167002260216	4100.058424122	1.0
19	27001	27	1	Aitkin County, Minnesota	3231	Printing and related support activities	32	2.0	0.0	0.0	94.82799960784911	3548.1076478633067	1.0	69.1489735744754	3490.0119664304466	1.0
20	27001	27	1	Aitkin County, Minnesota	3262	Rubber product manufacturing	32	1.0	0.0	0.0	35.393420884865485	1413.1270687237027	1.0	32.8903086744952	1495.6868391951675	1.0
21	27001	27	1	Aitkin County, Minnesota	3273	Cement and concrete product manufacturing	32	1.4	0.0	0.0	24.70723654638273	1239.7555916755027	1.0	17.372733586781422	1137.4559021254468	1.0
22	27001	27	1	Aitkin County, Minnesota	3327	Machine shops; turned product; and screw, nut, and bolt manufacturing	33	3.8	30.4	1442.8	30.4	1442.8	0.0	28.16	1464.4533333333334	0.92
23	27001	27	1	Aitkin County, Minnesota	3329	Other fabricated metal product manufacturing	33	1.0	0.0	0.0	31.28460080617136	1916.499601919703	1.0	36.47218276428732	2064.6486595120623	1.0
24	27001	27	1	Aitkin County, Minnesota	3331	Agriculture, construction, and mining machinery manufacturing	33	1.0	0.0	0.0	56.230631954158675	3008.59419445092	1.0	55.26894088349171	2921.1018053513594	1.0
25	27001	27	1	Aitkin County, Minnesota	3333	Commercial and service industry machinery manufacturing	33	1.0	0.0	0.0	21.740740740740737	1296.2592592592591	1.0	21.740740740740737	1296.2592592592591	1.0
26	27001	27	1	Aitkin County, Minnesota	3334	Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing	33	1.0	0.0	0.0	66.46296661193213	3480.63301973663	1.0	59.096607518053595	3330.1911322155847	1.0
27	27001	27	1	Aitkin County, Minnesota	3339	Other general purpose machinery manufacturing	33	1.0	0.0	0.0	52.080022214822684	2752.975320896164	1.0	57.81930251891564	3708.121713330165	1.0
28	27001	27	1	Aitkin County, Minnesota	3362	Motor vehicle body and trailer manufacturing	33	1.0	0.0	0.0	70.49854651162791	3287.011627906977	1.0	80.66146424182263	3563.789586878426	1.0
29	27001	27	1	Aitkin County, Minnesota	3366	Ship and boat building	33	1.0	0.0	0.0	100.37128205128208	3861.971282051282	1.0	92.86214177978886	3617.5209653091993	1.0
30	27001	27	1	Aitkin County, Minnesota	3371	Household and institutional furniture and kitchen cabinet manufacturing	33	2.0	0.0	0.0	55.50609188634236	1912.9812714013954	1.0	35.13591052861659	1288.9059871543068	1.0
31	27001	27	1	Aitkin County, Minnesota	3399	Other miscellaneous manufacturing	33	3.2	3.0	100.0	19.071220512820517	790.3387282051282	0.4	10.647944322344324	284.88133772893775	0.9428571428571428
32	27001	27	1	Aitkin County, Minnesota	4233	Lumber and other construction materials merchant wholesalers	42	2.0	0.0	0.0	39.092735159968775	2488.595107445827	1.0	38.00398263177839	2795.644392922424	1.0
33	27001	27	1	Aitkin County, Minnesota	4235	Metal and mineral (except petroleum) merchant wholesalers	42	1.0	0.0	0.0	27.20930735930736	1426.4965007215008	1.0	20.48272005772006	1219.0552639490131	1.0
34	27001	27	1	Aitkin County, Minnesota	4238	Machinery, equipment, and supplies merchant wholesalers	42	2.0	2.2	45.2	25.715697093069238	1435.351478942132	0.8	15.92744613480016	1075.8827210523423	0.9888888888888888
35	27001	27	1	Aitkin County, Minnesota	4239	Miscellaneous durable goods merchant wholesalers	42	1.2	0.0	0.0	12.214034916362074	477.2594370075885	1.0	9.344069743845845	515.15754789421	1.0
36	27001	27	1	Aitkin County, Minnesota	4244	Grocery and related product merchant wholesalers	42	2.0	0.0	0.0	54.617940161375415	2845.0079634166423	1.0	54.69259030046744	3167.7335482020594	1.0
37	27001	27	1	Aitkin County, Minnesota	4247	Petroleum and petroleum products merchant wholesalers	42	1.0	0.0	0.0	16.27986279778369	790.1781753641898	1.0	16.740666338795208	933.1684894376428	1.0
38	27001	27	1	Aitkin County, Minnesota	4249	Miscellaneous nondurable goods merchant wholesalers	42	1.2	0.0	0.0	19.418523010036463	971.4357117360023	1.0	30.323578680633656	2021.7307158688773	1.0
39	27001	27	1	Aitkin County, Minnesota	4251	Wholesale electronic markets and agents and brokers	42	1.0	0.0	0.0	9.905263157894737	328.4315789473684	1.0	9.905263157894737	328.4315789473684	1.0
40	27001	27	1	Aitkin County, Minnesota	4411	Automobile dealers	44	2.0	0.0	234.2	21.417107047094262	997.9216284962241	0.8	29.295386032489	1365.7825004200638	0.9887640449438202
41	27001	27	1	Aitkin County, Minnesota	4412	Other motor vehicle dealers	44	6.6	15.2	596.2	59.82657819225251	1383.143837876614	0.6	37.47077643162053	1534.0706072763342	0.9629629629629628
42	27001	27	1	Aitkin County, Minnesota	4413	Automotive parts, accessories, and tire stores	44	5.0	11.0	241.0	72.4303249475891	700.5255345911951	0.6	29.46903939932549	523.1916051408258	0.9673913043478259
43	27001	27	1	Aitkin County, Minnesota	4421	Furniture stores	44	1.0	0.0	0.0	12.928165526795096	319.20597677055315	1.0	12.928165526795096	319.20597677055315	1.0
44	27001	27	1	Aitkin County, Minnesota	4422	Home furnishings stores	44	2.0	0.0	0.0	12.40003029668626	148.6693048612565	1.0	12.40003029668626	148.6693048612565	1.0
45	27001	27	1	Aitkin County, Minnesota	4431	Electronics and appliance stores	44	1.3333333333333333	0.0	0.0	36.000863120367754	190.26946019237042	1.0	36.000863120367754	190.26946019237042	1.0
46	27001	27	1	Aitkin County, Minnesota	4441	Building material and supplies dealers	44	4.0	24.0	737.2	24.0	737.2	0.0	46.69565217391305	992.3369565217392	0.9347826086956522
47	27001	27	1	Aitkin County, Minnesota	4442	Lawn and garden equipment and supplies stores	44	1.8	0.0	0.0	20.056895248680366	578.2256905156032	1.0	9.24632717149099	336.06566806954567	1.0
48	27001	27	1	Aitkin County, Minnesota	4451	Grocery stores	44	4.4	29.6	461.6	218.57211307967438	3655.217307793451	0.8	163.94913578862958	3644.714920461411	0.989010989010989
49	27001	27	1	Aitkin County, Minnesota	4452	Specialty food stores	44	1.3333333333333333	0.0	0.0	9.44828310091468	181.09667116509223	1.0	19.603706465894817	358.06218161801286	1.0
50	27001	27	1	Aitkin County, Minnesota	4453	Beer, wine, and liquor stores	44	4.4	9.8	142.8	9.8	142.8	0.0	20.377777777777773	172.26666666666668	0.9333333333333332
51	27001	27	1	Aitkin County, Minnesota	4461	Health and personal care stores	44	3.0	8.4	257.6	36.94532894278363	1022.1370560025847	0.8	41.72227082103207	1273.392145934208	0.978021978021978
52	27001	27	1	Aitkin County, Minnesota	4471	Gasoline stations	44	18.8	145.4	2783.2	145.4	2783.2	0.0	167.7173913043478	2813.271739130435	0.9347826086956522
53	27001	27	1	Aitkin County, Minnesota	4481	Clothing stores	44	1.6	0.0	0.0	9.882341504710151	105.55044368585916	1.0	24.744100860199605	378.0397366675676	1.0
54	27001	27	1	Aitkin County, Minnesota	4482	Shoe stores	44	1.0	0.0	0.0	8.468210188933874	104.136487854251	1.0	8.468210188933874	104.136487854251	1.0
55	27001	27	1	Aitkin County, Minnesota	4483	Jewelry, luggage, and leather goods stores	44	1.0	0.0	0.0	4.102564102564102	86.89743589743591	1.0	4.102564102564102	86.89743589743591	1.0
56	27001	27	1	Aitkin County, Minnesota	4511	Sporting goods, hobby, and musical instrument stores	45	3.0	3.8	34.8	11.333333333333332	107.33333333333331	0.2	8.225225225225225	67.86036036036036	0.9324324324324323
57	27001	27	1	Aitkin County, Minnesota	4529	Other general merchandise stores	45	2.4	17.8	392.0	-43.742639246798795	2208.2005126242952	0.6	37.23652004184451	1048.2333618124608	0.9666666666666668
58	27001	27	1	Aitkin County, Minnesota	4531	Florists	45	1.0	0.0	0.0	5.125867944074035	47.558168158577004	1.0	4.66962986266638	70.07362046761882	1.0
59	27001	27	1	Aitkin County, Minnesota	4532	Office supplies, stationery, and gift stores	45	2.2	2.0	49.6	17.350885622683933	183.88323920556272	0.8	10.565452740206457	243.06794147735096	0.9692307692307692
60	27001	27	1	Aitkin County, Minnesota	4533	Used merchandise stores	45	1.0	0.0	0.0	8.107142857142856	86.28571428571428	1.0	8.107142857142856	86.28571428571428	1.0
61	27001	27	1	Aitkin County, Minnesota	4539	Other miscellaneous store retailers	45	1.0	0.0	0.0	4.28204484605087	80.47959261287575	1.0	5.559068530959208	133.71861747187634	1.0
62	27001	27	1	Aitkin County, Minnesota	4541	Electronic shopping and mail-order houses	45	2.0	0.0	0.0	15.67781422921317	566.6826729846982	1.0	28.74664828033474	1750.3060339405154	1.0
63	27001	27	1	Aitkin County, Minnesota	4543	Direct selling establishments	45	3.0	3.0	272.2	3.0	272.2	0.0	6.7727272727272725	272.0113636363636	0.9318181818181818
64	27001	27	1	Aitkin County, Minnesota	4812	Nonscheduled air transportation	48	1.0	0.0	0.0	3.786750700280112	190.27649859943975	1.0	6.296361836270558	505.681962847835	1.0
65	27001	27	1	Aitkin County, Minnesota	4841	General freight trucking	48	6.0	64.2	2346.8	64.2	2346.8	0.0	29.02173913043478	1141.2826086956522	0.9347826086956522
66	27001	27	1	Aitkin County, Minnesota	4842	Specialized freight trucking	48	4.8	11.0	436.2	19.53235294117647	620.179411764706	0.2	26.589689722042664	639.8560116354233	0.934065934065934
67	27001	27	1	Aitkin County, Minnesota	4881	Support activities for air transportation	48	1.25	0.0	0.0	8.78129314312011	282.47918510389746	1.0	14.626511471348516	545.0418169079168	1.0
68	27001	27	1	Aitkin County, Minnesota	5111	Newspaper, periodical, book, and directory publishers	51	1.0	0.0	0.0	38.82264791505789	2717.35541056262	1.0	29.06733977050888	1956.6532253125056	1.0
69	27001	27	1	Aitkin County, Minnesota	5121	Motion picture and video industries	51	1.0	0.0	0.0	11.8258869930909	121.58748484283926	1.0	11.419997412737631	264.4773610282542	1.0
70	27001	27	1	Aitkin County, Minnesota	5171	Wired telecommunications carriers	51	2.2	0.0	0.0	39.99624487655775	2163.2195378192678	1.0	36.85398140737115	2368.368624265758	1.0
71	27001	27	1	Aitkin County, Minnesota	5221	Depository credit intermediation	52	8.0	50.2	2391.0	50.2	2391.0	0.0	63.25	2576.3478260869565	0.9347826086956522
72	27001	27	1	Aitkin County, Minnesota	5231	Securities and commodity contracts intermediation and brokerage	52	1.4	0.0	0.0	5.5563105899948	277.70030343925083	1.0	9.18950708910222	1314.1910450922585	1.0
73	27001	27	1	Aitkin County, Minnesota	5239	Other financial investment activities	52	1.6	0.0	0.0	13.364001064473245	1048.380413024852	1.0	15.608252737076409	2020.742957303139	1.0
74	27001	27	1	Aitkin County, Minnesota	5242	Agencies, brokerages, and other insurance related activities	52	7.6	15.4	814.8	15.4	814.8	0.0	26.369565217391305	841.4673913043479	0.9347826086956522
75	27001	27	1	Aitkin County, Minnesota	5311	Lessors of real estate	53	1.4	0.0	0.0	12.760100681187765	96.52940495208408	1.0	6.232605359185147	190.47584608441954	1.0
76	27001	27	1	Aitkin County, Minnesota	5312	Offices of real estate agents and brokers	53	4.0	2.0	183.6	10.689285714285713	241.61785714285716	0.2	2.5172193877551017	279.5963010204082	0.9404761904761904
77	27001	27	1	Aitkin County, Minnesota	5313	Activities related to real estate	53	2.0	0.8	24.2	8.992222373899391	204.19073100812236	0.6	8.206000157974168	345.2041062051265	0.9743589743589745
78	27001	27	1	Aitkin County, Minnesota	5323	General rental centers	53	1.6	0.0	7.8	4.947512678762679	131.42053014553014	0.8	5.410870277505884	201.9917864516774	0.975
79	27001	27	1	Aitkin County, Minnesota	5411	Legal services	54	5.0	12.0	771.8	12.0	771.8	0.0	19.56043956043956	848.5384615384614	0.934065934065934
80	27001	27	1	Aitkin County, Minnesota	5412	Accounting, tax preparation, bookkeeping, and payroll services	54	3.0	0.0	0.0	134.58161243774148	2920.425909789136	1.0	35.82293999780924	1534.8686226470986	1.0
81	27001	27	1	Aitkin County, Minnesota	5413	Architectural, engineering, and related services	54	1.0	0.0	0.0	14.721044274238745	872.0099476928825	1.0	14.721044274238745	872.0099476928825	1.0
82	27001	27	1	Aitkin County, Minnesota	5414	Specialized design services	54	1.0	0.0	0.0	4.528631961259079	68.32068488412314	1.0	3.3146339640689924	179.38596410315543	1.0
83	27001	27	1	Aitkin County, Minnesota	5415	Computer systems design and related services	54	1.4	0.0	0.0	40.10059115700367	2695.058095213623	1.0	11.93301604782856	1017.3860104129332	1.0
84	27001	27	1	Aitkin County, Minnesota	5416	Management, scientific, and technical consulting services	54	1.8	0.0	0.0	14.468180279896377	605.4676283450489	1.0	12.319389360446813	978.2168594107817	1.0
85	27001	27	1	Aitkin County, Minnesota	5417	Scientific research and development services	54	1.0	0.0	0.0	280.2771395392048	28377.00475818867	1.0	150.80816246468854	14549.886226743038	1.0
86	27001	27	1	Aitkin County, Minnesota	5419	Other professional, scientific, and technical services	54	1.8	0.0	0.0	17.710175793948487	505.59181220305084	1.0	12.95153335421268	652.8065894586017	1.0
87	27001	27	1	Aitkin County, Minnesota	5511	Management of companies and enterprises	55	1.8	0.0	0.0	86.6292874040768	8235.764936669568	1.0	108.07185543727897	11015.63108092835	1.0
88	27001	27	1	Aitkin County, Minnesota	5611	Office administrative services	56	1.0	0.0	0.0	6.8955223880597005	311.97014925373134	1.0	6.8955223880597005	311.97014925373134	1.0
89	27001	27	1	Aitkin County, Minnesota	5614	Business support services	56	1.0	0.0	0.0	35.21206453121347	900.8297872340428	1.0	35.21206453121347	900.8297872340428	1.0
90	27001	27	1	Aitkin County, Minnesota	5617	Services to buildings and dwellings	56	10.8	5.0	564.0	5.0	564.0	0.0	13.482758620689655	984.3678160919541	0.9310344827586208
91	27001	27	1	Aitkin County, Minnesota	5619	Other support services	56	1.0	0.0	0.0	6.635400583251051	177.8743918344853	1.0	13.9019284455441	489.5830585805648	1.0
92	27001	27	1	Aitkin County, Minnesota	5621	Waste collection	56	3.0	0.0	0.0	28.945890113142266	1000.7648105205479	1.0	39.799766816808095	2112.463441949676	1.0
93	27001	27	1	Aitkin County, Minnesota	5622	Waste treatment and disposal	56	1.0	0.0	0.0	8.485714285714286	494.57142857142856	1.0	10.545634920634926	623.5201587301591	1.0
