"city","facebook","name","state","street","tags","twitter","type","website","x","y","zip"
"Acushnet","https://www.facebook.com/pages/Acushnet Farmers Market","Acushnet Farmers Market","ma","186 leonard street","baked-goods bedding plants canned preserved coffee tea cut-flowers dairy products eggs herbs fresh-fruits fresh-vegetables honey poultry fowl prepared-foods red-meat non-poultry-meat soap body-care wine spirits beer hard-cider","Acushnetfarmmarket@eventsonthefarm","farm","www.acushnetfarmersmarket.com","-70.9008270","41.7201499","02743"
"Hancock","","Appletree Hill Organic Farm","ma","3210 Hancock Rd / Rte 43","baked-goods bedding plants canned preserved crafts woodworking dairy products eggs herbs fresh-fruits fresh-vegetables honey maple-products soap body-care","","farm","","-73.302872","42.570095","01237"
"South Amherst ","Atkins Farms Country Market","Atkins Farms Country Market","ma","1150 West Street","baked-goods bedding plants canned preserved coffee tea cut-flowers dairy products dry beans eggs fish seafood herbs fresh-fruits fresh-vegetables grains flour honey juices ciders maple-products mushrooms nuts poultry fowl prepared-foods red-meat non-poultry-meat tofu non-animal protein wine spirits beer hard-cider","","farm","www.atkinsfarms.com","-72.529185","42.319161","01002"
"Groton","https://www.facebook.com/pages/Autumn-Hills-Orchard/67274499610","Autumn Hills Orchard","ma","495 Chicopee Row","fresh-fruits maple-products","https://twitter.com/autumnhills","farm","www.autumnhillsorchard.com","-71.544073","42.638662","1450"
"Nantucket","https://www.facebook.com/Bartlett'sFarm","Bartlett's Ocean View Farm","ma","33 Bartlett Farm Road","baked-goods bedding plants canned preserved coffee tea cut-flowers dairy products dry beans eggs fish seafood herbs fresh-fruits fresh-vegetables honey juices ciders maple-products mushrooms nursery-stock nuts poultry fowl prepared-foods red-meat non-poultry-meat soap body-care wine spirits beer hard-cider","https://www.twitter.com/BartlettsFarm","farm","www.bartlettsfarm.com","-70.133123","41.256643","02554"
"Ipswich","https://www.facebook.com/ChickenLittleFarm","Chicken Little Farm","ma","15 Ward Street","eggs fresh-vegetables poultry fowl","","farm","http://chickenlittlefarm.webs.com/","-70.833784","42.673694","01938"
"Truro","http://www.facebook.com/davesgreens","Dave's Greens","ma","","bedding plants canned preserved cut-flowers eggs herbs fresh-vegetables honey nursery-stock wild-harvested forest-products","","farm","","-70.057508","41.984403",""
"South Lancaster","https://www.facebook.com/GeorgeHillOrchards","George Hill Orchards","ma","582 George Hill Road","baked-goods canned preserved coffee tea fresh-fruits juices ciders prepared-foods","","farm","www.yourfavoritefarm.com","-71.700870","42.449942","01561"
"Chester","","Jamesons High Meadow Farm","ma","410 Skyline Trail","","","farm","","-72.934729","42.29833","1011"
"New Ashford","maureen jennings","Jennings Brook Farm","ma","69 Beach Hill Road","bedding plants crafts woodworking eggs herbs fresh-fruits fresh-vegetables honey juices ciders maple-products","","farm","","-73.2488101","42.6140437","01237"
"North Easton","https://www.facebook.com/langwaterfarm/","Langwater Farm","ma","209 Washington Street","canned preserved cut-flowers herbs fresh-fruits fresh-vegetables honey maple-products mushrooms","","farm","www.langwaterfarm.com","-71.0884306","42.0737109","02356"
"Lexington","meadow mist farm lexington mass","Meadow Mist Farm ","ma","142 Marrett Rd, 12 Bacon Street","canned preserved cut-flowers dry beans eggs herbs fresh-fruits fresh-vegetables honey poultry fowl red-meat non-poultry-meat","142 Marrett Rd","farm","meadow-mist.com","-71.230909","42.445743","02421"
"North Attleboro","millers family farm","Miller's Family Farm","ma","500 Allen Avenue","honey","","farm","www.millersfamilyfarm.net","-71.3584082","41.9509075","02760"
"Woods Hole","https://www.facebook.com/pages/Nobska-Farms-Inc/365738883456610","Nobska Farms, Inc.","ma","9 Nobska Rd","bedding plants canned preserved fresh-vegetables","https://twitter.com/NobskaFarms/","farm","http://nobskafarms.com/","-70.6599650","41.5234110","02543"
"Whately","","Nourse Farms","ma","41 River Road","fresh-fruits","","farm","www.noursefarms.com","-72.590481","42.427147","01093"
"Ashburnham","","Odd Pine Farm","ma","122 Ferin Road","","","farm","www.oddpinefarm.com","-71.9341540","42.7010360","01430"
"Canton","https://www.facebook.com/PakeenFarm","Pakeen Farm","ma","109 Elm Street","baked-goods fresh-fruits fresh-vegetables honey maple-products prepared-foods","","farm","http://www.pakeenfarm.com","-71.137662","42.200748","02021"
"Westport","Paradise Hill Farm","Paradise Hill Farm","ma","103 Cadmans /neck","baked-goods bedding plants canned preserved cut-flowers dairy products eggs herbs fresh-fruits fresh-vegetables honey juices ciders maple-products nursery-stock soap body-care","Paradise Hill Farm","farm","","-71.065072","41.561165","02790"
"Concord","https://www.facebook.com/peteandjen.backyardbirds","Pete and Jen's Backyard Birds","ma","Wheeler Road, in Verrill Farm Horse Stable","canned preserved eggs herbs fresh-vegetables grains flour maple-products poultry fowl red-meat non-poultry-meat soap body-care","https://twitter.com/Backyardbirds;   @backyardbirds","farm","www.peteandjensbackyardbirds.com","-71.378431","42.422589","01742"
"Marlborough","","Spring Hill Farm","ma","1050 Broadmeadow Street","fish seafood fresh-vegetables","","farm","http://www.cgg-usa.com/springhillfarm.html","-71.4932568","42.3362604","01752"
