# Create tables and .import ./zbp16detail.txt industries
#Create tables and import ./naics/2017_Naics_to_ISIC_4.csv to naics
industries  naics       zipcodes  
~~~~~
8418284
~~~~~
georgiaRows
158265
~~~~~
georgiaZipCount
432
~~~~~
georgiaCompanyCount
178405
~~~~~
zip,companiesInZip
30041,3570
30024,2886
30096,2771
30328,2559
30339,2542
30004,2472
30022,2430
30319,2176
30144,2174
30044,2166
30305,2158
30062,2117
30097,2047
30309,1959
30040,1901
30076,1896
30043,1888
30075,1829
30005,1794
30071,1762
30066,1682
30084,1655
30092,1650
30501,1592
30303,1591
30342,1576
30080,1520
30188,1514
30518,1491
30067,1490
30060,1482
30338,1472
30326,1455
30341,1447
30606,1402
30047,1396
30909,1378
30093,1371
30269,1358
30907,1321
30281,1300
30253,1280
30030,1271
30340,1233
30316,1232
30214,1202
30120,1152
30114,1140
30064,1124
30101,1123
30324,1112
30168,1101
30458,1069
30519,1067
30068,1061
30052,1056
30308,1054
30263,1036
30720,1028
30135,1014
30117,1012
30009,978
30349,968
30189,940
30161,911
30014,907
30033,895
30721,876
30701,852
30809,851
30165,849
30045,848
30115,841
30327,839
30350,838
30901,830
30046,821
30315,810
30248,806
30134,801
30236,799
30152,790
30013,787
30265,778
30213,766
30019,748
30307,744
30306,741
30240,738
30346,720
30906,718
30345,711
30127,710
30680,704
30260,679
30601,673
30312,672
30125,670
30012,669
30331,663
30534,653
30344,652
30297,650
30223,640
30336,638
30126,626
30228,624
30087,618
30083,614
30677,599
30542,598
30180,590
30143,582
30082,556
30132,555
30655,550
30032,548
30506,545
30904,540
30141,536
30058,526
30607,516
30512,515
30122,508
30736,502
30039,498
30474,496
30354,478
30274,475
30577,472
30224,470
30533,467
30102,457
30513,453
30106,452
30157,448
30528,445
30215,440
30094,439
30038,438
30360,437
30034,435
30241,431
30286,428
30549,427
30252,426
30540,424
30529,410
30417,402
30650,402
30314,399
30824,396
30035,389
30121,378
30504,377
30233,356
30290,354
30337,348
30017,347
30054,342
30548,340
30288,334
30813,332
30016,322
30401,307
30363,304
30643,304
30291,301
30531,299
30311,297
30294,292
30525,291
30510,280
30028,274
30179,272
30830,266
30107,265
30523,261
30507,257
30110,256
30055,252
30153,252
30008,249
30317,247
30741,245
30277,244
30176,232
30116,223
30815,220
30566,214
30021,212
30439,210
30747,209
30276,202
30511,201
30633,198
30103,197
30204,196
30546,191
30313,189
30467,188
30361,184
30011,181
30145,180
30656,177
30646,174
30673,173
30139,172
30049,171
30148,168
30427,168
30436,163
30268,162
30461,154
30582,152
30025,146
30104,144
30184,142
30095,140
30554,138
30088,137
30002,132
30015,130
30273,130
30434,130
30250,128
30258,126
30320,126
30296,124
30178,123
30295,123
30183,122
30187,121
30739,116
30520,114
30077,112
30147,112
30162,111
30545,111
30442,106
30108,105
30010,104
30666,104
30061,100
30018,99
30170,99
30065,96
30905,96
30453,95
30173,93
30230,92
30415,90
30567,89
30042,88
30814,88
30457,85
30527,83
30356,81
30683,81
30079,78
30722,77
30006,72
30048,72
30029,70
30112,68
30220,68
30113,68
30031,66
30755,66
30003,60
30085,60
30056,60
30185,60
30629,59
30292,57
30036,55
30503,54
30571,53
30175,51
30560,50
30630,49
30563,48
30558,47
30421,46
30663,44
30903,40
30735,39
30475,35
30026,33
30037,32
30124,29
30109,22
30118,22
30730,14
~~~~~
count,naics
474,81----
456,813///
452,44----
445,8131//
445,81311/
445,813110
433,23----
418,54----
418,541///
413,62----
408,238///
401,56----
398,42----
397,561///
395,31----
393,72----
387,722///
382,48----
376,7225//
376,72251/
372,447///
372,4471//
370,52----
368,44711/
368,447110
363,621///
361,2382//
360,423///
358,5617//
354,236///
351,811///
350,53----
349,484///
342,531///
337,445///
334,2361//
334,23611/
327,452///
327,522///
324,722511
323,4529//
323,45299/
323,452990
317,23822/
317,238220
316,8111//
315,4451//
314,722513
313,56173/
313,561730
~~~~~
