	id	state	COUNTY	GEO_TTL	relevant_naics	NAICS2012_TTL	NAICS_Sector	estab	emp	payann
32489	37	37	999	North Carolina -- Statewide	21	Mining, quarrying, and oil and gas extraction	21	5.2	26.6	3452.4
32490	37	37	999	North Carolina -- Statewide	22	Utilities	22	1.6	0.0	0.0
32491	37	37	999	North Carolina -- Statewide	23	Construction	23	7.0	1141.8	63269.6
32492	37	37	999	North Carolina -- Statewide	42	Wholesale trade	42	146.0	2600.0	398742.6
32493	37	37	999	North Carolina -- Statewide	51	Information	51	50.2	1405.4	168319.0
32494	37	37	999	North Carolina -- Statewide	52	Finance and insurance	52	147.4	5074.2	492483.0
32495	37	37	999	North Carolina -- Statewide	53	Real estate and rental and leasing	53	3.2	5.6	381.8
32496	37	37	999	North Carolina -- Statewide	54	Professional, scientific, and technical services	54	80.6	5523.0	407786.2
32497	37	37	999	North Carolina -- Statewide	55	Management of companies and enterprises	55	13.6	129.2	16766.2
32498	37	37	999	North Carolina -- Statewide	56	Administrative and support and waste management and remediation services	56	95.8	90523.4	3250219.0
32499	37	37	999	North Carolina -- Statewide	61	Educational services	61	6.4	209.8	6268.6
32500	37	37	999	North Carolina -- Statewide	62	Health care and social assistance	62	16.4	1422.4	59749.8
32501	37	37	999	North Carolina -- Statewide	71	Arts, entertainment, and recreation	71	1.0	0.0	0.0
32502	37	37	999	North Carolina -- Statewide	72	Accommodation and food services	72	2.0	0.0	0.0
32503	37	37	999	North Carolina -- Statewide	81	Other services (except public administration)	81	9.2	57.6	2934.8
