	id	state	COUNTY	GEO_TTL	relevant_naics	NAICS2012_TTL	NAICS_Sector	estab	emp	payann	estimate
180	13005	13	5	Bacon County, Georgia	2382	Building equipment contractors	23	3.2	3.4	132.6	
209	13005	13	5	Bacon County, Georgia	4249	Miscellaneous nondurable goods merchant wholesalers	42	5.0	126.4	4439.6	
210	13005	13	5	Bacon County, Georgia	4411	Automobile dealers	44	4.0	2.6	29.6	
211	13005	13	5	Bacon County, Georgia	4413	Automotive parts, accessories, and tire stores	44	5.0	15.2	464.6	
214	13005	13	5	Bacon County, Georgia	4441	Building material and supplies dealers	44	4.0	11.2	390.4	
216	13005	13	5	Bacon County, Georgia	4451	Grocery stores	44	4.2	52.2	872.8	
217	13005	13	5	Bacon County, Georgia	4461	Health and personal care stores	44	4.0	48.2	1135.6	
218	13005	13	5	Bacon County, Georgia	4471	Gasoline stations	44	11.2	58.6	973.2	
225	13005	13	5	Bacon County, Georgia	4841	General freight trucking	48	11.0	42.6	1632.6	
226	13005	13	5	Bacon County, Georgia	4842	Specialized freight trucking	48	5.8	14.8	477.4	
234	13005	13	5	Bacon County, Georgia	5222	Nondepository credit intermediation	52	3.4	4.6	227.2	
237	13005	13	5	Bacon County, Georgia	5242	Agencies, brokerages, and other insurance related activities	52	7.6	20.4	547.8	
240	13005	13	5	Bacon County, Georgia	5411	Legal services	54	4.4	4.6	342.8	
241	13005	13	5	Bacon County, Georgia	5412	Accounting, tax preparation, bookkeeping, and payroll services	54	2.8	5.0	203.8	
242	13005	13	5	Bacon County, Georgia	5413	Architectural, engineering, and related services	54	1.4	2.6	92.4	
253	13005	13	5	Bacon County, Georgia	6211	Offices of physicians	62	8.2	58.6	2298.2	
261	13005	13	5	Bacon County, Georgia	7139	Other amusement and recreation industries	71	2.0	2.4	52.2	
264	13005	13	5	Bacon County, Georgia	7225	Restaurants and other eating places	72	12.0	128.6	1601.6	
265	13005	13	5	Bacon County, Georgia	8111	Automotive repair and maintenance	81	8.6	21.2	734.6	
271	13005	13	5	Bacon County, Georgia	8131	Religious organizations	81	10.2	27.8	477.8	
307	13009	13	9	Baldwin County, Georgia	2361	Residential building construction	23	11.2	23.8	935.8	
308	13009	13	9	Baldwin County, Georgia	2362	Nonresidential building construction	23	3.0	7.0	524.4	
312	13009	13	9	Baldwin County, Georgia	2381	Foundation, structure, and building exterior contractors	23	2.4	7.6	116.8	
313	13009	13	9	Baldwin County, Georgia	2382	Building equipment contractors	23	20.2	104.0	4814.2	
314	13009	13	9	Baldwin County, Georgia	2383	Building finishing contractors	23	7.2	15.2	630.4	
315	13009	13	9	Baldwin County, Georgia	2389	Other specialty trade contractors	23	3.6	5.0	296.8	
322	13009	13	9	Baldwin County, Georgia	3231	Printing and related support activities	32	3.0	12.2	289.4	
340	13009	13	9	Baldwin County, Georgia	4238	Machinery, equipment, and supplies merchant wholesalers	42	3.2	19.6	738.2	
341	13009	13	9	Baldwin County, Georgia	4239	Miscellaneous durable goods merchant wholesalers	42	2.2	1.6	34.8	
346	13009	13	9	Baldwin County, Georgia	4247	Petroleum and petroleum products merchant wholesalers	42	3.0	7.6	304.8	
349	13009	13	9	Baldwin County, Georgia	4411	Automobile dealers	44	12.8	212.6	9519.4	
351	13009	13	9	Baldwin County, Georgia	4413	Automotive parts, accessories, and tire stores	44	9.8	68.4	1615.0	
352	13009	13	9	Baldwin County, Georgia	4421	Furniture stores	44	3.4	22.8	669.4	
354	13009	13	9	Baldwin County, Georgia	4431	Electronics and appliance stores	44	8.0	16.4	596.0	
355	13009	13	9	Baldwin County, Georgia	4441	Building material and supplies dealers	44	10.0	73.2	4638.4	
356	13009	13	9	Baldwin County, Georgia	4442	Lawn and garden equipment and supplies stores	44	4.2	13.8	488.4	
357	13009	13	9	Baldwin County, Georgia	4451	Grocery stores	44	15.0	337.8	6635.6	
359	13009	13	9	Baldwin County, Georgia	4453	Beer, wine, and liquor stores	44	6.2	11.8	221.6	
360	13009	13	9	Baldwin County, Georgia	4461	Health and personal care stores	44	17.4	176.0	5666.8	
361	13009	13	9	Baldwin County, Georgia	4471	Gasoline stations	44	30.4	74.2	2329.0	
362	13009	13	9	Baldwin County, Georgia	4481	Clothing stores	44	12.6	85.6	1268.4	
363	13009	13	9	Baldwin County, Georgia	4482	Shoe stores	44	4.4	15.0	234.6	
365	13009	13	9	Baldwin County, Georgia	4511	Sporting goods, hobby, and musical instrument stores	45	5.0	24.4	850.6	
366	13009	13	9	Baldwin County, Georgia	4512	Book stores and news dealers	45	2.2	0.8	29.6	
368	13009	13	9	Baldwin County, Georgia	4529	Other general merchandise stores	45	11.8	186.0	4184.0	
370	13009	13	9	Baldwin County, Georgia	4532	Office supplies, stationery, and gift stores	45	3.0	4.0	62.6	
371	13009	13	9	Baldwin County, Georgia	4533	Used merchandise stores	45	2.0	0.0	74.6	
372	13009	13	9	Baldwin County, Georgia	4539	Other miscellaneous store retailers	45	7.6	20.2	693.2	
