	id	state	COUNTY	GEO_TTL	relevant_naics	NAICS2012_TTL	NAICS_Sector	estab	emp	payann	estimate
8691	13123	13	123	Gilmer County, Georgia	4483	Jewelry, luggage, and leather goods stores	44	3.0	11.2	244.2	
8697	13123	13	123	Gilmer County, Georgia	4539	Other miscellaneous store retailers	45	2.0	2.4	31.6	
8700	13123	13	123	Gilmer County, Georgia	4543	Direct selling establishments	45	5.4	16.8	567.0	
8702	13123	13	123	Gilmer County, Georgia	4841	General freight trucking	48	5.6	14.2	598.8	
8703	13123	13	123	Gilmer County, Georgia	4842	Specialized freight trucking	48	2.6	2.4	41.6	
8705	13123	13	123	Gilmer County, Georgia	4884	Support activities for road transportation	48	1.75	0.75	2.0	
8712	13123	13	123	Gilmer County, Georgia	5221	Depository credit intermediation	52	7.0	26.0	4081.4	
8713	13123	13	123	Gilmer County, Georgia	5222	Nondepository credit intermediation	52	2.8	3.2	156.4	
8718	13123	13	123	Gilmer County, Georgia	5242	Agencies, brokerages, and other insurance related activities	52	9.4	15.8	861.6	
8719	13123	13	123	Gilmer County, Georgia	5311	Lessors of real estate	53	4.8	5.4	107.8	
8720	13123	13	123	Gilmer County, Georgia	5312	Offices of real estate agents and brokers	53	15.0	6.2	704.8	
8721	13123	13	123	Gilmer County, Georgia	5313	Activities related to real estate	53	7.0	13.0	368.0	
8723	13123	13	123	Gilmer County, Georgia	5322	Consumer goods rental	53	2.8	4.0	85.0	
8726	13123	13	123	Gilmer County, Georgia	5411	Legal services	54	7.8	28.4	1194.4	
8727	13123	13	123	Gilmer County, Georgia	5412	Accounting, tax preparation, bookkeeping, and payroll services	54	8.2	45.6	723.2	
8728	13123	13	123	Gilmer County, Georgia	5413	Architectural, engineering, and related services	54	8.8	15.8	672.4	
8729	13123	13	123	Gilmer County, Georgia	5415	Computer systems design and related services	54	4.4	3.2	190.4	
8730	13123	13	123	Gilmer County, Georgia	5416	Management, scientific, and technical consulting services	54	12.6	8.8	941.2	
8733	13123	13	123	Gilmer County, Georgia	5419	Other professional, scientific, and technical services	54	4.0	17.8	886.2	
8739	13123	13	123	Gilmer County, Georgia	5617	Services to buildings and dwellings	56	8.8	125.2	3137.0	
8743	13123	13	123	Gilmer County, Georgia	6111	Elementary and secondary schools	61	3.4	34.6	672.6	
8747	13123	13	123	Gilmer County, Georgia	6116	Other schools and instruction	61	4.0	3.8	83.2	
8748	13123	13	123	Gilmer County, Georgia	6211	Offices of physicians	62	9.6	73.0	3161.6	
8749	13123	13	123	Gilmer County, Georgia	6212	Offices of dentists	62	8.2	46.0	1948.6	
8750	13123	13	123	Gilmer County, Georgia	6213	Offices of other health practitioners	62	12.8	47.8	1683.4	
8751	13123	13	123	Gilmer County, Georgia	6214	Outpatient care centers	62	4.0	24.6	1476.4	
8757	13123	13	123	Gilmer County, Georgia	6241	Individual and family services	62	5.2	34.8	531.2	
8763	13123	13	123	Gilmer County, Georgia	7139	Other amusement and recreation industries	71	3.2	6.4	93.8	
8764	13123	13	123	Gilmer County, Georgia	7211	Traveler accommodation	72	6.8	49.8	1046.2	
8768	13123	13	123	Gilmer County, Georgia	7225	Restaurants and other eating places	72	49.6	774.8	10442.4	
8769	13123	13	123	Gilmer County, Georgia	8111	Automotive repair and maintenance	81	6.8	31.2	864.0	
8773	13123	13	123	Gilmer County, Georgia	8121	Personal care services	81	6.0	11.4	178.2	
8776	13123	13	123	Gilmer County, Georgia	8129	Other personal services	81	2.2	0.8	20.6	
8777	13123	13	123	Gilmer County, Georgia	8131	Religious organizations	81	18.8	76.8	1587.0	
8780	13123	13	123	Gilmer County, Georgia	8134	Civic and social organizations	81	3.0	3.0	94.2	
8781	13123	13	123	Gilmer County, Georgia	8139	Business, professional, labor, political, and similar organizations	81	7.0	81.6	2353.8	
8804	13125	13	125	Glascock County, Georgia	8131	Religious organizations	81	2.4	2.4	33.4	
8807	13127	13	127	Glynn County, Georgia	1133	Logging	11	3.6	13.2	592.6	
8810	13127	13	127	Glynn County, Georgia	2131	Support activities for mining	21	2.2	0.0	96.2	
8814	13127	13	127	Glynn County, Georgia	2361	Residential building construction	23	68.2	158.6	6144.6	
8815	13127	13	127	Glynn County, Georgia	2362	Nonresidential building construction	23	9.8	257.2	10507.2	
8816	13127	13	127	Glynn County, Georgia	2371	Utility system construction	23	2.6	0.0	109.6	
8817	13127	13	127	Glynn County, Georgia	2372	Land subdivision	23	3.2	3.0	128.2	
8820	13127	13	127	Glynn County, Georgia	2381	Foundation, structure, and building exterior contractors	23	13.2	36.6	1190.2	
8821	13127	13	127	Glynn County, Georgia	2382	Building equipment contractors	23	56.4	315.6	11088.4	
8822	13127	13	127	Glynn County, Georgia	2383	Building finishing contractors	23	32.2	136.2	4242.4	
8823	13127	13	127	Glynn County, Georgia	2389	Other specialty trade contractors	23	9.6	58.6	3022.6	
8828	13127	13	127	Glynn County, Georgia	3118	Bakeries and tortilla manufacturing	31	4.0	16.4	289.4	
8836	13127	13	127	Glynn County, Georgia	3231	Printing and related support activities	32	5.2	68.6	3523.8	
8842	13127	13	127	Glynn County, Georgia	3279	Other nonmetallic mineral product manufacturing	32	3.8	45.0	1520.4	
8849	13127	13	127	Glynn County, Georgia	3327	Machine shops; turned product; and screw, nut, and bolt manufacturing	33	4.6	13.4	663.4	
8860	13127	13	127	Glynn County, Georgia	4231	Motor vehicle and motor vehicle parts and supplies merchant wholesalers	42	5.2	63.4	4208.4	
8861	13127	13	127	Glynn County, Georgia	4232	Furniture and home furnishing merchant wholesalers	42	2.8	8.0	354.0	
8862	13127	13	127	Glynn County, Georgia	4233	Lumber and other construction materials merchant wholesalers	42	4.0	5.6	473.0	
8863	13127	13	127	Glynn County, Georgia	4234	Professional and commercial equipment and supplies merchant wholesalers	42	4.2	11.8	431.8	
8865	13127	13	127	Glynn County, Georgia	4236	Household appliances and electrical and electronic goods merchant wholesalers	42	4.8	11.2	783.2	
8866	13127	13	127	Glynn County, Georgia	4237	Hardware, plumbing and heating equipment and supplies merchant wholesalers	42	8.0	58.8	3273.0	
8867	13127	13	127	Glynn County, Georgia	4238	Machinery, equipment, and supplies merchant wholesalers	42	13.6	87.4	4038.6	
8868	13127	13	127	Glynn County, Georgia	4239	Miscellaneous durable goods merchant wholesalers	42	3.8	5.0	158.8	
8869	13127	13	127	Glynn County, Georgia	4241	Paper and paper product merchant wholesalers	42	2.4	5.8	211.4	
8872	13127	13	127	Glynn County, Georgia	4244	Grocery and related product merchant wholesalers	42	8.6	111.6	5981.4	
8873	13127	13	127	Glynn County, Georgia	4246	Chemical and allied products merchant wholesalers	42	3.4	6.6	359.0	
8875	13127	13	127	Glynn County, Georgia	4249	Miscellaneous nondurable goods merchant wholesalers	42	3.0	2.0	172.0	
8876	13127	13	127	Glynn County, Georgia	4251	Wholesale electronic markets and agents and brokers	42	13.8	28.0	3624.4	
8877	13127	13	127	Glynn County, Georgia	4411	Automobile dealers	44	18.2	464.2	21895.2	
8878	13127	13	127	Glynn County, Georgia	4412	Other motor vehicle dealers	44	6.4	31.0	1144.4	
8879	13127	13	127	Glynn County, Georgia	4413	Automotive parts, accessories, and tire stores	44	21.6	171.2	4675.2	
8880	13127	13	127	Glynn County, Georgia	4421	Furniture stores	44	11.4	54.6	1956.4	
8881	13127	13	127	Glynn County, Georgia	4422	Home furnishings stores	44	19.6	122.6	2773.4	
8882	13127	13	127	Glynn County, Georgia	4431	Electronics and appliance stores	44	11.8	17.6	987.8	
8883	13127	13	127	Glynn County, Georgia	4441	Building material and supplies dealers	44	29.8	472.4	13290.8	
8884	13127	13	127	Glynn County, Georgia	4442	Lawn and garden equipment and supplies stores	44	7.2	50.0	1374.6	
8885	13127	13	127	Glynn County, Georgia	4451	Grocery stores	44	35.6	627.2	12719.4	
8886	13127	13	127	Glynn County, Georgia	4452	Specialty food stores	44	7.0	19.0	642.0	
8887	13127	13	127	Glynn County, Georgia	4453	Beer, wine, and liquor stores	44	20.2	47.8	953.0	
8888	13127	13	127	Glynn County, Georgia	4461	Health and personal care stores	44	41.4	317.0	10412.0	
8889	13127	13	127	Glynn County, Georgia	4471	Gasoline stations	44	44.4	353.2	6923.8	
8890	13127	13	127	Glynn County, Georgia	4481	Clothing stores	44	49.6	430.6	7481.4	
8891	13127	13	127	Glynn County, Georgia	4482	Shoe stores	44	9.0	47.4	1202.4	
8892	13127	13	127	Glynn County, Georgia	4483	Jewelry, luggage, and leather goods stores	44	13.8	67.8	1750.6	
8893	13127	13	127	Glynn County, Georgia	4511	Sporting goods, hobby, and musical instrument stores	45	17.6	91.6	1588.4	
8894	13127	13	127	Glynn County, Georgia	4512	Book stores and news dealers	45	3.6	23.2	335.6	
8895	13127	13	127	Glynn County, Georgia	4521	Department stores	45	3.0	122.0	2247.6	
8896	13127	13	127	Glynn County, Georgia	4529	Other general merchandise stores	45	21.0	274.6	7014.6	
8897	13127	13	127	Glynn County, Georgia	4531	Florists	45	5.8	21.4	298.4	
8898	13127	13	127	Glynn County, Georgia	4532	Office supplies, stationery, and gift stores	45	21.0	126.0	2779.2	
8899	13127	13	127	Glynn County, Georgia	4533	Used merchandise stores	45	10.0	51.8	718.8	
8900	13127	13	127	Glynn County, Georgia	4539	Other miscellaneous store retailers	45	10.0	75.8	1422.2	
8901	13127	13	127	Glynn County, Georgia	4541	Electronic shopping and mail-order houses	45	5.2	6.6	319.2	
8903	13127	13	127	Glynn County, Georgia	4543	Direct selling establishments	45	13.2	23.2	1123.8	
8905	13127	13	127	Glynn County, Georgia	4841	General freight trucking	48	7.4	89.6	3700.2	
8906	13127	13	127	Glynn County, Georgia	4842	Specialized freight trucking	48	11.2	157.0	6136.0	
8914	13127	13	127	Glynn County, Georgia	4872	Scenic and sightseeing transportation, water	48	3.4	9.6	204.0	
8916	13127	13	127	Glynn County, Georgia	4881	Support activities for air transportation	48	7.0	93.6	5617.8	
8918	13127	13	127	Glynn County, Georgia	4883	Support activities for water transportation	48	7.2	655.4	15913.0	
8919	13127	13	127	Glynn County, Georgia	4884	Support activities for road transportation	48	3.8	4.4	101.4	
8920	13127	13	127	Glynn County, Georgia	4885	Freight transportation arrangement	48	6.0	28.0	3811.0	
8922	13127	13	127	Glynn County, Georgia	4922	Local messengers and local delivery	49	2.6	8.4	228.6	
8924	13127	13	127	Glynn County, Georgia	5111	Newspaper, periodical, book, and directory publishers	51	9.8	11.4	475.0	
8925	13127	13	127	Glynn County, Georgia	5121	Motion picture and video industries	51	6.0	79.2	955.8	
8926	13127	13	127	Glynn County, Georgia	5151	Radio and television broadcasting	51	4.4	34.2	1066.6	
8927	13127	13	127	Glynn County, Georgia	5171	Wired telecommunications carriers	51	8.0	136.2	6804.0	
8928	13127	13	127	Glynn County, Georgia	5172	Wireless telecommunications carriers (except satellite)	51	5.0	15.0	874.4	
8933	13127	13	127	Glynn County, Georgia	5221	Depository credit intermediation	52	41.2	319.8	15591.8	
8934	13127	13	127	Glynn County, Georgia	5222	Nondepository credit intermediation	52	27.2	83.8	4607.6	
8935	13127	13	127	Glynn County, Georgia	5223	Activities related to credit intermediation	52	5.6	11.0	580.4	
8936	13127	13	127	Glynn County, Georgia	5231	Securities and commodity contracts intermediation and brokerage	52	19.8	14.0	2003.8	
8937	13127	13	127	Glynn County, Georgia	5239	Other financial investment activities	52	12.0	44.6	2131.2	
8938	13127	13	127	Glynn County, Georgia	5241	Insurance carriers	52	5.8	11.6	1270.6	
8939	13127	13	127	Glynn County, Georgia	5242	Agencies, brokerages, and other insurance related activities	52	37.8	168.0	7169.6	
8941	13127	13	127	Glynn County, Georgia	5311	Lessors of real estate	53	44.2	124.8	3004.4	
8942	13127	13	127	Glynn County, Georgia	5312	Offices of real estate agents and brokers	53	53.6	71.0	4228.6	
8943	13127	13	127	Glynn County, Georgia	5313	Activities related to real estate	53	35.4	134.8	4417.2	
8944	13127	13	127	Glynn County, Georgia	5321	Automotive equipment rental and leasing	53	3.2	13.2	851.0	
8945	13127	13	127	Glynn County, Georgia	5322	Consumer goods rental	53	15.0	51.8	1826.6	
8947	13127	13	127	Glynn County, Georgia	5324	Commercial and industrial machinery and equipment rental and leasing	53	4.6	23.6	2325.4	
8949	13127	13	127	Glynn County, Georgia	5411	Legal services	54	88.4	278.0	17782.8	
8950	13127	13	127	Glynn County, Georgia	5412	Accounting, tax preparation, bookkeeping, and payroll services	54	41.0	123.0	6387.0	
8951	13127	13	127	Glynn County, Georgia	5413	Architectural, engineering, and related services	54	34.2	100.0	5949.4	
8952	13127	13	127	Glynn County, Georgia	5414	Specialized design services	54	11.8	14.4	693.0	
8953	13127	13	127	Glynn County, Georgia	5415	Computer systems design and related services	54	13.4	28.8	1313.6	
8954	13127	13	127	Glynn County, Georgia	5416	Management, scientific, and technical consulting services	54	42.8	49.0	3474.6	
8956	13127	13	127	Glynn County, Georgia	5418	Advertising, public relations, and related services	54	17.8	44.8	3595.2	
8957	13127	13	127	Glynn County, Georgia	5419	Other professional, scientific, and technical services	54	22.6	126.0	3707.6	
8958	13127	13	127	Glynn County, Georgia	5511	Management of companies and enterprises	55	9.6	153.0	11853.0	
8959	13127	13	127	Glynn County, Georgia	5611	Office administrative services	56	9.0	44.6	2338.8	
8960	13127	13	127	Glynn County, Georgia	5612	Facilities support services	56	6.6	168.0	3090.6	
8961	13127	13	127	Glynn County, Georgia	5613	Employment services	56	12.2	989.0	28407.4	
8962	13127	13	127	Glynn County, Georgia	5614	Business support services	56	10.0	388.4	9655.6	
8963	13127	13	127	Glynn County, Georgia	5615	Travel arrangement and reservation services	56	6.0	9.6	483.0	
8964	13127	13	127	Glynn County, Georgia	5616	Investigation and security services	56	8.8	133.0	5063.4	
8965	13127	13	127	Glynn County, Georgia	5617	Services to buildings and dwellings	56	87.0	680.4	17754.4	
8966	13127	13	127	Glynn County, Georgia	5619	Other support services	56	2.6	2.4	71.6	
8968	13127	13	127	Glynn County, Georgia	5629	Remediation and other waste management services	56	3.0	5.2	263.8	
8969	13127	13	127	Glynn County, Georgia	6111	Elementary and secondary schools	61	4.0	157.4	4637.8	
8971	13127	13	127	Glynn County, Georgia	6115	Technical and trade schools	61	3.0	3.2	55.6	
8972	13127	13	127	Glynn County, Georgia	6116	Other schools and instruction	61	12.8	7.4	127.2	
8974	13127	13	127	Glynn County, Georgia	6211	Offices of physicians	62	89.4	667.2	45449.6	
8975	13127	13	127	Glynn County, Georgia	6212	Offices of dentists	62	31.0	211.6	10442.0	
8976	13127	13	127	Glynn County, Georgia	6213	Offices of other health practitioners	62	44.8	171.4	6120.8	
8977	13127	13	127	Glynn County, Georgia	6214	Outpatient care centers	62	13.0	157.8	6505.6	
8978	13127	13	127	Glynn County, Georgia	6215	Medical and diagnostic laboratories	62	9.2	211.4	12260.0	
8979	13127	13	127	Glynn County, Georgia	6216	Home health care services	62	10.8	231.2	6587.4	
8980	13127	13	127	Glynn County, Georgia	6219	Other ambulatory health care services	62	2.4	7.0	364.4	
8983	13127	13	127	Glynn County, Georgia	6231	Nursing care facilities (skilled nursing facilities)	62	3.2	261.2	6523.4	
8984	13127	13	127	Glynn County, Georgia	6232	Residential intellectual and developmental disability, mental health, and substance abuse facilities	62	2.8	3.0	100.8	
8985	13127	13	127	Glynn County, Georgia	6233	Continuing care retirement communities and assisted living facilities for the elderly	62	3.2	112.6	2307.0	
8987	13127	13	127	Glynn County, Georgia	6241	Individual and family services	62	12.8	117.2	2956.2	
8988	13127	13	127	Glynn County, Georgia	6242	Community food and housing, and emergency and other relief services	62	3.0	25.4	632.6	
8989	13127	13	127	Glynn County, Georgia	6243	Vocational rehabilitation services	62	5.0	62.4	1551.8	
8990	13127	13	127	Glynn County, Georgia	6244	Child day care services	62	18.2	267.0	4627.8	
8992	13127	13	127	Glynn County, Georgia	7112	Spectator sports	71	1.75	0.25	399.0	
8994	13127	13	127	Glynn County, Georgia	7114	Agents and managers for artists, athletes, entertainers, and other public figures	71	2.4	8.4	166.6	
8998	13127	13	127	Glynn County, Georgia	7139	Other amusement and recreation industries	71	25.0	224.6	4309.0	
8999	13127	13	127	Glynn County, Georgia	7211	Traveler accommodation	72	48.2	1993.4	57626.8	
9000	13127	13	127	Glynn County, Georgia	7212	RV (recreational vehicle) parks and recreational camps	72	3.2	6.0	166.4	
9001	13127	13	127	Glynn County, Georgia	7223	Special food services	72	10.4	303.0	6436.4	
9002	13127	13	127	Glynn County, Georgia	7224	Drinking places (alcoholic beverages)	72	7.2	38.4	688.0	
9003	13127	13	127	Glynn County, Georgia	7225	Restaurants and other eating places	72	201.4	4156.8	59543.2	
9004	13127	13	127	Glynn County, Georgia	8111	Automotive repair and maintenance	81	46.8	345.6	12991.6	
9007	13127	13	127	Glynn County, Georgia	8114	Personal and household goods repair and maintenance	81	9.2	23.6	700.0	
9008	13127	13	127	Glynn County, Georgia	8121	Personal care services	81	34.0	96.8	1755.6	
9009	13127	13	127	Glynn County, Georgia	8122	Death care services	81	4.8	26.0	603.0	
9010	13127	13	127	Glynn County, Georgia	8123	Drycleaning and laundry services	81	8.6	73.2	1237.6	
9011	13127	13	127	Glynn County, Georgia	8129	Other personal services	81	12.0	12.2	432.6	
9012	13127	13	127	Glynn County, Georgia	8131	Religious organizations	81	71.8	634.8	12796.4	
9013	13127	13	127	Glynn County, Georgia	8132	Grantmaking and giving services	81	8.4	11.4	1014.6	
9014	13127	13	127	Glynn County, Georgia	8133	Social advocacy organizations	81	5.2	24.4	812.2	
9015	13127	13	127	Glynn County, Georgia	8134	Civic and social organizations	81	10.6	93.4	2266.8	
9016	13127	13	127	Glynn County, Georgia	8139	Business, professional, labor, political, and similar organizations	81	10.8	43.6	924.2	
9017	13129	13	129	Gordon County, Georgia	1133	Logging	11	2.4	2.4	74.4	
9020	13129	13	129	Gordon County, Georgia	2361	Residential building construction	23	9.6	27.8	1007.2	
9021	13129	13	129	Gordon County, Georgia	2362	Nonresidential building construction	23	9.6	91.6	5434.6	
9022	13129	13	129	Gordon County, Georgia	2371	Utility system construction	23	2.6	0.0	76.2	
9025	13129	13	129	Gordon County, Georgia	2381	Foundation, structure, and building exterior contractors	23	2.0	1.5	19.5	
9026	13129	13	129	Gordon County, Georgia	2382	Building equipment contractors	23	29.0	252.4	10919.6	
9027	13129	13	129	Gordon County, Georgia	2383	Building finishing contractors	23	6.0	11.6	360.6	
9028	13129	13	129	Gordon County, Georgia	2389	Other specialty trade contractors	23	9.6	12.2	724.0	
9034	13129	13	129	Gordon County, Georgia	3131	Fiber, yarn, and thread mills	31	4.2	1231.8	44641.4	
9035	13129	13	129	Gordon County, Georgia	3133	Textile and fabric finishing and fabric coating mills	31	4.0	137.6	4706.4	
9036	13129	13	129	Gordon County, Georgia	3141	Textile furnishings mills	31	21.4	3156.4	147395.0	
9037	13129	13	129	Gordon County, Georgia	3149	Other textile product mills	31	7.6	310.0	11189.6	
9039	13129	13	129	Gordon County, Georgia	3219	Other wood product manufacturing	32	2.4	0.0	787.6	
9041	13129	13	129	Gordon County, Georgia	3231	Printing and related support activities	32	4.2	110.8	2405.0	
9042	13129	13	129	Gordon County, Georgia	3251	Basic chemical manufacturing	32	2.4	16.8	994.2	
9043	13129	13	129	Gordon County, Georgia	3252	Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing	32	4.2	46.6	2667.8	
9044	13129	13	129	Gordon County, Georgia	3255	Paint, coating, and adhesive manufacturing	32	3.4	76.8	5229.4	
9047	13129	13	129	Gordon County, Georgia	3261	Plastics product manufacturing	32	6.0	323.8	14502.0	
9048	13129	13	129	Gordon County, Georgia	3262	Rubber product manufacturing	32	5.8	283.0	9944.0	
9051	13129	13	129	Gordon County, Georgia	3323	Architectural and structural metals manufacturing	33	6.0	38.6	1782.2	
9052	13129	13	129	Gordon County, Georgia	3327	Machine shops; turned product; and screw, nut, and bolt manufacturing	33	6.0	25.8	1187.6	
9057	13129	13	129	Gordon County, Georgia	3371	Household and institutional furniture and kitchen cabinet manufacturing	33	2.2	8.0	178.4	
9061	13129	13	129	Gordon County, Georgia	4231	Motor vehicle and motor vehicle parts and supplies merchant wholesalers	42	4.0	23.2	1270.0	
9062	13129	13	129	Gordon County, Georgia	4232	Furniture and home furnishing merchant wholesalers	42	22.2	975.0	45454.2	
9063	13129	13	129	Gordon County, Georgia	4233	Lumber and other construction materials merchant wholesalers	42	4.4	35.0	1734.8	
9064	13129	13	129	Gordon County, Georgia	4234	Professional and commercial equipment and supplies merchant wholesalers	42	4.4	29.4	2081.0	
9066	13129	13	129	Gordon County, Georgia	4236	Household appliances and electrical and electronic goods merchant wholesalers	42	3.2	13.0	556.0	
9067	13129	13	129	Gordon County, Georgia	4238	Machinery, equipment, and supplies merchant wholesalers	42	9.8	51.2	3707.0	
9068	13129	13	129	Gordon County, Georgia	4239	Miscellaneous durable goods merchant wholesalers	42	4.4	23.6	944.0	
9069	13129	13	129	Gordon County, Georgia	4241	Paper and paper product merchant wholesalers	42	4.0	24.2	770.4	
9071	13129	13	129	Gordon County, Georgia	4246	Chemical and allied products merchant wholesalers	42	4.4	10.6	687.6	
9073	13129	13	129	Gordon County, Georgia	4249	Miscellaneous nondurable goods merchant wholesalers	42	3.8	69.2	2434.8	
9074	13129	13	129	Gordon County, Georgia	4251	Wholesale electronic markets and agents and brokers	42	7.2	24.8	875.0	
9075	13129	13	129	Gordon County, Georgia	4411	Automobile dealers	44	8.0	49.6	2369.4	
9076	13129	13	129	Gordon County, Georgia	4412	Other motor vehicle dealers	44	2.6	1.8	33.4	
9077	13129	13	129	Gordon County, Georgia	4413	Automotive parts, accessories, and tire stores	44	11.6	65.4	1793.4	
9078	13129	13	129	Gordon County, Georgia	4421	Furniture stores	44	2.4	0.0	86.6	
9079	13129	13	129	Gordon County, Georgia	4422	Home furnishings stores	44	8.0	19.0	956.6	
9080	13129	13	129	Gordon County, Georgia	4431	Electronics and appliance stores	44	8.0	14.0	537.8	
9081	13129	13	129	Gordon County, Georgia	4441	Building material and supplies dealers	44	12.8	174.0	5397.4	
9082	13129	13	129	Gordon County, Georgia	4442	Lawn and garden equipment and supplies stores	44	4.4	24.2	675.4	
9083	13129	13	129	Gordon County, Georgia	4451	Grocery stores	44	23.6	336.0	6172.6	
9084	13129	13	129	Gordon County, Georgia	4452	Specialty food stores	44	3.4	19.4	253.6	
9085	13129	13	129	Gordon County, Georgia	4453	Beer, wine, and liquor stores	44	5.8	8.6	253.2	
9086	13129	13	129	Gordon County, Georgia	4461	Health and personal care stores	44	15.0	140.8	4117.4	
9087	13129	13	129	Gordon County, Georgia	4471	Gasoline stations	44	30.2	128.8	3003.0	
9088	13129	13	129	Gordon County, Georgia	4481	Clothing stores	44	33.8	405.2	4859.8	
9089	13129	13	129	Gordon County, Georgia	4482	Shoe stores	44	10.0	103.0	1580.6	
9091	13129	13	129	Gordon County, Georgia	4511	Sporting goods, hobby, and musical instrument stores	45	5.4	7.0	196.4	
9094	13129	13	129	Gordon County, Georgia	4529	Other general merchandise stores	45	15.4	185.6	4192.4	
9095	13129	13	129	Gordon County, Georgia	4531	Florists	45	3.0	5.0	85.6	
9096	13129	13	129	Gordon County, Georgia	4532	Office supplies, stationery, and gift stores	45	5.8	23.4	410.6	
9097	13129	13	129	Gordon County, Georgia	4533	Used merchandise stores	45	2.2	0.4	27.0	
9099	13129	13	129	Gordon County, Georgia	4541	Electronic shopping and mail-order houses	45	3.8	7.8	417.8	
9101	13129	13	129	Gordon County, Georgia	4543	Direct selling establishments	45	6.6	26.4	837.8	
9102	13129	13	129	Gordon County, Georgia	4841	General freight trucking	48	16.4	133.4	6402.8	
9103	13129	13	129	Gordon County, Georgia	4842	Specialized freight trucking	48	8.4	31.0	2159.2	
9108	13129	13	129	Gordon County, Georgia	4931	Warehousing and storage	49	8.0	494.2	24989.2	
9113	13129	13	129	Gordon County, Georgia	5171	Wired telecommunications carriers	51	4.0	49.2	2254.4	
9114	13129	13	129	Gordon County, Georgia	5172	Wireless telecommunications carriers (except satellite)	51	3.6	6.6	447.0	
9117	13129	13	129	Gordon County, Georgia	5221	Depository credit intermediation	52	18.6	57.8	6264.0	
9118	13129	13	129	Gordon County, Georgia	5222	Nondepository credit intermediation	52	16.2	31.4	1473.0	
9119	13129	13	129	Gordon County, Georgia	5223	Activities related to credit intermediation	52	2.4	2.6	152.0	
9121	13129	13	129	Gordon County, Georgia	5239	Other financial investment activities	52	4.2	3.0	261.6	
9122	13129	13	129	Gordon County, Georgia	5241	Insurance carriers	52	3.0	2.0	134.0	
9123	13129	13	129	Gordon County, Georgia	5242	Agencies, brokerages, and other insurance related activities	52	19.2	50.6	3158.4	
9124	13129	13	129	Gordon County, Georgia	5311	Lessors of real estate	53	15.2	18.4	1143.8	
9125	13129	13	129	Gordon County, Georgia	5312	Offices of real estate agents and brokers	53	7.6	5.4	97.4	
9126	13129	13	129	Gordon County, Georgia	5313	Activities related to real estate	53	7.4	8.4	398.0	
9128	13129	13	129	Gordon County, Georgia	5322	Consumer goods rental	53	4.2	24.2	810.4	
9131	13129	13	129	Gordon County, Georgia	5411	Legal services	54	14.2	25.6	1640.8	
9132	13129	13	129	Gordon County, Georgia	5412	Accounting, tax preparation, bookkeeping, and payroll services	54	16.0	100.4	3400.6	
9135	13129	13	129	Gordon County, Georgia	5415	Computer systems design and related services	54	6.0	6.0	967.0	
9136	13129	13	129	Gordon County, Georgia	5416	Management, scientific, and technical consulting services	54	8.2	6.6	571.6	
9138	13129	13	129	Gordon County, Georgia	5419	Other professional, scientific, and technical services	54	6.2	18.4	642.4	
9139	13129	13	129	Gordon County, Georgia	5511	Management of companies and enterprises	55	4.8	44.2	5193.8	
9141	13129	13	129	Gordon County, Georgia	5613	Employment services	56	5.2	855.2	20257.0	
9142	13129	13	129	Gordon County, Georgia	5614	Business support services	56	2.2	2.4	25.6	
9145	13129	13	129	Gordon County, Georgia	5617	Services to buildings and dwellings	56	22.2	154.8	3848.8	
9147	13129	13	129	Gordon County, Georgia	5621	Waste collection	56	2.2	10.6	336.4	
9150	13129	13	129	Gordon County, Georgia	6111	Elementary and secondary schools	61	4.4	112.8	1039.4	
9152	13129	13	129	Gordon County, Georgia	6116	Other schools and instruction	61	3.4	4.0	54.6	
9154	13129	13	129	Gordon County, Georgia	6211	Offices of physicians	62	15.6	189.2	10188.0	
9155	13129	13	129	Gordon County, Georgia	6212	Offices of dentists	62	11.6	92.4	4362.0	
9156	13129	13	129	Gordon County, Georgia	6213	Offices of other health practitioners	62	15.0	44.6	2623.2	
9157	13129	13	129	Gordon County, Georgia	6214	Outpatient care centers	62	5.6	34.0	2211.6	
9158	13129	13	129	Gordon County, Georgia	6216	Home health care services	62	3.0	0.0	473.0	
9161	13129	13	129	Gordon County, Georgia	6231	Nursing care facilities (skilled nursing facilities)	62	3.8	108.4	3304.2	
9163	13129	13	129	Gordon County, Georgia	6241	Individual and family services	62	5.2	19.2	498.6	
9165	13129	13	129	Gordon County, Georgia	6244	Child day care services	62	5.2	64.6	914.2	
9168	13129	13	129	Gordon County, Georgia	7139	Other amusement and recreation industries	71	4.0	41.0	354.4	
9169	13129	13	129	Gordon County, Georgia	7211	Traveler accommodation	72	14.6	77.2	1161.0	
9173	13129	13	129	Gordon County, Georgia	7225	Restaurants and other eating places	72	70.4	1300.6	19152.4	
9174	13129	13	129	Gordon County, Georgia	8111	Automotive repair and maintenance	81	13.6	73.8	2117.0	
9178	13129	13	129	Gordon County, Georgia	8121	Personal care services	81	6.4	29.8	427.4	
9180	13129	13	129	Gordon County, Georgia	8123	Drycleaning and laundry services	81	3.4	1.6	82.6	
9181	13129	13	129	Gordon County, Georgia	8129	Other personal services	81	3.0	4.8	108.8	
9182	13129	13	129	Gordon County, Georgia	8131	Religious organizations	81	46.0	1017.6	24685.8	
