,ZCTA5,STATE,COUNTY,GEOID,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,COPOP,COHU,COAREA,COAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,COPOPPCT,COHUPCT,COAREAPCT,COAREALANDPCT,ZCTA5CE10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,lat,lon,OBJECTID,STATEFP10,GEOID10,NAME10,NAMELSAD10,totpop10,Reg_Comm,Acres,Sq_Miles,Label
23,30019,13,297,13297,73,31,4050362,4047121,40447,13367,120612233,119990413,83768,32435,854695735,843508113,0.18,0.23,3.36,3.37,0.09,0.1,0.47,0.48,30019,B5,G6350,S,119985235,600539,33.9756102,-83.8837471,33.9756102,-83.8837471,149,13,13297,Walton,Walton County,83768,Northeast Georgia,211166,329.9460144,WALTON
24,30021,13,89,13089,21989,8963,9200832,9160340,21989,8963,9200832,9160340,691893,304968,702254121,693033963,100,100,100,100,3.18,2.94,1.31,1.32,30021,B5,G6350,S,9160341,40492,33.8069289,-84.2375881,33.8069289,-84.2375881,138,13,13089,DeKalb,DeKalb County,691893,Atlanta Regional Commission,173496,271.0870056,DEKALB
25,30022,13,121,13121,64359,24607,66761495,65879461,64359,24607,66761495,65879461,920581,437105,1383894532,1363977166,100,100,100,100,6.99,5.63,4.82,4.83,30022,B5,G6350,S,65913183,857651,34.0298661,-84.2397421,34.0298661,-84.2397421,90,13,13121,Fulton,Fulton County,920581,Atlanta Regional Commission,341906,534.2290039,FULTON
26,30024,13,117,13117,17579,5630,33833444,33377219,64614,21682,112035615,110203286,175511,64052,640157353,580210822,27.21,25.97,30.2,30.29,10.02,8.79,5.29,5.75,30024,B5,G6350,S,110209113,1812680,34.0629712,-84.09077,34.0629712,-84.09077,26,13,13117,Forsyth,Forsyth County,175511,Georgia Mountains,158154,247.1159973,FORSYTH
27,30024,13,121,13121,2465,701,5321271,5196168,64614,21682,112035615,110203286,920581,437105,1383894532,1363977166,3.81,3.23,4.75,4.72,0.27,0.16,0.38,0.38,30024,B5,G6350,S,110209113,1812680,34.0629712,-84.09077,34.0629712,-84.09077,90,13,13121,Fulton,Fulton County,920581,Atlanta Regional Commission,341906,534.2290039,FULTON
28,30024,13,135,13135,44570,15351,72880900,71629899,64614,21682,112035615,110203286,805321,291547,1131242872,1114687261,68.98,70.8,65.05,65,5.53,5.27,6.44,6.43,30024,B5,G6350,S,110209113,1812680,34.0629712,-84.09077,34.0629712,-84.09077,72,13,13135,Gwinnett,Gwinnett County,805321,Atlanta Regional Commission,279481,436.6889954,GWINNETT
29,30025,13,217,13217,2726,1040,52367404,51384508,9270,3635,177820172,175390724,99958,38342,723119276,704894510,29.41,28.61,29.45,29.3,2.73,2.71,7.24,7.29,30025,B5,G6350,S,175390718,2429446,33.6559024,-83.6965808,33.6559024,-83.6965808,70,13,13217,Newton,Newton County,99958,Northeast Georgia,178654,279.1470032,NEWTON
30,30025,13,297,13297,6544,2595,125452768,124006216,9270,3635,177820172,175390724,83768,32435,854695735,843508113,70.59,71.39,70.55,70.7,7.81,8,14.68,14.7,30025,B5,G6350,S,175390718,2429446,33.6559024,-83.6965808,33.6559024,-83.6965808,149,13,13297,Walton,Walton County,83768,Northeast Georgia,211166,329.9460144,WALTON
31,30028,13,57,13057,620,267,10867625,10742715,22182,7921,134580776,132151947,214346,82360,1125104307,1092129613,2.8,3.37,8.08,8.13,0.29,0.32,0.97,0.98,30028,B5,G6350,S,132395671,2291938,34.2930496,-84.1761674,34.2930496,-84.1761674,146,13,13057,Cherokee,Cherokee County,214346,Atlanta Regional Commission,277969,434.3259888,CHEROKEE
32,30028,13,117,13117,21562,7654,123713151,121409232,22182,7921,134580776,132151947,175511,64052,640157353,580210822,97.2,96.63,91.92,91.87,12.29,11.95,19.33,20.93,30028,B5,G6350,S,132395671,2291938,34.2930496,-84.1761674,34.2930496,-84.1761674,26,13,13117,Forsyth,Forsyth County,175511,Georgia Mountains,158154,247.1159973,FORSYTH
