,OBJECTID,STATEFP10,COUNTYFP10,GEOID10,NAME10,NAMELSAD10,totpop10,Reg_Comm,Acres,Sq_Miles,Label,lat,lon
28,29,13,107,13107,Emanuel,Emanuel County,22598,Heart of Georgia Altamaha,441961,690.5650024,EMANUEL,-82.30171159,32.58976878
29,30,13,123,13123,Gilmer,Gilmer County,28292,Northwest Georgia,275947,431.1669922,GILMER,-84.45556811,34.69127713
30,31,13,301,13301,Warren,Warren County,5834,Central Savannah River Area,183530,286.7659912,WARREN,-82.67676541,33.40896979
31,32,13,105,13105,Elbert,Elbert County,20166,Northeast Georgia,239539,374.2789917,ELBERT,-82.84009927,34.11679986
32,33,13,63,13063,Clayton,Clayton County,259424,Atlanta Regional Commission,92354.10156,144.3029938,CLAYTON,-84.3576905,33.54189167
33,34,13,25,13025,Brantley,Brantley County,18411,Southern Georgia,286458,447.5910034,BRANTLEY,-81.98189866,31.19688202
34,35,13,51,13051,Chatham,Chatham County,265128,Coastal Regional Commission,405410,633.4530029,CHATHAM,-81.09242852,31.97402846
35,36,13,225,13225,Peach,Peach County,27695,Middle Georgia,96815.20313,151.2740021,PEACH,-83.82688218,32.56878433
36,37,13,101,13101,Echols,Echols County,4034,Southern Georgia,269306,420.7900085,ECHOLS,-82.89393881,30.71009541
37,38,13,109,13109,Evans,Evans County,11000,Heart of Georgia Altamaha,119709,187.0449982,EVANS,-81.88688803,32.15676913
38,39,13,239,13239,Quitman,Quitman County,2513,River Valley,102757,160.5579987,QUITMAN,-85.01878845,31.86733656
39,40,13,155,13155,Irwin,Irwin County,9538,Southern Georgia,232163,362.7539978,IRWIN,-83.2763788,31.60228896
40,41,13,33,13033,Burke,Burke County,23316,Central Savannah River Area,534823,835.6610107,BURKE,-82.00078459,33.06115986
41,42,13,151,13151,Henry,Henry County,203922,Atlanta Regional Commission,208948,326.4809876,HENRY,-84.15420021,33.45300954
42,43,13,179,13179,Liberty,Liberty County,63453,Coastal Regional Commission,386169,603.3889771,LIBERTY,-81.45625888,31.80723499
43,44,13,195,13195,Madison,Madison County,28120,Northeast Georgia,182774,285.5849915,MADISON,-83.2090412,34.12779029
44,45,13,279,13279,Toombs,Toombs County,27223,Heart of Georgia Altamaha,237563,371.1919861,TOOMBS,-82.33129674,32.1217269
45,46,13,207,13207,Monroe,Monroe County,26424,Middle Georgia,254551,397.7359924,MONROE,-83.91872496,33.01408689
46,47,13,65,13065,Clinch,Clinch County,6798,Southern Georgia,527504,824.2249756,CLINCH,-82.70624064,30.91495276
47,48,13,219,13219,Oconee,Oconee County,32808,Northeast Georgia,119267,186.3549957,OCONEE,-83.43705777,33.83494548
48,49,13,19,13019,Berrien,Berrien County,19286,Southern Georgia,293043,457.8800049,BERRIEN,-83.22962577,31.27606584
49,50,13,49,13049,Charlton,Charlton County,12171,Southern Georgia,501087,782.9489746,CHARLTON,-82.13769469,30.78172909
50,51,13,75,13075,Cook,Cook County,17212,Southern Georgia,149238,233.1840057,COOK,-83.43046888,31.15399688
51,52,13,229,13229,Pierce,Pierce County,18758,Southern Georgia,219810,343.4530029,PIERCE,-82.21274617,31.35876358
52,53,13,99,13099,Early,Early County,11008,Southwest Georgia,330435,516.3049927,EARLY,-84.90364765,31.32283862
53,54,13,167,13167,Johnson,Johnson County,9980,Heart of Georgia Altamaha,196277,306.6820068,JOHNSON,-82.66008473,32.7014713
54,55,13,269,13269,Taylor,Taylor County,8906,River Valley,242959,379.6229858,TAYLOR,-84.25046845,32.55546548
55,56,13,93,13093,Dooly,Dooly County,14918,River Valley,254218,397.2160034,DOOLY,-83.79875535,32.15718472
56,58,13,177,13177,Lee,Lee County,28298,Southwest Georgia,231462,361.6600037,LEE,-84.14112354,31.77953897
57,60,13,317,13317,Wilkes,Wilkes County,10593,Central Savannah River Area,303489,474.2019959,WILKES,-82.74323044,33.78195171
58,61,13,171,13171,Lamar,Lamar County,18317,Three Rivers,118910,185.7969971,LAMAR,-84.1394668,33.07654204
59,62,13,143,13143,Haralson,Haralson County,28780,Northwest Georgia,181237,283.1830139,HARALSON,-85.2110307,33.79423976
60,63,13,69,13069,Coffee,Coffee County,42356,Southern Georgia,385768,602.7620239,COFFEE,-82.84920457,31.54927769
61,64,13,125,13125,Glascock,Glascock County,3082,Central Savannah River Area,92479.20313,144.4989929,GLASCOCK,-82.61070598,33.22928633
62,65,13,245,13245,Richmond,Richmond County,200549,Central Savannah River Area,210453,328.8320007,RICHMOND,-82.07355238,33.35964084
63,66,13,289,13289,Twiggs,Twiggs County,9023,Middle Georgia,232066,362.6040039,TWIGGS,-83.42708741,32.66720768
64,67,13,311,13311,White,White County,27144,Georgia Mountains,154987,242.1670075,WHITE,-83.74711909,34.64636679
65,68,13,201,13201,Miller,Miller County,6125,Southwest Georgia,181521,283.6260071,MILLER,-84.73072585,31.16399731
66,69,13,199,13199,Meriwether,Meriwether County,21992,Three Rivers,323414,505.3340149,MERIWETHER,-84.68831588,33.04066224
67,70,13,217,13217,Newton,Newton County,99958,Northeast Georgia,178654,279.1470032,NEWTON,-83.85019059,33.55505537
68,71,13,205,13205,Mitchell,Mitchell County,23498,Southwest Georgia,328781,513.7210083,MITCHELL,-84.19431285,31.22532559
69,72,13,135,13135,Gwinnett,Gwinnett County,805321,Atlanta Regional Commission,279481,436.6889954,GWINNETT,-84.02363206,33.96173502
70,73,13,133,13133,Greene,Greene County,15994,Northeast Georgia,259978,406.2149963,GREENE,-83.16665908,33.57879061
71,74,13,261,13261,Sumter,Sumter County,32819,River Valley,315235,492.5549927,SUMTER,-84.19704545,32.03997531
72,75,13,243,13243,Randolph,Randolph County,7719,River Valley,275724,430.8190002,RANDOLPH,-84.75419643,31.76262879
73,76,13,119,13119,Franklin,Franklin County,22084,Georgia Mountains,170525,266.4460144,FRANKLIN,-83.22917925,34.3754425
74,77,13,235,13235,Pulaski,Pulaski County,12010,Middle Georgia,160756,251.1820068,PULASKI,-83.47596814,32.23230731
75,78,13,27,13027,Brooks,Brooks County,16243,Southern Georgia,318553,497.7380066,BROOKS,-83.58021574,30.84197355
76,79,13,55,13055,Chattooga,Chattooga County,26015,Northwest Georgia,200695,313.5859985,CHATTOOGA,-85.34529711,34.47502596
77,80,13,5,13005,Bacon,Bacon County,11096,Southern Georgia,183009,285.9509888,BACON,-82.4526887,31.55368082
78,81,13,287,13287,Turner,Turner County,8930,Southern Georgia,185562,289.9410095,TURNER,-83.62409685,31.71639076
79,82,13,185,13185,Lowndes,Lowndes County,109233,Southern Georgia,326762,510.5660095,LOWNDES,-83.26771144,30.8338627
80,83,13,3,13003,Atkinson,Atkinson County,8375,Southern Georgia,220539,344.5920105,ATKINSON,-82.87999672,31.29711422
81,84,13,281,13281,Towns,Towns County,10471,Georgia Mountains,110050,171.9539948,TOWNS,-83.73728339,34.91665855
82,85,13,251,13251,Screven,Screven County,14593,Coastal Regional Commission,420265,656.6640015,SCREVEN,-81.61193792,32.75059294
83,86,13,285,13285,Troup,Troup County,67044,Three Rivers,285404,445.9429932,TROUP,-85.0283412,33.03351663
84,87,13,175,13175,Laurens,Laurens County,48434,Heart of Georgia Altamaha,523893,818.5819702,LAURENS,-82.9222421,32.46366281
85,88,13,111,13111,Fannin,Fannin County,23682,Northwest Georgia,250807,391.8859863,FANNIN,-84.31982958,34.86413107
86,89,13,275,13275,Thomas,Thomas County,44720,Southwest Georgia,353353,552.1140137,THOMAS,-83.91931733,30.86368736
87,90,13,121,13121,Fulton,Fulton County,920581,Atlanta Regional Commission,341906,534.2290039,FULTON,-84.4670226,33.7902587
88,91,13,43,13043,Candler,Candler County,10998,Heart of Georgia Altamaha,159389,249.0449982,CANDLER,-82.07367626,32.40344901
89,92,13,37,13037,Calhoun,Calhoun County,6694,Southwest Georgia,181462,283.5339966,CALHOUN,-84.62451185,31.52920322
90,93,13,7,13007,Baker,Baker County,3451,Southwest Georgia,223407,349.0740051,BAKER,-84.44467358,31.32618983
91,94,13,181,13181,Lincoln,Lincoln County,7996,Central Savannah River Area,164740,257.4060059,LINCOLN,-82.45121639,33.79366611
92,95,13,81,13081,Crisp,Crisp County,23439,River Valley,179779,280.9039917,CRISP,-83.76810792,31.92293808
93,96,13,153,13153,Houston,Houston County,139900,Middle Georgia,243113,379.8649902,HOUSTON,-83.66624649,32.4590133
94,97,13,227,13227,Pickens,Pickens County,29431,Northwest Georgia,148909,232.6699982,PICKENS,-84.46564343,34.46432631
95,98,13,307,13307,Webster,Webster County,2799,River Valley,134546,210.227005,WEBSTER,-84.5510568,32.04665484
96,99,13,305,13305,Wayne,Wayne County,30099,Heart of Georgia Altamaha,415614,649.3969727,WAYNE,-81.91676224,31.55143951
97,100,13,103,13103,Effingham,Effingham County,52250,Coastal Regional Commission,309552,483.6749878,EFFINGHAM,-81.34134301,32.36731621
98,102,13,271,13271,Telfair,Telfair County,16500,Heart of Georgia Altamaha,284203,444.0669861,TELFAIR,-82.93899122,31.92980706
99,103,13,221,13221,Oglethorpe,Oglethorpe County,14899,Northeast Georgia,282918,442.0589905,OGLETHORPE,-83.0807071,33.8806545
100,104,13,303,13303,Washington,Washington County,21187,Central Savannah River Area,438077,684.4959717,WASHINGTON,-82.79590287,32.96954206
101,105,13,21,13021,Bibb,Bibb County,155547,Middle Georgia,163409,255.326004,BIBB,-83.69776189,32.80659172
102,107,13,91,13091,Dodge,Dodge County,21796,Heart of Georgia Altamaha,321998,503.1220093,DODGE,-83.16840271,32.1721891
103,108,13,265,13265,Taliaferro,Taliaferro County,1717,Central Savannah River Area,125041,195.3769989,TALIAFERRO,-82.87876828,33.56609717
