zcta,population,poverty,poverty_under18,poverty_18to65,poverty_over65,education,work_experience,working_fulltime,working_fulltime_poverty
00601,17893,10861,2977,6340,1544,11858,14236,296,25
00602,40200,21720,5417,13775,2528,27565,32713,908,170
00603,50890,25459,7161,14463,3835,34661,41050,1178,68
00606,6331,4070,1167,2451,452,4249,5041,119,37
00610,28233,14005,3849,8293,1863,19177,22916,820,55
00612,64516,31139,8411,17574,5154,43538,52209,1404,134
00616,10667,5733,1140,3333,1260,7696,8920,180,27
00617,24762,13670,3860,7858,1952,16479,19532,684,59
00622,7378,4344,1276,2264,804,5048,5997,197,0
00623,42904,21159,5187,11827,4145,29764,34769,1059,169
00624,24415,14391,3920,8796,1675,15659,19059,483,80
00627,33924,16498,4832,9356,2310,22917,27386,656,68
00631,1664,1135,260,564,311,1221,1410,15,0
00637,24292,11495,2391,6915,2189,16361,19565,348,29
00638,18028,10722,2909,6257,1556,11978,14416,349,62
00641,29482,15275,4266,8725,2284,19926,23847,335,21
00646,38253,13770,3994,8193,1583,25348,29993,1314,28
00647,5740,3096,759,1741,596,4132,4800,31,0
00650,14725,8067,2154,4737,1176,9547,11637,352,90
00652,3787,1797,475,914,408,2637,3001,136,5
00653,12477,8040,2263,4680,1097,8156,9675,293,69
00656,20341,11402,3244,6737,1421,13559,16089,388,32
00659,41545,18552,5201,10417,2934,28351,33451,991,133
00660,16706,6246,1630,3281,1335,11991,13753,498,75
00662,42162,23340,5634,13786,3920,28992,34131,1147,97
00664,15786,9167,2673,5591,903,10009,12343,259,18
00667,24895,14646,3551,8685,2410,17269,20326,546,58
00669,27318,15893,3794,9472,2627,18547,22223,468,46
00670,9264,5311,1532,3144,635,6175,7409,127,26
00674,41891,19383,5408,10981,2994,27933,33503,1185,143
00676,38771,21079,5673,12449,2957,25608,30554,659,52
00677,14836,7228,2045,4148,1035,10589,12221,537,103
00678,26728,15094,4069,9019,2006,18064,21468,761,81
00680,51454,26188,6440,15413,4335,34035,42737,1085,103
00682,32198,16886,4415,10440,2031,20446,26705,914,66
00683,32006,16086,4185,9135,2766,22218,26211,969,133
00685,40620,22942,5578,12973,4391,27964,32664,667,67
00687,32172,17745,5381,10388,1976,20601,25323,717,39
00688,11872,6462,1650,3644,1168,8300,9814,519,74
00690,5565,2283,801,982,500,3699,4262,269,0
00692,35939,18108,5714,10224,2170,23343,28126,956,98
00693,58124,28081,7380,16149,4552,39367,46761,1723,83
00694,77,56,0,15,41,77,77,0,0
00698,38950,20061,4749,12005,3307,26832,31671,574,19
00703,28069,15261,4432,8749,2080,18836,22414,359,40
00704,7898,4078,1314,2292,472,5073,6008,202,0
00705,24707,11834,3263,6778,1793,16668,19867,616,169
00707,11684,6533,1763,3669,1101,7961,9519,242,25
00714,18977,9990,2681,5999,1310,12403,14895,466,35
00715,3586,2516,780,1243,493,2466,2742,17,0
00716,30712,15147,4813,8351,1983,21056,24286,1270,172
00717,17352,10350,3377,5651,1322,10880,13675,746,33
00718,26485,14051,4701,7920,1430,17134,20792,1000,0
00719,30434,14949,3985,8731,2233,20119,24333,681,87
00720,22532,13414,3891,8085,1438,14409,17939,575,81
00723,18441,10900,2975,6239,1686,12532,14944,439,17
00725,85842,36856,11115,20399,5342,58049,68776,3583,212
00727,56316,17452,5043,9571,2838,38144,45439,2920,134
00728,39230,20580,6234,11932,2414,25310,31188,1034,61
00729,53157,22695,6935,12959,2801,34637,41845,1763,154
00730,34818,18577,5632,10190,2755,23176,27889,938,43
00731,14353,7905,2307,4372,1226,9956,11781,289,116
00735,13047,5536,1655,2926,955,8907,10626,518,10
00736,50273,21250,5519,12447,3284,34272,40702,2169,253
00738,32965,14727,4672,7819,2236,21988,26311,1498,113
00739,37787,14501,4168,8288,2045,25136,29928,1561,36
00740,1515,933,378,464,91,895,1155,62,14
00741,5462,2396,615,1624,157,3965,4638,243,43
00745,52808,20351,5584,11662,3105,35233,42255,1748,185
00751,22583,13230,3684,7565,1981,14830,17997,800,144
00754,39427,19060,4887,11329,2844,26818,31878,1247,44
00757,22913,11470,3451,6562,1457,14540,17697,788,87
00765,8993,3523,1158,1880,485,6127,7225,521,19
00766,24682,13358,4199,7668,1491,15791,19390,535,33
00767,36211,18935,5091,10913,2931,24398,29121,898,104
00769,39559,19329,5621,11351,2357,26385,31494,1390,200
00771,38283,18860,5264,11262,2334,25738,30526,1198,57
00772,21478,11505,3278,6891,1336,13935,17007,734,41
00773,19365,8868,2491,5037,1340,12946,15497,632,99
00775,1554,708,174,441,93,1143,1265,70,22
00777,40515,19099,5462,11299,2338,26456,31681,1334,45
00778,46483,15848,4151,9570,2127,30844,36746,1772,66
00780,12938,4744,1250,3031,463,8546,10238,645,92
00782,18426,11134,3066,6578,1490,12228,14778,534,0
00783,34989,19904,5556,11562,2786,22884,27610,626,113
00784,40904,21498,6521,12175,2802,26627,32172,1246,84
00786,288,55,0,22,33,258,274,0,0
00791,50293,22611,6492,12840,3279,34177,40522,1920,53
00794,29892,18371,5721,10544,2106,18803,23034,767,170
00795,46316,23505,7197,13096,3212,29970,36462,1494,280
00901,5444,2655,519,1567,569,4263,4761,559,45
00906,73,6,0,0,6,57,73,28,0
00907,17221,5181,1289,2927,965,13410,14912,2243,200
00909,5563,3003,1001,1632,370,3774,4433,465,28
00911,7434,2045,322,1011,712,5813,6531,1245,63
00912,5656,2622,645,1589,388,4168,4881,606,65
00913,8106,6163,2427,3305,431,4423,5686,262,32
00915,29305,17967,5445,10060,2462,19712,23636,1660,133
00917,18910,10206,2353,5893,1960,13730,16187,1318,65
00918,16552,6745,2207,3433,1105,11816,13571,1761,110
00920,17909,6329,1588,3538,1203,13031,14985,1394,102
00921,37321,17331,5687,9738,1906,25274,30129,2076,107
00923,26310,14535,4079,8402,2054,17949,21360,1469,228
00924,53878,25852,9852,12609,3391,34541,41621,2660,279
00925,6205,3924,371,3145,408,4112,5754,612,41
00926,103953,30563,8976,17213,4374,73123,85666,6140,297
00927,14409,4085,948,2454,683,10760,12359,1008,39
00934,67,0,0,0,0,47,47,27,0
00936,0,0,0,0,0,0,0,0,0
00949,78358,29245,8568,16351,4326,52759,62963,3752,106
00950,0,0,0,0,0,0,0,0,0
00951,15,15,0,8,7,15,15,0,0
00952,9363,4081,1222,2061,798,6303,7509,261,0
00953,72979,22814,6414,13277,3123,47016,57422,2335,82
00956,73970,28890,8456,15456,4978,50252,59410,2913,222
00957,43004,16530,5735,8119,2676,28624,34138,1567,112
00959,47884,14486,3947,7800,2739,33377,39774,2787,104
00960,27,17,0,12,5,27,27,0,0
00961,29187,8911,2352,4894,1665,21251,24581,1479,19
00962,20953,11477,3910,6368,1199,13381,16364,635,74
00965,8479,4262,1142,2498,622,5799,7025,447,63
00966,15916,2966,1010,1460,496,11555,13220,1109,8
00968,3492,336,23,80,233,3039,3168,475,0
00969,42827,6927,1829,3928,1170,30676,35432,2755,193
00971,28971,11147,2719,6247,2181,20362,24440,1410,43
00976,61251,18484,5982,9464,3038,41054,48758,3146,95
00979,15164,2811,555,1675,581,12235,13511,2222,27
00982,14995,5163,1540,2801,822,10520,12391,711,22
00983,39293,12279,4007,6335,1937,26459,31953,1765,149
00985,33431,11496,3533,6083,1880,23185,27451,1548,59
00987,60118,16807,5430,9124,2253,39946,48064,2720,69
01001,16840,1248,180,820,248,12267,13906,1675,15
01002,24721,8124,605,7371,148,13125,21639,1691,162
01003,114,44,0,44,0,73,78,12,0
01005,5109,270,23,182,65,3453,4163,367,0
01007,14778,1355,279,982,94,9891,11818,766,36
01008,1171,45,12,30,3,897,1020,108,0
01009,429,148,33,12,103,340,392,12,0
01010,3631,118,0,94,24,2704,3057,300,0
01011,1506,115,33,74,8,1069,1207,86,3
01012,539,59,15,34,10,390,462,31,0
01013,21753,3694,1239,2018,437,14660,17469,2229,86
01020,30802,3042,726,1768,548,22774,25747,2664,31
01022,2840,633,107,499,27,1868,2581,532,0
01026,1033,58,11,41,6,784,857,54,0
01027,17715,1516,166,1115,235,13729,15241,1940,20
01028,15585,874,334,409,131,11107,12461,720,0
01029,717,107,21,82,4,553,619,64,0
01030,11208,1127,372,663,92,7868,9164,519,15
01031,1369,345,78,244,23,940,1149,121,8
01032,611,24,0,21,3,479,518,13,0
01033,6250,261,68,175,18,4507,5149,491,0
01034,2174,218,43,156,19,1561,1852,135,18
01035,5154,353,71,217,65,4041,4555,627,24
01036,5077,263,71,147,45,3661,4283,139,0
01037,618,67,11,56,0,507,585,67,0
01038,2794,169,23,93,53,2176,2420,284,0
01039,1236,84,13,66,5,963,1086,90,5
01040,39354,11323,4512,5938,873,25390,30761,3077,7
01050,2505,234,83,130,21,1691,1949,164,0
01053,1538,314,88,218,8,1156,1252,144,10
01054,1988,153,50,78,25,1502,1649,150,6
01056,20558,998,244,568,186,15263,17101,1335,0
01057,8655,761,106,594,61,6319,7187,713,16
01060,12957,2463,335,1913,215,9619,11219,2014,94
01062,10714,1531,560,808,163,7567,8696,1035,0
01063,0,0,0,0,0,0,0,0,0
01066,10,0,0,0,0,10,10,0,0
01068,1803,103,28,68,7,1252,1463,110,3
01069,8650,542,91,415,36,6326,7229,497,0
01070,564,56,17,36,3,443,500,57,0
01071,1318,33,6,27,0,998,1082,101,0
01072,1460,144,44,92,8,1058,1219,150,5
01073,6009,326,45,228,53,4485,4985,460,21
01074,247,0,0,0,0,171,171,53,0
01075,15385,1528,293,933,302,11691,13096,1424,31
01077,9584,515,167,309,39,6728,7811,558,0
01079,593,86,21,65,0,469,491,85,0
01080,2286,626,158,436,32,1614,1871,254,5
01081,1717,102,24,60,18,1224,1378,84,0
01082,10347,1521,487,753,281,7184,8481,801,19
01083,2960,259,71,188,0,2075,2367,278,0
01084,155,10,0,10,0,138,145,6,0
01085,39057,3653,1280,1999,374,26342,31838,3169,99
01086,0,0,0,0,0,0,0,0,0
01088,493,73,0,63,10,442,462,116,5
01089,28327,3099,817,2003,279,19398,23182,2595,24
01092,1291,294,142,151,1,931,1039,157,0
01093,307,16,8,8,0,244,272,38,0
01094,336,17,0,0,17,268,283,14,0
01095,14243,579,96,287,196,10162,11799,695,0
01096,2494,195,50,131,14,1834,2047,163,10
01097,31,0,0,0,0,20,31,0,0
01098,1132,74,17,46,11,892,1000,130,0
01103,2555,1444,395,989,60,1674,2107,351,23
01104,23173,6823,2581,3567,675,14615,18019,1318,8
01105,11627,6415,2266,3899,250,6808,8535,663,7
01106,15331,694,266,254,174,10820,12075,584,17
01107,11067,4990,2094,2659,237,6502,8122,437,11
01108,27123,8335,3576,4505,254,16091,19907,1539,78
01109,27482,8820,3545,4803,472,15617,20462,1385,10
01118,14298,1778,655,1017,106,9907,11477,1312,0
01119,12379,2053,667,1242,144,8446,9886,714,23
01128,2485,49,8,41,0,1853,2190,160,0
01129,7272,950,322,508,120,5118,5900,498,8
