zcta,population,poverty,poverty_under18,poverty_18to65,poverty_over65,education,work_experience,working_fulltime,working_fulltime_poverty
00601,17914,10911,2943,6425,1543,11857,14219,259,42
00602,40807,21724,5683,13586,2455,27644,33013,872,130
00603,51761,26027,7520,14839,3668,35069,41520,1066,97
00606,6415,3778,1094,2209,475,4270,5087,127,43
00610,28727,14149,3917,8512,1720,19395,23200,734,110
00612,65930,30858,8293,17500,5065,44456,53050,1515,134
00616,10434,5174,1163,3005,1006,7380,8719,212,26
00617,24887,13399,3793,7658,1948,16447,19601,826,63
00622,6547,3963,1149,2081,733,4555,5274,195,0
00623,44059,21791,5581,12166,4044,30267,35527,979,100
00624,24718,14829,4259,9038,1532,15594,19130,485,55
00627,34385,15178,4583,8460,2135,23035,27605,631,51
00631,1847,1075,262,570,243,1285,1570,13,0
00637,24694,12537,3074,7255,2208,16549,19782,383,33
00638,18293,10921,3177,6220,1524,11997,14550,299,75
00641,30151,16240,4578,9204,2458,20129,24218,316,11
00646,38176,13785,4092,8201,1492,25232,29803,1309,61
00647,5245,2882,646,1534,702,3846,4345,31,0
00650,14668,7947,2267,4623,1057,9507,11552,330,71
00652,3815,1873,476,1016,381,2566,2921,118,5
00653,13390,9128,2573,5422,1133,8625,10389,287,51
00656,20773,11290,3187,6715,1388,13716,16359,251,18
00659,41782,19270,5575,10952,2743,28218,33399,982,87
00660,16859,6039,1440,3405,1194,12026,13876,396,57
00662,42774,23452,5717,13918,3817,29275,34457,1162,99
00664,16261,9264,2629,5640,995,10224,12642,187,18
00667,25445,15260,3702,9110,2448,17529,20698,437,44
00669,28066,16781,4183,9900,2698,18845,22612,498,64
00670,9396,5301,1486,3203,612,6210,7484,159,27
00674,42738,19424,5674,10961,2789,28284,33865,1138,97
00676,39275,20809,5806,12417,2586,25757,30800,646,77
00677,14992,7557,2155,4397,1005,10619,12299,519,54
00678,26950,15616,4426,9185,2005,17979,21413,522,61
00680,53646,26982,6379,16422,4181,35280,44877,1171,160
00682,31754,16249,4565,9802,1882,20129,25872,773,45
00683,32507,15631,4244,8594,2793,22339,26464,937,124
00685,41191,23407,5845,13649,3913,28153,32918,616,60
00687,32391,17926,5569,10236,2121,20421,25192,630,35
00688,12160,7051,1749,3946,1356,8359,10003,483,51
00690,5906,2465,731,1193,541,3849,4553,145,0
00692,36610,18621,6041,10295,2285,23488,28471,941,87
00693,59054,29692,8290,17001,4401,39656,46985,1665,76
00694,134,109,17,29,63,117,117,13,0
00698,39811,20686,5217,12151,3318,27171,32232,586,18
00703,28652,15730,4653,9095,1982,18881,22652,364,65
00704,7996,4498,1403,2669,426,5022,6043,205,0
00705,25069,12406,3516,7014,1876,16697,20038,633,111
00707,11869,6682,1905,3654,1123,8019,9646,229,29
00714,19218,9925,2697,5924,1304,12434,14987,497,39
00715,3714,2425,834,1142,449,2581,2827,55,0
00716,31143,15061,4948,8281,1832,21152,24542,1428,223
00717,17913,10955,3542,6134,1279,11173,13999,813,93
00718,26701,14331,4570,8262,1499,17209,20885,906,17
00719,30606,15235,4130,9107,1998,20062,24380,659,46
00720,22722,13411,3957,8083,1371,14398,17955,652,85
00723,18750,10592,3083,5925,1584,12596,15085,381,14
00725,87774,37001,11719,20024,5258,58567,69505,3384,210
00727,56815,17390,4941,9611,2838,38428,45886,2686,146
00728,40106,20622,6355,11927,2340,25670,31772,1123,47
00729,53986,23004,7129,13145,2730,34486,42048,1624,150
00730,36000,19153,5874,10571,2708,23794,28756,923,72
00731,14291,7769,2300,4301,1168,9790,11657,299,114
00735,13158,5728,1804,3007,917,8870,10652,497,11
00736,51079,21583,5670,12739,3174,34225,40960,2119,169
00738,33573,14647,4833,7627,2187,22329,26735,1477,100
00739,38242,14366,4141,8236,1989,25366,30236,1532,16
00740,1704,996,437,439,120,946,1220,49,17
00741,5330,2406,702,1516,188,3762,4384,222,38
00745,53196,21407,6153,12210,3044,35222,42493,1589,148
00751,22776,13548,3773,7703,2072,14950,18004,776,109
00754,39775,19459,4929,11557,2973,26880,31940,1276,15
00757,23114,11750,3563,6831,1356,14533,17661,924,107
00765,9084,3760,1228,2009,523,6232,7282,468,26
00766,25352,13729,4382,7841,1506,15970,19670,476,22
00767,36781,19030,5292,11229,2509,24529,29407,806,100
00769,39742,19698,5836,11459,2403,26077,31336,1374,293
00771,38265,18258,5359,10616,2283,25561,30446,1281,52
00772,21682,11832,3347,7101,1384,14031,17122,677,62
00773,19681,8793,2592,4921,1280,13042,15633,625,79
00775,1585,696,186,443,67,1128,1292,38,5
00777,40800,18671,5468,10970,2233,26499,31700,1194,66
00778,46336,16168,4544,9623,2001,30412,36282,1589,77
00780,13604,5124,1379,3300,445,8952,10576,591,93
00782,18531,10495,2887,6209,1399,12211,14762,474,28
00783,35779,18840,5563,10687,2590,23127,27982,751,52
00784,41508,20617,6338,11557,2722,26788,32253,1264,42
00786,327,12,0,0,12,284,314,15,0
00791,51197,22090,6593,12497,3000,34608,41073,2156,57
00794,30149,17977,5763,10231,1983,18724,23151,910,148
00795,46891,23636,7406,13231,2999,30115,36896,1283,218
00901,5580,2567,389,1701,477,4398,4998,605,49
00906,43,0,0,0,0,28,43,16,0
00907,17756,5132,1187,3065,880,13948,15472,2396,184
00909,6022,3169,947,1817,405,4077,4966,535,27
00911,7417,2319,445,1158,716,5779,6395,1157,64
00912,6168,2641,772,1519,350,4326,5108,636,55
00913,8164,5947,2342,3218,387,4507,5674,271,31
00915,30389,18317,5402,10483,2432,20126,24602,1755,140
00917,19384,10037,2356,5897,1784,14084,16528,1322,48
00918,16520,6697,2240,3459,998,11601,13522,1969,78
00920,18680,5918,1446,3323,1149,13738,15813,1536,81
00921,38148,17520,5766,9956,1798,25698,30575,2247,187
00923,27427,14823,4381,8534,1908,18309,21943,1700,262
00924,55496,26262,10504,12625,3133,35054,42391,2762,283
00925,6484,3879,546,2927,406,4244,5884,786,107
00926,104298,28763,8392,16451,3920,73443,85800,6442,312
00927,14728,3509,752,2047,710,10983,12625,1039,39
00934,178,0,0,0,0,107,133,24,0
00936,0,0,0,0,0,0,0,0,0
00949,80186,29521,9134,16448,3939,53555,63829,3778,104
00950,0,0,0,0,0,0,0,0,0
00951,15,15,0,8,7,15,15,0,0
00952,9331,3801,1044,2021,736,6270,7605,320,13
00953,73333,23962,7118,13831,3013,46817,57213,2416,132
00956,75305,28585,8471,15314,4800,50986,60415,3058,194
00957,44241,17005,6056,8302,2647,29301,34942,1614,130
00959,48424,15180,4064,8212,2904,33346,39883,2831,128
00960,24,13,0,13,0,24,24,0,0
00961,29614,8997,2286,4894,1817,21322,24837,1413,29
00962,21181,11779,4176,6378,1225,13322,16362,622,41
00965,8967,4786,1366,2801,619,6046,7308,507,64
00966,15744,2916,989,1518,409,11367,13041,1154,39
00968,3594,328,26,120,182,3121,3279,569,0
00969,42138,7339,2107,4034,1198,29960,34615,2779,164
