STATEFP,COUNTYFP,GEOID,NAME,NAMELSAD,lon,lat,state,ABBR
39,063,39063,Hancock,Hancock County,-83.6660335,41.0004711,Ohio,OH
39,003,39003,Allen,Allen County,-84.1061032,40.7716274,Ohio,OH
39,085,39085,Lake,Lake County,-81.3926429,41.9241163,Ohio,OH
39,047,39047,Fayette,Fayette County,-83.4618927,39.5552462,Ohio,OH
39,017,39017,Butler,Butler County,-84.5657341,39.4397469,Ohio,OH
39,115,39115,Morgan,Morgan County,-81.8616967,39.6249458,Ohio,OH
39,133,39133,Portage,Portage County,-81.1969618,41.1689703,Ohio,OH
39,145,39145,Scioto,Scioto County,-82.998675,38.8148886,Ohio,OH
39,163,39163,Vinton,Vinton County,-82.4859614,39.2520418,Ohio,OH
39,125,39125,Paulding,Paulding County,-84.5821249,41.1189483,Ohio,OH
39,069,39069,Henry,Henry County,-84.0688996,41.3315843,Ohio,OH
39,051,39051,Fulton,Fulton County,-84.1242667,41.5972639,Ohio,OH
39,015,39015,Brown,Brown County,-83.8667723,38.9313769,Ohio,OH
39,091,39091,Logan,Logan County,-83.766343,40.3875532,Ohio,OH
39,155,39155,Trumbull,Trumbull County,-80.7703998,41.3063744,Ohio,OH
39,131,39131,Pike,Pike County,-83.0529107,39.0713413,Ohio,OH
39,111,39111,Monroe,Monroe County,-81.0909834,39.7262526,Ohio,OH
39,087,39087,Lawrence,Lawrence County,-82.5171856,38.6038659,Ohio,OH
39,001,39001,Adams,Adams County,-83.4780816,38.8344683,Ohio,OH
39,033,39033,Crawford,Crawford County,-82.9247827,40.8485244,Ohio,OH
39,059,39059,Guernsey,Guernsey County,-81.497875,40.0566648,Ohio,OH
39,161,39161,Van Wert,Van Wert County,-84.5857751,40.8555203,Ohio,OH
39,129,39129,Pickaway,Pickaway County,-83.0528267,39.648947,Ohio,OH
39,119,39119,Muskingum,Muskingum County,-81.9435064,39.9660457,Ohio,OH
39,139,39139,Richland,Richland County,-82.5427812,40.774159,Ohio,OH
39,021,39021,Champaign,Champaign County,-83.7676037,40.1327753,Ohio,OH
39,169,39169,Wayne,Wayne County,-81.8871942,40.8296612,Ohio,OH
39,123,39123,Ottawa,Ottawa County,-83.0126127,41.5454953,Ohio,OH
39,067,39067,Harrison,Harrison County,-81.0915651,40.2923175,Ohio,OH
39,023,39023,Clark,Clark County,-83.783676,39.9170315,Ohio,OH
39,073,39073,Hocking,Hocking County,-82.4834473,39.4903424,Ohio,OH
39,109,39109,Miami,Miami County,-84.2284135,40.0533257,Ohio,OH
39,041,39041,Delaware,Delaware County,-83.0074622,40.2789411,Ohio,OH
39,037,39037,Darke,Darke County,-84.6212484,40.1315415,Ohio,OH
39,057,39057,Greene,Greene County,-83.8948943,39.6874785,Ohio,OH
39,005,39005,Ashland,Ashland County,-82.2701271,40.843273,Ohio,OH
39,095,39095,Lucas,Lucas County,-83.4689033,41.6823213,Ohio,OH
39,007,39007,Ashtabula,Ashtabula County,-80.7455916,41.9066369,Ohio,OH
39,135,39135,Preble,Preble County,-84.6447584,39.7388104,Ohio,OH
39,079,39079,Jackson,Jackson County,-82.614142,39.0134773,Ohio,OH
39,151,39151,Stark,Stark County,-81.3656673,40.8141314,Ohio,OH
39,099,39099,Mahoning,Mahoning County,-80.7703956,41.0108798,Ohio,OH
39,157,39157,Tuscarawas,Tuscarawas County,-81.4711052,40.4474903,Ohio,OH
39,071,39071,Highland,Highland County,-83.601359,39.1844221,Ohio,OH
39,117,39117,Morrow,Morrow County,-82.7977288,40.5252659,Ohio,OH
39,101,39101,Marion,Marion County,-83.1688034,40.5880337,Ohio,OH
39,127,39127,Perry,Perry County,-82.2379525,39.7431874,Ohio,OH
39,043,39043,Erie,Erie County,-82.5258973,41.5540061,Ohio,OH
39,027,39027,Clinton,Clinton County,-83.7956823,39.4302248,Ohio,OH
39,093,39093,Lorain,Lorain County,-82.179722,41.4388045,Ohio,OH
39,039,39039,Defiance,Defiance County,-84.4864334,41.3216789,Ohio,OH
39,009,39009,Athens,Athens County,-82.0458439,39.3326037,Ohio,OH
39,081,39081,Jefferson,Jefferson County,-80.7635272,40.3993836,Ohio,OH
39,143,39143,Sandusky,Sandusky County,-83.1427763,41.3553193,Ohio,OH
39,113,39113,Montgomery,Montgomery County,-84.2905915,39.7537357,Ohio,OH
39,011,39011,Auglaize,Auglaize County,-84.2240177,40.561309,Ohio,OH
39,055,39055,Geauga,Geauga County,-81.1735054,41.4993217,Ohio,OH
39,061,39061,Hamilton,Hamilton County,-84.5441868,39.1969272,Ohio,OH
39,075,39075,Holmes,Holmes County,-81.9300012,40.5655971,Ohio,OH
39,029,39029,Columbiana,Columbiana County,-80.778455,40.770073,Ohio,OH
39,019,39019,Carroll,Carroll County,-81.090787,40.5798841,Ohio,OH
39,013,39013,Belmont,Belmont County,-80.9677268,40.0176819,Ohio,OH
39,141,39141,Ross,Ross County,-83.0595362,39.3238969,Ohio,OH
39,167,39167,Washington,Washington County,-81.4906359,39.4506764,Ohio,OH
