State,County,ViolentCrime,MurderNonnegligentManslaughter,Rape1,Robbery,AggravatedAssault,PropertyCrime,Burglary,LarcenyTheft,MotorVehicleTheft,Arson2,Area,StateAbbrev
Alabama,Autauga,73,1,12,8,52,429,146,233,50,, Metropolitan Counties,AL
Alabama,Baldwin,127,1,5,23,98,613,229,342,42,, Metropolitan Counties,AL
Alabama,Bibb,0,0,0,0,0,37,20,14,3,, Metropolitan Counties,AL
Alabama,Blount,394,1,17,9,367,867,261,501,105,, Metropolitan Counties,AL
Alabama,Calhoun,23,0,7,5,11,319,137,181,1,, Metropolitan Counties,AL
Alabama,Chilton,151,0,10,3,138,592,247,295,50,, Metropolitan Counties,AL
Alabama,Elmore,88,4,22,7,55,677,223,408,46,, Metropolitan Counties,AL
Alabama,Etowah,135,1,20,7,107,480,149,255,76,, Metropolitan Counties,AL
Alabama,Geneva,46,1,9,2,34,205,71,106,28,, Metropolitan Counties,AL
Alabama,Hale,33,0,2,2,29,139,73,55,11,, Metropolitan Counties,AL
Alabama,Henry,13,0,1,1,11,86,34,44,8,, Metropolitan Counties,AL
Alabama,Houston,114,4,18,7,85,616,179,395,42,, Metropolitan Counties,AL
Alabama,Jefferson,693,5,48,173,467,2659,1589,919,151,31.0, Metropolitan Counties,AL
Alabama,Lauderdale,30,1,2,0,27,285,54,190,41,31.0, Metropolitan Counties,AL
Alabama,Lawrence,70,0,7,6,57,326,105,189,32,31.0, Metropolitan Counties,AL
Alabama,Lee,443,10,21,18,394,1296,389,807,100,31.0, Metropolitan Counties,AL
Alabama,Limestone,120,0,29,9,82,829,202,565,62,31.0, Metropolitan Counties,AL
Alabama,Lowndes,51,2,5,9,35,224,96,108,20,31.0, Metropolitan Counties,AL
Alabama,Madison,341,2,44,39,256,2257,576,1474,207,31.0, Metropolitan Counties,AL
Alabama,Mobile,151,9,13,26,103,2149,612,1299,238,31.0, Metropolitan Counties,AL
Alabama,Montgomery,117,1,4,8,104,360,121,198,41,31.0, Metropolitan Counties,AL
Alabama,Morgan,71,0,10,2,59,373,192,165,16,31.0, Metropolitan Counties,AL
Alabama,Russell,66,2,20,5,39,372,124,206,42,31.0, Metropolitan Counties,AL
Alabama,Shelby,111,3,25,8,75,886,251,537,98,31.0, Metropolitan Counties,AL
Alabama,St. Clair,236,0,20,4,212,541,214,303,24,31.0, Metropolitan Counties,AL
Alabama,Tuscaloosa,185,1,6,22,156,1234,387,726,121,31.0, Metropolitan Counties,AL
Alabama,Walker,121,2,18,10,91,908,262,526,120,31.0, Metropolitan Counties,AL
Alabama,Barbour,32,0,4,2,26,124,50,65,9,31.0, Nonmetropolitan Counties,AL
Alabama,Butler,51,2,3,6,40,140,47,87,6,31.0, Nonmetropolitan Counties,AL
Alabama,Chambers,1,0,0,0,1,89,36,53,0,31.0, Nonmetropolitan Counties,AL
Alabama,Cherokee,72,2,9,4,57,387,147,192,48,31.0, Nonmetropolitan Counties,AL
Alabama,Clarke,54,3,5,2,44,105,47,47,11,31.0, Nonmetropolitan Counties,AL
Alabama,Clay,2,0,0,0,2,38,9,27,2,31.0, Nonmetropolitan Counties,AL
Alabama,Cleburne,7,0,1,0,6,145,40,96,9,31.0, Nonmetropolitan Counties,AL
Alabama,Coffee,28,0,6,0,22,153,68,73,12,31.0, Nonmetropolitan Counties,AL
Alabama,Coosa,23,0,1,1,21,174,54,102,18,31.0, Nonmetropolitan Counties,AL
Alabama,Covington,19,0,3,1,15,151,52,84,15,31.0, Nonmetropolitan Counties,AL
Alabama,Cullman,58,2,24,1,31,910,245,574,91,31.0, Nonmetropolitan Counties,AL
Alabama,Dale,38,1,12,1,24,248,64,161,23,31.0, Nonmetropolitan Counties,AL
Alabama,Dallas,76,1,8,4,63,428,173,229,26,31.0, Nonmetropolitan Counties,AL
Alabama,DeKalb,162,2,18,2,140,736,225,403,108,31.0, Nonmetropolitan Counties,AL
Alabama,Escambia,3,0,0,0,3,36,10,20,6,31.0, Nonmetropolitan Counties,AL
Alabama,Franklin,45,1,5,4,35,300,85,182,33,31.0, Nonmetropolitan Counties,AL
Alabama,Greene,42,0,0,5,37,126,71,49,6,31.0, Nonmetropolitan Counties,AL
Alabama,Marengo,35,1,1,4,29,183,72,105,6,31.0, Nonmetropolitan Counties,AL
Alabama,Marion,31,3,3,0,25,217,91,115,11,31.0, Nonmetropolitan Counties,AL
Alabama,Marshall,45,1,9,1,34,454,189,227,38,31.0, Nonmetropolitan Counties,AL
Alabama,Monroe,41,1,0,3,37,116,51,62,3,31.0, Nonmetropolitan Counties,AL
Alabama,Pike,21,1,0,2,18,100,27,69,4,31.0, Nonmetropolitan Counties,AL
Alabama,Talladega,120,2,9,12,97,708,210,430,68,31.0, Nonmetropolitan Counties,AL
Alabama,Tallapoosa,25,1,3,0,21,131,56,68,7,31.0, Nonmetropolitan Counties,AL
Alabama,Washington,42,2,4,1,35,137,44,65,28,31.0, Nonmetropolitan Counties,AL
Alabama,Wilcox,52,2,2,1,47,137,64,59,14,31.0, Nonmetropolitan Counties,AL
Arizona,Cochise,212,2,10,4,196,606,89,458,59,0.0, Metropolitan Counties,AZ
Arizona,Coconino,99,3,15,4,77,419,113,288,18,20.0, Metropolitan Counties,AZ
Arizona,Maricopa,1146,22,100,110,914,5365,1250,3455,660,77.0, Metropolitan Counties,AZ
Arizona,Pima,652,18,77,172,385,8936,1674,6660,602,69.0, Metropolitan Counties,AZ
Arizona,Pinal,263,4,44,13,202,1640,442,987,211,10.0, Metropolitan Counties,AZ
Arizona,Yavapai,226,4,22,9,191,1028,280,653,95,12.0, Metropolitan Counties,AZ
Arizona,Yuma,131,6,20,6,99,1004,387,535,82,5.0, Metropolitan Counties,AZ
Arizona,Graham,5,0,1,0,4,129,30,95,4,13.0, Nonmetropolitan Counties,AZ
Arizona,Greenlee,0,0,0,0,0,60,30,16,14,0.0, Nonmetropolitan Counties,AZ
Arizona,La Paz,38,3,2,3,30,407,155,222,30,0.0, Nonmetropolitan Counties,AZ
Arizona,Navajo,73,6,8,4,55,409,159,214,36,6.0, Nonmetropolitan Counties,AZ
Arkansas,Benton,95,2,26,2,65,663,328,300,35,3.0, Metropolitan Counties,AR
Arkansas,Cleveland,10,0,2,1,7,71,30,38,3,2.0, Metropolitan Counties,AR
Arkansas,Craighead,46,1,17,0,28,343,102,205,36,6.0, Metropolitan Counties,AR
Arkansas,Crawford,89,2,14,0,73,422,99,268,55,0.0, Metropolitan Counties,AR
Arkansas,Crittenden,128,7,8,20,93,338,129,180,29,2.0, Metropolitan Counties,AR
Arkansas,Faulkner,122,1,27,3,91,1040,285,609,146,10.0, Metropolitan Counties,AR
