STATEFP,COUNTYFP,GEOID,NAME,NAMELSAD,lon,lat,state,ABBR
13,189,13189,McDuffie,McDuffie County,-82.4787331,33.4796231,Georgia,GA
13,025,13025,Brantley,Brantley County,-81.9829779,31.1973339,Georgia,GA
13,171,13171,Lamar,Lamar County,-84.1466893,33.0744405,Georgia,GA
13,115,13115,Floyd,Floyd County,-85.2136851,34.2636918,Georgia,GA
13,273,13273,Terrell,Terrell County,-84.4394464,31.7771909,Georgia,GA
13,063,13063,Clayton,Clayton County,-84.3555727,33.5426863,Georgia,GA
13,073,13073,Columbia,Columbia County,-82.2522957,33.5476313,Georgia,GA
13,193,13193,Macon,Macon County,-84.0512306,32.3626859,Georgia,GA
13,049,13049,Charlton,Charlton County,-82.1396442,30.7799036,Georgia,GA
13,233,13233,Polk,Polk County,-85.1883384,33.9960153,Georgia,GA
13,089,13089,DeKalb,DeKalb County,-84.2263432,33.7706611,Georgia,GA
13,227,13227,Pickens,Pickens County,-84.4903508,34.4567464,Georgia,GA
13,119,13119,Franklin,Franklin County,-83.2275325,34.3752657,Georgia,GA
13,265,13265,Taliaferro,Taliaferro County,-82.8752721,33.559319,Georgia,GA
13,045,13045,Carroll,Carroll County,-85.0805272,33.5822366,Georgia,GA
13,075,13075,Cook,Cook County,-83.4294448,31.1525157,Georgia,GA
13,279,13279,Toombs,Toombs County,-82.3306257,32.1178118,Georgia,GA
13,181,13181,Lincoln,Lincoln County,-82.4482992,33.7921507,Georgia,GA
13,145,13145,Harris,Harris County,-84.912432,32.7315494,Georgia,GA
13,251,13251,Screven,Screven County,-81.6175849,32.7447512,Georgia,GA
13,297,13297,Walton,Walton County,-83.731829,33.7838866,Georgia,GA
13,129,13129,Gordon,Gordon County,-84.8738622,34.5096669,Georgia,GA
13,147,13147,Hart,Hart County,-82.96329,34.3487328,Georgia,GA
13,293,13293,Upson,Upson County,-84.2922831,32.8818367,Georgia,GA
13,013,13013,Barrow,Barrow County,-83.7123025,33.9920094,Georgia,GA
13,183,13183,Long,Long County,-81.7428697,31.7495633,Georgia,GA
13,223,13223,Paulding,Paulding County,-84.8671693,33.9210299,Georgia,GA
13,079,13079,Crawford,Crawford County,-83.9791874,32.7094283,Georgia,GA
13,291,13291,Union,Union County,-83.9892568,34.833333,Georgia,GA
13,137,13137,Habersham,Habersham County,-83.5258749,34.6343924,Georgia,GA
13,319,13319,Wilkinson,Wilkinson County,-83.1755122,32.8042663,Georgia,GA
13,199,13199,Meriwether,Meriwether County,-84.6670579,33.0292666,Georgia,GA
13,053,13053,Chattahoochee,Chattahoochee County,-84.7880206,32.3474454,Georgia,GA
13,019,13019,Berrien,Berrien County,-83.2278695,31.2886522,Georgia,GA
13,113,13113,Fayette,Fayette County,-84.4939407,33.4127172,Georgia,GA
13,141,13141,Hancock,Hancock County,-83.0004653,33.2692195,Georgia,GA
13,277,13277,Tift,Tift County,-83.5259307,31.4570027,Georgia,GA
13,143,13143,Haralson,Haralson County,-85.2200629,33.7951646,Georgia,GA
13,061,13061,Clay,Clay County,-84.9925826,31.6198309,Georgia,GA
13,015,13015,Bartow,Bartow County,-84.8381879,34.2409175,Georgia,GA
13,139,13139,Hall,Hall County,-83.8184997,34.3175689,Georgia,GA
13,283,13283,Treutlen,Treutlen County,-82.5708819,32.4095857,Georgia,GA
13,037,13037,Calhoun,Calhoun County,-84.6262895,31.521279,Georgia,GA
13,099,13099,Early,Early County,-84.9067225,31.3241906,Georgia,GA
13,043,13043,Candler,Candler County,-82.0712656,32.4039497,Georgia,GA
13,215,13215,Muscogee,Muscogee County,-84.874946,32.510197,Georgia,GA
13,081,13081,Crisp,Crisp County,-83.7535309,31.9151485,Georgia,GA
13,261,13261,Sumter,Sumter County,-84.2042935,32.0422659,Georgia,GA
13,059,13059,Clarke,Clarke County,-83.3671522,33.9521852,Georgia,GA
13,077,13077,Coweta,Coweta County,-84.7621381,33.3528965,Georgia,GA
13,023,13023,Bleckley,Bleckley County,-83.3317174,32.4354034,Georgia,GA
13,033,13033,Burke,Burke County,-82.0001638,33.0601805,Georgia,GA
13,197,13197,Marion,Marion County,-84.5287354,32.3593118,Georgia,GA
13,159,13159,Jasper,Jasper County,-83.6891515,33.3169807,Georgia,GA
13,151,13151,Henry,Henry County,-84.1540207,33.4529466,Georgia,GA
13,003,13003,Atkinson,Atkinson County,-82.8781511,31.2968056,Georgia,GA
13,263,13263,Talbot,Talbot County,-84.5300288,32.7046026,Georgia,GA
13,085,13085,Dawson,Dawson County,-84.1732611,34.4426077,Georgia,GA
13,167,13167,Johnson,Johnson County,-82.6639696,32.6945842,Georgia,GA
13,303,13303,Washington,Washington County,-82.7981123,32.9718435,Georgia,GA
13,091,13091,Dodge,Dodge County,-83.1678658,32.164369,Georgia,GA
13,039,13039,Camden,Camden County,-81.6420193,30.913358,Georgia,GA
13,225,13225,Peach,Peach County,-83.8319779,32.5713241,Georgia,GA
13,311,13311,White,White County,-83.7434165,34.643776,Georgia,GA
13,163,13163,Jefferson,Jefferson County,-82.4200036,33.0581756,Georgia,GA
13,289,13289,Twiggs,Twiggs County,-83.4258792,32.6658469,Georgia,GA
13,095,13095,Dougherty,Dougherty County,-84.20904,31.5325876,Georgia,GA
13,047,13047,Catoosa,Catoosa County,-85.1393857,34.9002176,Georgia,GA
13,097,13097,Douglas,Douglas County,-84.7673139,33.7012421,Georgia,GA
13,211,13211,Morgan,Morgan County,-83.4994346,33.5986956,Georgia,GA
13,031,13031,Bulloch,Bulloch County,-81.744021,32.3917111,Georgia,GA
13,309,13309,Wheeler,Wheeler County,-82.7338492,32.105258,Georgia,GA
13,109,13109,Evans,Evans County,-81.890153,32.1530834,Georgia,GA
13,307,13307,Webster,Webster County,-84.5538279,32.0466911,Georgia,GA
13,169,13169,Jones,Jones County,-83.5621958,33.0216636,Georgia,GA
13,135,13135,Gwinnett,Gwinnett County,-84.023087,33.9591457,Georgia,GA
13,321,13321,Worth,Worth County,-83.8499598,31.5517733,Georgia,GA
13,229,13229,Pierce,Pierce County,-82.2103703,31.353998,Georgia,GA
13,231,13231,Pike,Pike County,-84.3898475,33.0812241,Georgia,GA
13,259,13259,Stewart,Stewart County,-84.8349117,32.073225,Georgia,GA
13,285,13285,Troup,Troup County,-85.02836,33.034482,Georgia,GA
13,257,13257,Stephens,Stephens County,-83.2902156,34.5529139,Georgia,GA
13,107,13107,Emanuel,Emanuel County,-82.2997628,32.5910995,Georgia,GA
13,071,13071,Colquitt,Colquitt County,-83.769773,31.1897075,Georgia,GA
13,245,13245,Richmond,Richmond County,-82.0749982,33.3614863,Georgia,GA
13,011,13011,Banks,Banks County,-83.4984409,34.3519216,Georgia,GA
13,305,13305,Wayne,Wayne County,-81.9123763,31.5478449,Georgia,GA
13,101,13101,Echols,Echols County,-82.8973758,30.7140081,Georgia,GA
13,179,13179,Liberty,Liberty County,-81.4578709,31.8074582,Georgia,GA
13,247,13247,Rockdale,Rockdale County,-84.0263696,33.6520811,Georgia,GA
13,105,13105,Elbert,Elbert County,-82.8419087,34.116413,Georgia,GA
13,315,13315,Wilcox,Wilcox County,-83.4382586,31.9627199,Georgia,GA
13,281,13281,Towns,Towns County,-83.7322645,34.9025294,Georgia,GA
13,093,13093,Dooly,Dooly County,-83.807167,32.1519954,Georgia,GA
13,235,13235,Pulaski,Pulaski County,-83.4818454,32.2388026,Georgia,GA
13,069,13069,Coffee,Coffee County,-82.8449401,31.5492452,Georgia,GA
13,299,13299,Ware,Ware County,-82.4215072,31.050881,Georgia,GA
13,001,13001,Appling,Appling County,-82.2901025,31.739712,Georgia,GA
13,121,13121,Fulton,Fulton County,-84.4681816,33.7900338,Georgia,GA
13,249,13249,Schley,Schley County,-84.3227083,32.2634439,Georgia,GA
13,029,13029,Bryan,Bryan County,-81.4385431,32.0179692,Georgia,GA
13,065,13065,Clinch,Clinch County,-82.7026143,30.9176531,Georgia,GA
13,185,13185,Lowndes,Lowndes County,-83.2689952,30.833145,Georgia,GA
13,287,13287,Turner,Turner County,-83.6203195,31.7248005,Georgia,GA
13,243,13243,Randolph,Randolph County,-84.7523108,31.762651,Georgia,GA
13,161,13161,Jeff Davis,Jeff Davis County,-82.6368248,31.8116153,Georgia,GA
