GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US00601,00601,ZCTA5 00601,17800,299
8600000US00602,00602,ZCTA5 00602,39716,188
8600000US00603,00603,ZCTA5 00603,51565,785
8600000US00606,00606,ZCTA5 00606,6320,233
8600000US00610,00610,ZCTA5 00610,27976,197
8600000US00612,00612,ZCTA5 00612,63884,1569
8600000US00616,00616,ZCTA5 00616,10321,1084
8600000US00617,00617,ZCTA5 00617,24648,268
8600000US00622,00622,ZCTA5 00622,7385,1039
8600000US00623,00623,ZCTA5 00623,42711,1039
8600000US00624,00624,ZCTA5 00624,23945,478
8600000US00627,00627,ZCTA5 00627,33481,*****
8600000US00631,00631,ZCTA5 00631,1689,344
8600000US00637,00637,ZCTA5 00637,24013,*****
8600000US00638,00638,ZCTA5 00638,17795,232
8600000US00641,00641,ZCTA5 00641,28925,430
8600000US00646,00646,ZCTA5 00646,38292,174
8600000US00647,00647,ZCTA5 00647,5711,610
8600000US00650,00650,ZCTA5 00650,14569,487
8600000US00652,00652,ZCTA5 00652,3893,626
8600000US00653,00653,ZCTA5 00653,12125,596
8600000US00656,00656,ZCTA5 00656,19996,45
8600000US00659,00659,ZCTA5 00659,41327,*****
8600000US00660,00660,ZCTA5 00660,16678,*****
8600000US00662,00662,ZCTA5 00662,41986,484
8600000US00664,00664,ZCTA5 00664,15693,108
8600000US00667,00667,ZCTA5 00667,24492,140
8600000US00669,00669,ZCTA5 00669,27063,263
8600000US00670,00670,ZCTA5 00670,9087,146
8600000US00674,00674,ZCTA5 00674,41545,220
8600000US00676,00676,ZCTA5 00676,38488,120
8600000US00677,00677,ZCTA5 00677,14755,71
8600000US00678,00678,ZCTA5 00678,26490,400
8600000US00680,00680,ZCTA5 00680,50628,1776
8600000US00682,00682,ZCTA5 00682,32433,1694
8600000US00683,00683,ZCTA5 00683,32058,397
8600000US00685,00685,ZCTA5 00685,40102,324
8600000US00687,00687,ZCTA5 00687,32087,*****
8600000US00688,00688,ZCTA5 00688,12797,866
8600000US00690,00690,ZCTA5 00690,5328,785
8600000US00692,00692,ZCTA5 00692,36700,612
8600000US00693,00693,ZCTA5 00693,57428,637
8600000US00694,00694,ZCTA5 00694,66,69
8600000US00698,00698,ZCTA5 00698,38502,70
8600000US00703,00703,ZCTA5 00703,27797,619
8600000US00704,00704,ZCTA5 00704,8390,912
8600000US00705,00705,ZCTA5 00705,24387,291
8600000US00707,00707,ZCTA5 00707,11506,*****
8600000US00714,00714,ZCTA5 00714,18640,153
8600000US00715,00715,ZCTA5 00715,3692,658
8600000US00716,00716,ZCTA5 00716,29351,1518
8600000US00717,00717,ZCTA5 00717,17958,1109
8600000US00718,00718,ZCTA5 00718,26460,291
8600000US00719,00719,ZCTA5 00719,30094,336
8600000US00720,00720,ZCTA5 00720,22148,153
8600000US00723,00723,ZCTA5 00723,18135,*****
8600000US00725,00725,ZCTA5 00725,83479,2392
8600000US00727,00727,ZCTA5 00727,57079,2240
8600000US00728,00728,ZCTA5 00728,41245,1857
8600000US00729,00729,ZCTA5 00729,52897,778
8600000US00730,00730,ZCTA5 00730,33899,1388
8600000US00731,00731,ZCTA5 00731,14988,1186
8600000US00735,00735,ZCTA5 00735,12798,291
8600000US00736,00736,ZCTA5 00736,49841,664
8600000US00738,00738,ZCTA5 00738,32409,294
8600000US00739,00739,ZCTA5 00739,37558,638
8600000US00740,00740,ZCTA5 00740,1503,294
8600000US00741,00741,ZCTA5 00741,5042,720
8600000US00745,00745,ZCTA5 00745,53395,240
8600000US00751,00751,ZCTA5 00751,22110,840
8600000US00754,00754,ZCTA5 00754,39218,47
8600000US00757,00757,ZCTA5 00757,22732,*****
8600000US00765,00765,ZCTA5 00765,8801,152
8600000US00766,00766,ZCTA5 00766,24489,129
8600000US00767,00767,ZCTA5 00767,35734,66
8600000US00769,00769,ZCTA5 00769,39630,296
8600000US00771,00771,ZCTA5 00771,38132,261
8600000US00772,00772,ZCTA5 00772,21096,650
8600000US00773,00773,ZCTA5 00773,19237,*****
8600000US00775,00775,ZCTA5 00775,1493,217
8600000US00777,00777,ZCTA5 00777,40398,281
8600000US00778,00778,ZCTA5 00778,46990,*****
8600000US00780,00780,ZCTA5 00780,11597,1188
8600000US00782,00782,ZCTA5 00782,18544,441
8600000US00783,00783,ZCTA5 00783,34702,364
8600000US00784,00784,ZCTA5 00784,41993,320
8600000US00786,00786,ZCTA5 00786,287,167
8600000US00791,00791,ZCTA5 00791,50515,728
8600000US00794,00794,ZCTA5 00794,29635,99
8600000US00795,00795,ZCTA5 00795,45852,578
8600000US00901,00901,ZCTA5 00901,6541,524
8600000US00906,00906,ZCTA5 00906,76,52
8600000US00907,00907,ZCTA5 00907,17472,1081
8600000US00909,00909,ZCTA5 00909,5563,593
8600000US00911,00911,ZCTA5 00911,7227,634
8600000US00912,00912,ZCTA5 00912,5758,538
8600000US00913,00913,ZCTA5 00913,8333,914
8600000US00915,00915,ZCTA5 00915,28173,1476
8600000US00917,00917,ZCTA5 00917,19005,1099
8600000US00918,00918,ZCTA5 00918,16400,1236
8600000US00920,00920,ZCTA5 00920,17576,1000
8600000US00921,00921,ZCTA5 00921,36104,1667
8600000US00923,00923,ZCTA5 00923,25745,1445
8600000US00924,00924,ZCTA5 00924,54062,1874
8600000US00925,00925,ZCTA5 00925,6924,896
8600000US00926,00926,ZCTA5 00926,101337,2494
8600000US00927,00927,ZCTA5 00927,14229,1155
8600000US00934,00934,ZCTA5 00934,67,58
8600000US00936,00936,ZCTA5 00936,893,388
8600000US00949,00949,ZCTA5 00949,77458,1049
8600000US00950,00950,ZCTA5 00950,0,13
8600000US00951,00951,ZCTA5 00951,8,12
8600000US00952,00952,ZCTA5 00952,9078,981
8600000US00953,00953,ZCTA5 00953,72712,767
8600000US00956,00956,ZCTA5 00956,71602,1739
8600000US00957,00957,ZCTA5 00957,42155,1619
8600000US00959,00959,ZCTA5 00959,48349,1633
8600000US00960,00960,ZCTA5 00960,2429,347
8600000US00961,00961,ZCTA5 00961,30655,1213
8600000US00962,00962,ZCTA5 00962,20509,624
8600000US00965,00965,ZCTA5 00965,7543,800
8600000US00966,00966,ZCTA5 00966,15981,1153
8600000US00968,00968,ZCTA5 00968,3293,367
8600000US00969,00969,ZCTA5 00969,43372,1734
8600000US00971,00971,ZCTA5 00971,28550,1475
8600000US00976,00976,ZCTA5 00976,61084,1393
8600000US00979,00979,ZCTA5 00979,15019,1051
8600000US00982,00982,ZCTA5 00982,14874,1009
8600000US00983,00983,ZCTA5 00983,38533,1890
8600000US00985,00985,ZCTA5 00985,33320,1431
8600000US00987,00987,ZCTA5 00987,58705,2031
8600000US01001,01001,ZCTA5 01001,17423,582
8600000US01002,01002,ZCTA5 01002,29970,541
8600000US01003,01003,ZCTA5 01003,11296,508
8600000US01005,01005,ZCTA5 01005,5228,185
8600000US01007,01007,ZCTA5 01007,14888,24
8600000US01008,01008,ZCTA5 01008,1194,118
8600000US01009,01009,ZCTA5 01009,237,120
8600000US01010,01010,ZCTA5 01010,3718,30
8600000US01011,01011,ZCTA5 01011,1523,180
8600000US01012,01012,ZCTA5 01012,528,98
8600000US01013,01013,ZCTA5 01013,22943,831
8600000US01020,01020,ZCTA5 01020,30629,907
8600000US01022,01022,ZCTA5 01022,2528,457
8600000US01026,01026,ZCTA5 01026,1018,110
8600000US01027,01027,ZCTA5 01027,17872,108
8600000US01028,01028,ZCTA5 01028,16063,26
8600000US01029,01029,ZCTA5 01029,760,164
8600000US01030,01030,ZCTA5 01030,11278,579
8600000US01031,01031,ZCTA5 01031,1192,200
8600000US01032,01032,ZCTA5 01032,590,132
8600000US01033,01033,ZCTA5 01033,6310,28
8600000US01034,01034,ZCTA5 01034,2323,190
8600000US01035,01035,ZCTA5 01035,5338,19
8600000US01036,01036,ZCTA5 01036,5190,24
8600000US01037,01037,ZCTA5 01037,755,157
8600000US01038,01038,ZCTA5 01038,2853,119
8600000US01039,01039,ZCTA5 01039,1194,178
8600000US01040,01040,ZCTA5 01040,40280,40
8600000US01050,01050,ZCTA5 01050,2343,210
8600000US01053,01053,ZCTA5 01053,1697,272
8600000US01054,01054,ZCTA5 01054,1972,131
8600000US01056,01056,ZCTA5 01056,21352,41
8600000US01057,01057,ZCTA5 01057,8773,133
8600000US01060,01060,ZCTA5 01060,15407,571
8600000US01062,01062,ZCTA5 01062,10867,553
8600000US01063,01063,ZCTA5 01063,563,153
8600000US01066,01066,ZCTA5 01066,12,18
8600000US01068,01068,ZCTA5 01068,1825,96
8600000US01069,01069,ZCTA5 01069,8753,380
8600000US01070,01070,ZCTA5 01070,562,70
8600000US01071,01071,ZCTA5 01071,1271,150
8600000US01072,01072,ZCTA5 01072,1542,142
8600000US01073,01073,ZCTA5 01073,6081,21
8600000US01074,01074,ZCTA5 01074,228,179
8600000US01075,01075,ZCTA5 01075,17770,33
8600000US01077,01077,ZCTA5 01077,9650,48
8600000US01079,01079,ZCTA5 01079,811,262
8600000US01080,01080,ZCTA5 01080,2452,334
8600000US01081,01081,ZCTA5 01081,1823,235
8600000US01082,01082,ZCTA5 01082,10612,154
8600000US01083,01083,ZCTA5 01083,3148,558
8600000US01084,01084,ZCTA5 01084,154,47
8600000US01085,01085,ZCTA5 01085,41479,200
8600000US01086,01086,ZCTA5 01086,690,183
8600000US01088,01088,ZCTA5 01088,433,119
8600000US01089,01089,ZCTA5 01089,28575,27
8600000US01092,01092,ZCTA5 01092,1191,462
8600000US01093,01093,ZCTA5 01093,289,92
8600000US01094,01094,ZCTA5 01094,347,95
8600000US01095,01095,ZCTA5 01095,14569,46
8600000US01096,01096,ZCTA5 01096,2564,254
8600000US01097,01097,ZCTA5 01097,78,78
8600000US01098,01098,ZCTA5 01098,1117,115
8600000US01103,01103,ZCTA5 01103,2430,312
8600000US01104,01104,ZCTA5 01104,23183,872
8600000US01105,01105,ZCTA5 01105,11576,814
8600000US01106,01106,ZCTA5 01106,15983,86
8600000US01107,01107,ZCTA5 01107,11474,753
8600000US01108,01108,ZCTA5 01108,28449,1197
8600000US01109,01109,ZCTA5 01109,30139,1143
8600000US01118,01118,ZCTA5 01118,14293,830
8600000US01119,01119,ZCTA5 01119,13091,790
8600000US01128,01128,ZCTA5 01128,2695,307
8600000US01129,01129,ZCTA5 01129,7220,476
8600000US01151,01151,ZCTA5 01151,9295,735
8600000US01199,01199,ZCTA5 01199,0,12
8600000US01201,01201,ZCTA5 01201,45001,249
8600000US01220,01220,ZCTA5 01220,8266,32
8600000US01222,01222,ZCTA5 01222,829,220
8600000US01223,01223,ZCTA5 01223,2247,176
8600000US01224,01224,ZCTA5 01224,176,88
8600000US01225,01225,ZCTA5 01225,3192,21
8600000US01226,01226,ZCTA5 01226,6885,98
8600000US01229,01229,ZCTA5 01229,102,69
8600000US01230,01230,ZCTA5 01230,8195,361
8600000US01235,01235,ZCTA5 01235,2666,220
8600000US01236,01236,ZCTA5 01236,1422,325
8600000US01237,01237,ZCTA5 01237,2755,259
8600000US01238,01238,ZCTA5 01238,5950,350
8600000US01240,01240,ZCTA5 01240,4592,231
8600000US01242,01242,ZCTA5 01242,429,229
8600000US01243,01243,ZCTA5 01243,381,97
8600000US01244,01244,ZCTA5 01244,82,46
8600000US01245,01245,ZCTA5 01245,870,112
8600000US01247,01247,ZCTA5 01247,15725,129
8600000US01253,01253,ZCTA5 01253,734,136
8600000US01254,01254,ZCTA5 01254,985,109
8600000US01255,01255,ZCTA5 01255,869,97
8600000US01256,01256,ZCTA5 01256,764,80
8600000US01257,01257,ZCTA5 01257,2164,234
8600000US01258,01258,ZCTA5 01258,359,84
8600000US01259,01259,ZCTA5 01259,556,88
8600000US01260,01260,ZCTA5 01260,545,364
8600000US01262,01262,ZCTA5 01262,1196,227
