zip,latitude,longitude,StateAbbrev,County,PropertyCrime,ViolentCrime
36003,32.451904,-86.723821,AL,Autauga,384,55
36006,32.64656,-86.722096,AL,Autauga,384,55
36022,32.623495,-86.405573,AL,Autauga,384,55
36051,32.685457,-86.50002,AL,Autauga,384,55
36066,32.4797,-86.42401,AL,Autauga,384,55
36067,32.516518,-86.561483,AL,Autauga,384,55
36091,32.750447,-86.508548,AL,Autauga,384,55
36701,32.483972,-87.054642,AL,Autauga,384,55
36703,32.427349,-86.912858,AL,Autauga,384,55
36749,32.550967,-86.849827,AL,Autauga,384,55
36758,32.638892,-86.88991,AL,Autauga,384,55
36480,31.325005,-87.599127,AL,Baldwin,737,163
36502,31.147733,-87.494821,AL,Baldwin,737,163
36507,30.858609,-87.742025,AL,Baldwin,737,163
36511,30.315155,-87.747247,AL,Baldwin,737,163
36526,30.611252,-87.860042,AL,Baldwin,737,163
36527,30.702075,-87.881866,AL,Baldwin,737,163
36530,30.40821,-87.555585,AL,Baldwin,737,163
36532,30.480713,-87.861307,AL,Baldwin,737,163
36535,30.383999,-87.727359,AL,Baldwin,737,163
36542,30.26965,-87.750627,AL,Baldwin,737,163
36549,30.411164,-87.451119,AL,Baldwin,737,163
36550,31.24943,-87.730436,AL,Baldwin,737,163
36551,30.647109,-87.753071,AL,Baldwin,737,163
36555,30.396615,-87.783492,AL,Baldwin,737,163
36559,30.56761,-87.908587,AL,Baldwin,737,163
36561,30.287622,-87.571267,AL,Baldwin,737,163
36562,31.037057,-87.670416,AL,Baldwin,737,163
36564,30.483252,-87.934696,AL,Baldwin,737,163
36567,30.623536,-87.55696,AL,Baldwin,737,163
36574,30.500968,-87.478446,AL,Baldwin,737,163
36576,30.522953,-87.763833,AL,Baldwin,737,163
36578,30.749316,-87.77924,AL,Baldwin,737,163
36579,31.106823,-87.796932,AL,Baldwin,737,163
36580,30.478898,-87.703414,AL,Baldwin,737,163
36016,31.850223,-85.414706,AL,Barbour,100,34
36017,31.679443,-85.55772,AL,Barbour,100,34
36027,31.82242,-85.378527,AL,Barbour,100,34
36048,31.804214,-85.592024,AL,Barbour,100,34
36053,32.02924,-85.443571,AL,Barbour,100,34
36311,31.609777,-85.685655,AL,Barbour,100,34
36317,31.643557,-85.404255,AL,Barbour,100,34
36374,31.578737,-85.49369,AL,Barbour,100,34
35034,32.911122,-87.271681,AL,Bibb,69,3
35035,33.043682,-86.968442,AL,Bibb,69,3
35042,32.959173,-87.102463,AL,Bibb,69,3
35074,33.222349,-87.12427,AL,Bibb,69,3
35080,33.261378,-86.913298,AL,Bibb,69,3
35111,33.284628,-87.094558,AL,Bibb,69,3
35115,33.142473,-86.891528,AL,Bibb,69,3
35184,33.114345,-87.136714,AL,Bibb,69,3
35188,33.180336,-87.163635,AL,Bibb,69,3
35456,33.063694,-87.41475,AL,Bibb,69,3
36750,32.789616,-86.849377,AL,Bibb,69,3
36756,32.683866,-87.27589,AL,Bibb,69,3
36792,32.924437,-86.896466,AL,Bibb,69,3
36793,32.821605,-87.027517,AL,Bibb,69,3
35013,33.902168,-86.517777,AL,Blount,812,313
35016,34.32387,-86.502006,AL,Blount,812,313
35031,34.097505,-86.555035,AL,Blount,812,313
35049,33.961861,-86.612114,AL,Blount,812,313
35063,33.818224,-87.020631,AL,Blount,812,313
35079,33.938426,-86.75905,AL,Blount,812,313
35097,33.892188,-86.627133,AL,Blount,812,313
35121,33.941185,-86.455102,AL,Blount,812,313
35126,33.730926,-86.654972,AL,Blount,812,313
35133,33.82965,-86.596151,AL,Blount,812,313
35146,33.79507,-86.453279,AL,Blount,812,313
35172,33.845155,-86.695313,AL,Blount,812,313
35180,33.820305,-86.840317,AL,Blount,812,313
35952,34.052385,-86.310738,AL,Blount,812,313
35957,34.196159,-86.196898,AL,Blount,812,313
35976,34.345767,-86.330025,AL,Blount,812,313
35980,34.172088,-86.389617,AL,Blount,812,313
36005,31.888214,-85.7196,AL,Bullock,46,6
36029,32.181872,-85.933154,AL,Bullock,46,6
36031,32.245572,-85.734076,AL,Bullock,46,6
36052,32.184093,-86.048285,AL,Bullock,46,6
36053,32.02924,-85.443571,AL,Bullock,46,6
36081,31.903745,-85.898152,AL,Bullock,46,6
36089,32.151049,-85.698646,AL,Bullock,46,6
36830,32.538612,-85.489708,AL,Bullock,46,6
36860,32.274537,-85.424439,AL,Bullock,46,6
36030,31.870914,-86.87622,AL,Butler,190,33
36032,31.99463,-86.568637,AL,Butler,190,33
36033,31.671714,-86.770613,AL,Butler,190,33
36037,31.799009,-86.628615,AL,Butler,190,33
36042,31.868619,-86.459989,AL,Butler,190,33
36071,31.706685,-86.397754,AL,Butler,190,33
36456,31.568405,-86.806151,AL,Butler,190,33
36474,31.42969,-86.626037,AL,Butler,190,33
35096,33.620336,-86.107668,AL,Calhoun,211,18
35905,33.856532,-85.912603,AL,Calhoun,211,18
36201,33.64916,-85.879642,AL,Calhoun,211,18
36203,33.583049,-85.834485,AL,Calhoun,211,18
36205,33.717379,-85.794817,AL,Calhoun,211,18
36206,33.733273,-85.809624,AL,Calhoun,211,18
36207,33.689088,-85.718863,AL,Calhoun,211,18
36250,33.765322,-85.901096,AL,Calhoun,211,18
36260,33.581761,-85.995486,AL,Calhoun,211,18
36265,33.847655,-85.784916,AL,Calhoun,211,18
36271,33.78123,-86.01869,AL,Calhoun,211,18
36272,33.942381,-85.595417,AL,Calhoun,211,18
36277,33.757469,-85.818226,AL,Calhoun,211,18
36279,33.872274,-85.889336,AL,Calhoun,211,18
36274,33.172406,-85.363142,AL,Chambers,89,3
36276,33.132677,-85.570266,AL,Chambers,89,3
36801,32.694763,-85.395626,AL,Chambers,89,3
36850,32.786919,-85.655757,AL,Chambers,89,3
36852,32.757181,-85.292494,AL,Chambers,89,3
36854,32.751613,-85.189484,AL,Chambers,89,3
36855,33.028908,-85.308151,AL,Chambers,89,3
36862,32.903965,-85.455157,AL,Chambers,89,3
36863,32.889494,-85.26375,AL,Chambers,89,3
36879,32.727562,-85.558384,AL,Chambers,89,3
35901,34.047586,-85.933265,AL,Cherokee,357,48
35903,34.02427,-85.863703,AL,Cherokee,357,48
35959,34.245139,-85.605623,AL,Cherokee,357,48
35960,34.124328,-85.570557,AL,Cherokee,357,48
35961,34.303952,-85.846214,AL,Cherokee,357,48
35967,34.407663,-85.694569,AL,Cherokee,357,48
35973,34.344016,-85.551513,AL,Cherokee,357,48
35983,34.172844,-85.766155,AL,Cherokee,357,48
35984,34.536843,-85.563859,AL,Cherokee,357,48
36272,33.942381,-85.595417,AL,Cherokee,357,48
35040,33.102967,-86.728894,AL,Chilton,715,168
35045,32.799962,-86.676761,AL,Chilton,715,168
35046,32.931141,-86.534157,AL,Chilton,715,168
35085,32.976498,-86.739181,AL,Chilton,715,168
35115,33.142473,-86.891528,AL,Chilton,715,168
35171,32.882577,-86.740275,AL,Chilton,715,168
36006,32.64656,-86.722096,AL,Chilton,715,168
36051,32.685457,-86.50002,AL,Chilton,715,168
36091,32.750447,-86.508548,AL,Chilton,715,168
36750,32.789616,-86.849377,AL,Chilton,715,168
36758,32.638892,-86.88991,AL,Chilton,715,168
36790,32.733603,-86.893627,AL,Chilton,715,168
36792,32.924437,-86.896466,AL,Chilton,715,168
36793,32.821605,-87.027517,AL,Chilton,715,168
36558,31.608143,-88.316371,AL,Choctaw,21,13
36904,32.100714,-88.260849,AL,Choctaw,21,13
36908,31.892,-88.474574,AL,Choctaw,21,13
36910,32.204607,-88.14697,AL,Choctaw,21,13
36912,32.230412,-88.302607,AL,Choctaw,21,13
36913,31.960963,-88.44709,AL,Choctaw,21,13
36915,31.955091,-88.358729,AL,Choctaw,21,13
36916,32.209837,-88.059887,AL,Choctaw,21,13
36919,31.769052,-88.282862,AL,Choctaw,21,13
36921,31.93843,-88.18278,AL,Choctaw,21,13
36922,32.300344,-88.141975,AL,Choctaw,21,13
