State,County,ViolentCrime,MurderNonnegligentManslaughter,Rape1,Robbery,AggravatedAssault,PropertyCrime,Burglary,LarcenyTheft,MotorVehicleTheft,Arson2,Area,StateAbbrev
Alabama,Autauga,55,2,5,5,43,384,131,206,47,, Metropolitan Counties,AL
Alabama,Baldwin,163,1,9,18,135,737,226,442,69,, Metropolitan Counties,AL
Alabama,Bibb,3,0,1,1,1,69,41,24,4,, Metropolitan Counties,AL
Alabama,Blount,313,1,14,5,293,812,198,502,112,, Metropolitan Counties,AL
Alabama,Calhoun,18,0,7,7,4,211,93,117,1,, Metropolitan Counties,AL
Alabama,Chilton,168,2,15,7,144,715,268,368,79,, Metropolitan Counties,AL
Alabama,Colbert,58,0,13,3,42,267,84,151,32,, Metropolitan Counties,AL
Alabama,Elmore,60,1,13,9,37,757,228,467,62,, Metropolitan Counties,AL
Alabama,Etowah,104,2,13,3,86,526,186,276,64,, Metropolitan Counties,AL
Alabama,Geneva,58,0,7,3,48,227,73,124,30,, Metropolitan Counties,AL
Alabama,Hale,17,0,1,0,16,39,9,21,9,, Metropolitan Counties,AL
Alabama,Henry,14,0,2,0,12,48,17,26,5,, Metropolitan Counties,AL
Alabama,Houston,103,2,12,10,79,580,144,396,40,, Metropolitan Counties,AL
Alabama,Jefferson,700,5,34,163,498,2311,1203,974,134,, Metropolitan Counties,AL
Alabama,Lauderdale,37,0,4,1,32,165,41,87,37,, Metropolitan Counties,AL
Alabama,Lawrence,71,2,9,3,57,356,101,206,49,, Metropolitan Counties,AL
Alabama,Lee,420,2,20,12,386,1072,253,704,115,, Metropolitan Counties,AL
Alabama,Limestone,154,2,28,10,114,1015,284,649,82,, Metropolitan Counties,AL
Alabama,Lowndes,68,1,12,11,44,236,95,111,30,, Metropolitan Counties,AL
Alabama,Madison,380,6,31,32,311,2074,549,1299,226,, Metropolitan Counties,AL
Alabama,Mobile,136,5,11,21,99,2375,728,1310,337,, Metropolitan Counties,AL
Alabama,Montgomery,115,0,2,14,99,389,122,222,45,, Metropolitan Counties,AL
Alabama,Morgan,143,0,11,1,131,284,157,109,18,, Metropolitan Counties,AL
Alabama,Russell,45,1,9,6,29,351,98,214,39,, Metropolitan Counties,AL
Alabama,Shelby,98,0,30,6,62,690,232,401,57,, Metropolitan Counties,AL
Alabama,Tuscaloosa,215,5,10,22,178,1363,414,781,168,, Metropolitan Counties,AL
Alabama,Walker,84,0,9,10,65,587,144,330,113,, Metropolitan Counties,AL
