county,zip,res_ratio,bus_ratio,oth_ratio,tot_ratio
01001,36066,0.298010180,0.264936337,0.575048733,0.300443748
01001,36703,0.004413911,0.004897160,0.000000000,0.004372227
01001,36749,0.014416403,0.001958864,0.013645224,0.013573480
01001,36068,0.046844410,0.192948090,0.003898635,0.055860089
01001,36701,0.000035596,0.000000000,0.000000000,0.000032629
01001,36067,0.458334817,0.484818805,0.335282651,0.458039676
01001,36006,0.017513260,0.004407444,0.009746589,0.016510050
01001,36022,0.080162318,0.012242899,0.013645224,0.074523623
01001,36091,0.007902324,0.001469148,0.000000000,0.007341425
01001,36758,0.005837753,0.000979432,0.000000000,0.005416340
01001,36003,0.034812943,0.016160627,0.033138402,0.033542156
01001,36051,0.030719396,0.013222331,0.015594542,0.029300444
01001,36008,0.000996690,0.001958864,0.000000000,0.001044114
01003,36480,0.000042418,0.000000000,0.000000000,0.000038509
01003,36502,0.000862502,0.000590717,0.000000000,0.000827947
01003,36576,0.015461403,0.002194093,0.022328549,0.014562889
01003,36551,0.028999852,0.018734177,0.022328549,0.028111702
01003,36550,0.000904920,0.000337553,0.000000000,0.000847202
01003,36547,0.052195491,0.053755274,0.000797448,0.051486775
01003,36533,0.009204731,0.048354430,0.000797448,0.012046956
01003,36535,0.120205869,0.153839662,0.140749601,0.123094598
01003,36579,0.005988024,0.002109705,0.004385965,0.005667268
01003,36562,0.005344683,0.001350211,0.009569378,0.005108885
01003,36567,0.043570474,0.036371308,0.069776715,0.043444775
01003,36542,0.105274693,0.063797468,0.123604466,0.102415167
01003,36574,0.005938536,0.002025316,0.006778309,0.005654431
01003,36527,0.049869564,0.055864979,0.070574163,0.050658828
01003,36526,0.120396751,0.157974684,0.118819777,0.123229380
01003,36530,0.036182652,0.016793249,0.026315789,0.034549154
01003,36555,0.004156975,0.000843882,0.003987241,0.003902264
01003,36559,0.005818351,0.010801688,0.000398724,0.006110123
01003,36580,0.027585914,0.024978903,0.027511962,0.027386446
01003,36549,0.022792667,0.004978903,0.000797448,0.021083777
01003,36577,0.004687202,0.022278481,0.000797448,0.005962505
01003,36564,0.008087721,0.007848101,0.000398724,0.007945728
01003,36511,0.005606261,0.004388186,0.002392344,0.005461886
01003,36561,0.112895814,0.087763713,0.108054226,0.110906442
01003,36532,0.119491831,0.129704641,0.147527911,0.120719865
01003,36536,0.010901456,0.024556962,0.000797448,0.011777391
01003,36578,0.010427787,0.005991561,0.000398724,0.009928951
01003,36507,0.067105459,0.061772152,0.090111643,0.067070157
01005,36317,0.001467960,0.000540541,0.000000000,0.001339136
01005,36311,0.021189686,0.004864865,0.002475248,0.019082692
01005,36048,0.051633903,0.012972973,0.017326733,0.046869769
01005,36017,0.082971662,0.069729730,0.094059406,0.081854704
01005,36027,0.596630074,0.676756757,0.547029703,0.603783060
01005,36053,0.031018637,0.017837838,0.007425743,0.029126214
01005,36374,0.004531529,0.002702703,0.000000000,0.004240598
01005,36072,0.081439877,0.150810811,0.004950495,0.086876465
01005,36016,0.129116671,0.063783784,0.326732673,0.126827363
01007,36793,0.019463754,0.003316750,0.052980132,0.019031781
01007,36756,0.000000000,0.001658375,0.000000000,0.000092387
01007,36792,0.039026812,0.009950249,0.019867550,0.037139690
01007,35035,0.081132075,0.036484245,0.033112583,0.077974871
01007,35111,0.014498510,0.003316750,0.013245033,0.013858093
01007,35080,0.000496524,0.000000000,0.000000000,0.000461936
01007,35034,0.144587885,0.177446103,0.245033113,0.147819660
01007,35188,0.118768620,0.223880597,0.119205298,0.124630451
01007,35115,0.008838133,0.001658375,0.000000000,0.008314856
01007,36750,0.003773585,0.000000000,0.000000000,0.003510717
01007,35074,0.000000000,0.001658375,0.000000000,0.000092387
01007,35184,0.266534260,0.114427861,0.172185430,0.256744272
01007,35456,0.000794439,0.000000000,0.000000000,0.000739098
01007,35042,0.302085402,0.426202322,0.344370861,0.309589800
01009,35013,0.000000000,0.000712758,0.000000000,0.000033688
01009,35146,0.014130981,0.001425517,0.000000000,0.013340520
01009,35180,0.098020228,0.082679971,0.223057644,0.098975879
01009,35079,0.156947134,0.072701354,0.060150376,0.151664196
01009,35121,0.261853526,0.516749822,0.431077694,0.276175718
01009,35031,0.139731727,0.073414113,0.102756892,0.136100256
01009,35980,0.024998207,0.009978617,0.007518797,0.024053362
01009,35063,0.009289147,0.003563792,0.007518797,0.008994745
01009,35097,0.028297827,0.040627227,0.020050125,0.028769708
01009,35133,0.067462879,0.033499644,0.040100251,0.065489826
01009,35172,0.040097554,0.024233785,0.040100251,0.039347797
01009,35016,0.005881931,0.001425517,0.000000000,0.005592238
01009,35976,0.009934725,0.002138275,0.015037594,0.009634820
01009,35957,0.009038089,0.002851033,0.005012531,0.008691551
01009,35126,0.008428377,0.004989309,0.000000000,0.008152540
