S00700,"State and local general government",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
221100,"Electricity",0.00219,0.00030,0.00897,0.01154,0.00007,0.00120,0.00034,0.00042,0.00090,0.00110,0.00483,0.00107,0.00007,0.00303,0.00032,0.00125,0.00009,0.00031,0.00416,0.01550,0.00014,0.00061,0.00012,0.00280
324110,"Gasoline, fuels, and by-products of petroleum refining",0.00655,0.00085,0.17511,0.02134,0.00069,0.00268,0.00466,0.00136,0.00220,0.01637,0.00703,0.01423,0.00026,0.00531,0.00452,0.00343,0.00069,0.00085,0.07328,0.24785,0.00087,0.00190,0.00104,0.02743
31161A,"Packaged meat (except poultry)",0.00381,0.00080,0.12087,0.00283,0.00093,0.00198,0.00175,0.00116,0.00260,0.00775,0.00519,0.00698,0.00031,0.00622,0.02358,0.00164,0.00089,0.00080,0.04122,0.05624,0.00078,0.00165,0.00105,0.02164
314110,"Carpets and rugs",0.00130,0.00094,0.00041,0.00099,0.00092,0.00317,0.00173,0.00092,0.00352,0.00641,0.00085,0.00598,0.00026,0.00226,0.00030,0.00121,0.00087,0.00098,0.03184,0.01271,0.00039,0.00258,0.00082,0.00247
722211,"Limited-service restaurants",0.00014,0.00004,0.00291,0.00052,0.00001,0.00014,0.00009,0.00005,0.00034,0.00041,0.00142,0.00040,0.00001,0.00092,0.00001,0.00008,0.00001,0.00004,0.00083,0.00218,0.00002,0.00008,0.00002,0.00382
4A0000,"Other retail",0.00020,0.00002,0.00017,0.00018,0.00001,0.00012,0.00002,0.00002,0.00005,0.00003,0.00011,0.00004,0.00001,0.00019,0.00001,0.00005,0.00001,0.00002,0.00007,0.00019,0.00001,0.00004,0.00001,0.00012
233411,"Single-family residential structures",0.00018,0.00002,0.00010,0.00014,0.00000,0.00017,0.00001,0.00001,0.00005,0.00003,0.00013,0.00003,0.00000,0.00093,0.00001,0.00002,0.00000,0.00002,0.00004,0.00014,0.00001,0.00004,0.00001,0.00011
722110,"Full-service restaurants",0.00761,0.00077,0.00654,0.00690,0.00018,0.00138,0.00046,0.00047,0.00093,0.00100,0.00371,0.00099,0.00022,0.00225,0.00036,0.00082,0.00022,0.00080,0.00240,0.00767,0.00032,0.00093,0.00032,0.00156
233293,"Highways and streets",0.00620,0.00016,0.00126,0.00254,0.00009,0.00124,0.00016,0.00015,0.00042,0.00031,0.00160,0.00033,0.00008,0.00779,0.00010,0.00059,0.00010,0.00017,0.00048,0.00141,0.00011,0.00036,0.00026,0.00522
111200,"Fresh vegetables, melons, and potatoes",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
484000,"Truck transport",0.00017,0.00045,0.00008,0.00020,0.00013,0.00044,0.00023,0.00031,0.00037,0.00055,0.00012,0.00052,0.00012,0.00014,0.00023,0.00010,0.00016,0.00048,0.00010,0.00008,0.00011,0.00029,0.00042,0.00011
2334A0,"Other residential structures",0.00003,0.00001,0.00011,0.00006,0.00001,0.00002,0.00001,0.00001,0.00001,0.00002,0.00006,0.00002,0.00001,0.00005,0.00001,0.00001,0.00001,0.00001,0.00002,0.00008,0.00001,0.00001,0.00001,0.00002
