STATEFP,COUNTYFP,GEOID,NAME,NAMELSAD,longitude,latitude,state,ABBR,sq_miles,totalpop18
45,023,45023,Chester,Chester County,-81.1612488,34.6893424,South Carolina,SC,586.162999838262,32326
45,081,45081,Saluda,Saluda County,-81.7279033,34.0052784,South Carolina,SC,461.907441656715,20299
45,089,45089,Williamsburg,Williamsburg County,-79.716474,33.6264617,South Carolina,SC,937.046470431539,31794
45,035,45035,Dorchester,Dorchester County,-80.4046966,33.0821859,South Carolina,SC,571.183684581243,155474
45,015,45015,Berkeley,Berkeley County,-79.9536554,33.2077,South Carolina,SC,1233.89586662645,209065
45,047,45047,Greenwood,Greenwood County,-82.1278759,34.1557959,South Carolina,SC,462.920768264699,70264
45,069,45069,Marlboro,Marlboro County,-79.6794351,34.60167,South Carolina,SC,485.467987833657,27131
45,009,45009,Bamberg,Bamberg County,-81.0531607,33.2030211,South Carolina,SC,395.562206821051,14600
45,031,45031,Darlington,Darlington County,-79.9621155,34.3321854,South Carolina,SC,566.251832774147,67253
45,003,45003,Aiken,Aiken County,-81.632983,33.5500134,South Carolina,SC,1080.16899393582,166926
45,059,45059,Laurens,Laurens County,-82.0054976,34.4836761,South Carolina,SC,723.838588323428,66710
45,071,45071,Newberry,Newberry County,-81.5996761,34.2898805,South Carolina,SC,647.286208113529,38068
45,063,45063,Lexington,Lexington County,-81.2662769,33.8994765,South Carolina,SC,757.638165357379,286316
45,007,45007,Anderson,Anderson County,-82.6386029,34.521235,South Carolina,SC,755.747664157094,195995
45,013,45013,Beaufort,Beaufort County,-80.6894218,32.358112,South Carolina,SC,923.480325541958,182658
45,077,45077,Pickens,Pickens County,-82.7233774,34.8853677,South Carolina,SC,512.616470634644,122746
45,055,45055,Kershaw,Kershaw County,-80.5908847,34.3383561,South Carolina,SC,740.260272707663,64361
45,045,45045,Greenville,Greenville County,-82.3720772,34.8926452,South Carolina,SC,794.84078413282,498402
45,041,45041,Florence,Florence County,-79.7102329,34.0285346,South Carolina,SC,804.276487268125,138561
45,085,45085,Sumter,Sumter County,-80.3823757,33.9161395,South Carolina,SC,682.08488789016,106995
45,075,45075,Orangeburg,Orangeburg County,-80.8029131,33.436135,South Carolina,SC,1127.88433861528,88454
45,083,45083,Spartanburg,Spartanburg County,-81.9910522,34.9332708,South Carolina,SC,819.013457351255,302195
45,067,45067,Marion,Marion County,-79.3540014,34.0836195,South Carolina,SC,494.166546131925,31562
45,019,45019,Charleston,Charleston County,-79.94248,32.8004582,South Carolina,SC,1357.9741228084,394708
45,037,45037,Edgefield,Edgefield County,-81.9682452,33.7764976,South Carolina,SC,507.046800234366,26769
45,073,45073,Oconee,Oconee County,-83.0615395,34.7487656,South Carolina,SC,673.708202038443,76696
45,029,45029,Colleton,Colleton County,-80.6552438,32.8350184,South Carolina,SC,1133.28585119831,37568
45,049,45049,Hampton,Hampton County,-81.1438217,32.7783341,South Carolina,SC,562.705413859559,19807
45,001,45001,Abbeville,Abbeville County,-82.4540577,34.229041,South Carolina,SC,511.980975495814,24657
45,051,45051,Horry,Horry County,-78.9766749,33.9092694,South Carolina,SC,1254.40109075523,320915
45,021,45021,Cherokee,Cherokee County,-81.6076469,35.0497962,South Carolina,SC,397.857833155529,56711
45,057,45057,Lancaster,Lancaster County,-80.7036885,34.6868182,South Carolina,SC,555.048541594079,89546
45,005,45005,Allendale,Allendale County,-81.3632651,32.9797573,South Carolina,SC,412.416975073505,9214
45,061,45061,Lee,Lee County,-80.2512086,34.1586401,South Carolina,SC,411.232579939347,17606
45,027,45027,Clarendon,Clarendon County,-80.2178886,33.6646821,South Carolina,SC,695.661236154768,34017
45,039,45039,Fairfield,Fairfield County,-81.1270007,34.3956685,South Carolina,SC,709.881454761531,22712
45,033,45033,Dillon,Dillon County,-79.3749638,34.3901723,South Carolina,SC,406.820063504609,30871
45,053,45053,Jasper,Jasper County,-81.021627,32.43059,South Carolina,SC,701.581004141729,27900
45,065,45065,McCormick,McCormick County,-82.3161961,33.8975992,South Carolina,SC,393.870533531195,9606
45,087,45087,Union,Union County,-81.6158961,34.6903965,South Carolina,SC,516.026167370479,27644
45,079,45079,Richland,Richland County,-80.8980371,34.0290952,South Carolina,SC,771.93686430358,408263
45,017,45017,Calhoun,Calhoun County,-80.7803468,33.6747804,South Carolina,SC,392.484495397338,14713
45,091,45091,York,York County,-81.1831873,34.9701875,South Carolina,SC,695.825799981506,258641
45,011,45011,Barnwell,Barnwell County,-81.4342278,33.2605516,South Carolina,SC,557.262441119147,21577
45,043,45043,Georgetown,Georgetown County,-79.2963325,33.4175309,South Carolina,SC,1035.15772498347,61605
45,025,45025,Chesterfield,Chesterfield County,-80.1592269,34.6370178,South Carolina,SC,805.652089910026,46024
