STATEFP,COUNTYFP,GEOID,NAME,NAMELSAD,longitude,latitude,state,ABBR,sq_miles,totalpop18
39,063,39063,Hancock,Hancock County,-83.6660335,41.0004711,Ohio,OH,533.649676785823,75690
39,003,39003,Allen,Allen County,-84.1061032,40.7716274,Ohio,OH,406.851077743869,103642
39,085,39085,Lake,Lake County,-81.3926429,41.9241163,Ohio,OH,979.197098624454,230052
39,047,39047,Fayette,Fayette County,-83.4618927,39.5552462,Ohio,OH,407.014989463803,28645
39,017,39017,Butler,Butler County,-84.5657341,39.4397469,Ohio,OH,470.026211235696,378294
39,115,39115,Morgan,Morgan County,-81.8616967,39.6249458,Ohio,OH,421.780650029543,14702
39,133,39133,Portage,Portage County,-81.1969618,41.1689703,Ohio,OH,504.055523305536,162644
39,145,39145,Scioto,Scioto County,-82.998675,38.8148886,Ohio,OH,616.147805710828,76377
39,163,39163,Vinton,Vinton County,-82.4859614,39.2520418,Ohio,OH,414.978717580173,13111
39,125,39125,Paulding,Paulding County,-84.5821249,41.1189483,Ohio,OH,418.846183294955,18872
39,069,39069,Henry,Henry County,-84.0688996,41.3315843,Ohio,OH,419.750631300336,27316
39,051,39051,Fulton,Fulton County,-84.1242667,41.5972639,Ohio,OH,407.217860787088,42305
39,015,39015,Brown,Brown County,-83.8667723,38.9313769,Ohio,OH,493.451550354045,43679
39,091,39091,Logan,Logan County,-83.766343,40.3875532,Ohio,OH,466.846852407412,45307
39,155,39155,Trumbull,Trumbull County,-80.7703998,41.3063744,Ohio,OH,636.568394800102,201794
39,131,39131,Pike,Pike County,-83.0529107,39.0713413,Ohio,OH,443.975831333457,28214
39,111,39111,Monroe,Monroe County,-81.0909834,39.7262526,Ohio,OH,457.458936982963,14090
39,087,39087,Lawrence,Lawrence County,-82.5171856,38.6038659,Ohio,OH,457.274224752597,60622
39,001,39001,Adams,Adams County,-83.4780816,38.8344683,Ohio,OH,586.247866153052,27878
39,033,39033,Crawford,Crawford County,-82.9247827,40.8485244,Ohio,OH,402.69650998142,42021
