zcta,JobsTotal,JobsAgriculture,JobsEntertainment,JobsConstruction,JobsHealthcare,JobsManufacturing,JobsProfessional,JobsRealestate,JobsTrade,JobsTransport,Population,Poverty,Poverty_Under18,Poverty_18to65,Poverty_Over65,Education,Work_Experience,Working_Fulltime,Working_Fulltime_Poverty,y
1001,458,0,7,48,49,48,57,11,40,12,16563,83,20,49,13,721,829,89,1,1
1002,583,1,28,32,77,8,116,37,9,5,24337,319,27,287,4,528,868,69,4,0
1003,18,0,3,0,3,0,2,0,2,0,75,13,0,13,0,413,466,146,0,0
1005,97,1,1,11,7,4,16,3,1,8,5034,44,6,28,9,671,796,46,1,0
1007,226,1,5,30,26,8,30,4,16,6,14653,77,15,56,5,679,795,47,2,0
1008,18,0,2,5,0,0,2,0,0,0,1212,54,18,33,2,739,849,80,0,0
1009,17,0,0,3,0,1,2,0,2,1,546,173,58,40,75,816,937,91,0,0
1010,74,0,1,19,2,2,7,11,1,4,3654,30,0,25,4,747,817,83,0,0
1011,15,0,1,2,1,2,1,2,0,0,1478,88,26,54,7,710,780,56,2,0
1012,11,0,0,2,3,1,1,0,2,0,499,98,28,50,20,721,849,60,0,0
1013,317,0,6,27,27,29,35,9,19,12,21664,155,46,88,20,672,806,91,1,0
1020,564,0,14,68,53,24,53,28,19,15,30441,104,29,61,13,727,824,83,0,0
1022,62,0,0,2,5,19,5,1,4,5,2711,195,21,150,23,710,928,212,0,0
1026,18,0,1,1,0,1,1,0,1,1,995,58,14,40,4,780,849,50,4,0
1027,386,0,11,47,39,27,45,12,11,5,17638,80,12,53,14,771,857,105,2,0
1028,505,0,16,51,64,26,92,18,30,4,15516,50,19,23,8,708,797,48,0,0
1029,14,0,0,2,0,3,1,0,0,0,701,171,29,122,18,757,851,65,0,0
1030,206,1,5,34,18,4,28,11,8,4,11448,106,36,61,8,705,814,48,1,1
1031,19,0,1,0,1,2,0,0,0,2,1379,224,39,168,15,689,829,73,4,0
1032,21,0,1,4,2,1,1,0,0,0,585,35,0,30,5,776,844,20,0,0
1033,132,2,2,33,4,5,11,6,2,3,6162,56,18,35,2,720,818,83,0,0
1034,30,1,1,7,1,2,2,0,0,1,2058,73,9,59,4,720,848,57,7,0
1035,310,0,14,26,32,10,46,7,5,1,5078,75,4,62,8,746,874,113,0,1
1036,118,1,2,30,7,3,12,3,2,2,5050,42,13,19,9,716,836,23,0,0
1037,15,0,1,4,0,2,2,1,0,0,627,98,19,79,0,813,931,97,0,0
1038,64,1,3,16,5,3,2,2,6,5,2837,86,28,41,16,759,837,83,0,0
1039,28,0,2,6,2,1,3,0,0,0,1354,98,9,72,16,768,876,57,2,0
1040,926,0,24,48,141,59,115,38,25,12,39081,300,116,163,21,646,781,81,0,1
1050,33,0,0,8,4,0,1,0,1,0,2506,87,37,43,5,673,767,55,0,0
1053,31,0,4,3,9,4,3,0,2,0,1594,191,42,143,5,757,805,117,6,0
1054,35,0,1,8,2,0,6,3,3,0,1832,95,27,55,13,764,851,76,3,1
1056,423,0,10,88,30,34,45,13,6,11,20387,59,14,34,9,743,834,72,0,0
1057,140,0,4,33,5,9,11,3,6,6,8552,84,6,67,10,725,822,96,4,0
1060,790,1,43,32,126,17,146,23,18,6,13081,167,24,128,14,756,868,168,5,0
1062,185,1,8,18,36,8,21,9,9,5,10473,112,34,63,14,721,818,92,0,0
1066,8,0,3,2,0,0,1,0,0,0,10,0,0,0,0,1000,1000,0,0,0
1068,29,0,1,13,1,1,3,1,1,2,1791,51,12,34,5,696,809,51,2,0
1069,268,0,8,32,21,24,27,5,18,12,8709,70,8,58,3,709,816,56,0,1
1070,8,0,1,1,0,0,0,0,0,0,579,96,27,56,12,763,867,91,0,0
1071,22,1,0,6,1,1,0,1,1,1,1361,22,3,18,0,754,819,80,0,0
1072,18,0,2,6,0,2,5,0,0,0,1475,86,29,51,5,711,815,103,2,0
1073,113,0,6,28,7,6,12,2,4,3,5945,48,10,32,5,716,814,56,3,0
1074,10,0,0,0,0,1,0,1,1,0,301,0,0,0,0,700,700,162,0,0
1075,300,0,8,44,31,9,44,9,10,5,15406,92,19,57,15,756,846,85,2,0
1077,217,2,11,36,14,18,20,6,8,7,9537,29,4,21,3,699,817,64,0,0
1079,11,0,0,3,0,1,1,0,1,1,542,151,38,112,0,837,876,197,0,0
1080,43,0,0,5,4,6,8,0,0,0,2176,199,45,137,15,703,847,107,2,0
1081,14,1,0,5,0,1,0,0,0,1,1797,42,9,23,10,735,818,45,0,0
1082,165,1,4,12,22,11,17,0,5,6,10314,146,57,68,20,701,818,66,0,0
1083,34,0,0,6,1,4,4,2,0,2,3108,100,31,69,0,700,784,63,0,1
1084,4,0,0,2,0,0,0,0,0,0,211,56,0,37,18,857,919,33,0,1
1085,859,0,20,102,101,88,102,30,42,27,39023,107,36,59,11,668,808,73,2,0
1088,31,0,1,2,2,4,4,1,3,1,446,275,0,183,91,968,968,192,0,0
1089,974,0,18,83,110,58,127,34,61,25,28274,110,33,66,9,688,818,89,0,1
1092,21,0,1,5,0,1,2,0,1,0,1078,298,133,164,0,710,730,89,0,0
1093,33,0,0,7,1,4,1,0,4,3,282,24,0,24,0,826,911,138,0,0
1094,2,0,0,0,0,2,0,0,0,0,310,0,0,0,0,825,867,38,0,0
1095,290,1,7,29,37,6,56,9,15,6,14159,48,7,22,18,710,823,47,0,0
1096,51,0,1,7,3,6,8,2,0,3,2522,66,16,44,5,741,812,68,4,0
1098,26,0,5,6,1,1,2,1,1,0,1076,48,4,33,10,815,887,101,0,0
1103,584,0,23,9,73,5,263,25,9,6,2463,544,139,361,43,669,849,146,10,0
1104,567,0,9,31,103,33,50,22,53,30,21979,287,98,156,32,639,785,47,0,0
1105,266,0,23,9,38,5,31,14,16,8,11599,542,193,332,16,577,726,60,0,0
1106,291,0,12,14,58,2,65,19,10,2,15445,53,19,18,15,700,789,35,0,0
1107,144,0,3,6,68,5,5,4,5,4,11561,475,192,259,24,566,722,33,1,0
1108,271,0,4,22,31,10,23,16,8,8,26461,287,125,154,8,600,746,55,1,0
1109,300,0,7,13,46,10,23,9,6,7,27826,341,138,183,19,562,733,47,0,0
1118,131,0,1,13,28,2,12,4,3,2,14038,106,44,53,8,706,805,94,0,0
1119,149,0,4,7,17,0,12,8,1,1,12799,169,68,88,11,703,811,59,1,1
1128,52,0,0,4,7,1,8,0,1,1,2546,9,3,6,0,765,897,51,0,0
1129,164,0,5,8,13,4,14,3,3,3,7057,147,49,80,17,695,801,79,0,1
1151,145,0,2,13,8,20,17,5,7,7,9503,339,184,137,16,558,679,78,0,1
1201,1317,1,56,127,222,50,205,41,51,23,44651,159,51,93,14,726,823,83,1,0
1220,155,1,2,32,11,8,15,4,3,2,8522,112,37,60,14,714,820,66,0,0
1222,13,0,1,0,0,3,0,0,3,0,811,9,0,9,0,764,827,130,0,0
1223,42,0,4,11,0,1,5,0,1,1,2322,56,4,48,3,818,894,84,2,0
1224,3,0,0,1,0,1,0,0,0,0,242,20,20,0,0,590,822,223,0,0
1225,51,0,0,12,2,1,4,2,0,3,3041,80,30,44,5,719,806,73,7,1
1226,119,0,4,23,9,7,13,7,5,0,6839,165,61,79,24,715,818,68,0,0
1229,3,0,0,0,0,0,1,0,0,0,131,45,0,45,0,732,732,106,0,0
