zcta,JobsTotal,JobsAgriculture,JobsEntertainment,JobsConstruction,JobsHealthcare,JobsManufacturing,JobsProfessional,JobsRealestate,JobsTrade,JobsTransport,Population,Poverty,Poverty_Under18,Poverty_18to65,Poverty_Over65,Education,Work_Experience,Working_Fulltime,Working_Fulltime_Poverty
1001,481.0,0.0,12.0,58.0,46.0,47.0,55.0,12.0,38.0,12.0,16874.0,91.0,16.0,58.0,16.0,752.0,843.0,113.0,0.0
1002,600.0,1.0,30.0,28.0,84.0,14.0,118.0,33.0,8.0,3.0,25074.0,352.0,26.0,321.0,8.0,538.0,881.0,88.0,8.0
1003,21.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,65.0,767.0,0.0,802.0,0.0,674.0,986.0,158.0,0.0
1005,99.0,2.0,0.0,15.0,7.0,4.0,16.0,3.0,1.0,6.0,5175.0,47.0,0.0,36.0,10.0,705.0,841.0,76.0,0.0
1007,235.0,1.0,3.0,36.0,30.0,7.0,31.0,5.0,15.0,4.0,14940.0,98.0,20.0,68.0,10.0,686.0,809.0,61.0,2.0
1008,21.0,0.0,3.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,1206.0,44.0,11.0,27.0,2.0,783.0,887.0,112.0,0.0
1009,18.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,2.0,1.0,243.0,450.0,140.0,55.0,264.0,870.0,912.0,118.0,0.0
1010,76.0,1.0,2.0,22.0,2.0,2.0,8.0,10.0,1.0,4.0,3732.0,25.0,0.0,18.0,7.0,757.0,855.0,87.0,0.0
1011,11.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1518.0,77.0,19.0,51.0,5.0,731.0,825.0,81.0,0.0
1012,10.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,532.0,117.0,28.0,89.0,0.0,737.0,828.0,74.0,0.0
1013,342.0,0.0,7.0,30.0,29.0,27.0,33.0,12.0,18.0,11.0,22500.0,197.0,63.0,114.0,22.0,680.0,807.0,116.0,3.0
1020,577.0,0.0,17.0,68.0,63.0,20.0,50.0,25.0,17.0,13.0,30819.0,107.0,22.0,66.0,22.0,746.0,846.0,102.0,0.0
1022,58.0,0.0,0.0,2.0,3.0,17.0,4.0,1.0,5.0,5.0,2549.0,265.0,56.0,188.0,25.0,717.0,948.0,256.0,0.0
1026,19.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1029.0,47.0,0.0,27.0,17.0,786.0,853.0,71.0,0.0
1027,423.0,0.0,13.0,55.0,36.0,31.0,55.0,15.0,11.0,9.0,18029.0,103.0,16.0,70.0,17.0,779.0,869.0,119.0,1.0
1028,528.0,0.0,15.0,52.0,68.0,27.0,93.0,25.0,25.0,6.0,15813.0,46.0,13.0,22.0,7.0,720.0,813.0,46.0,0.0
1029,14.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,763.0,135.0,27.0,102.0,3.0,783.0,883.0,170.0,0.0
1030,215.0,0.0,6.0,34.0,20.0,6.0,32.0,8.0,7.0,4.0,11327.0,104.0,34.0,58.0,11.0,726.0,836.0,72.0,1.0
1031,20.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1203.0,235.0,35.0,186.0,13.0,721.0,869.0,126.0,7.0
1032,27.0,0.0,1.0,7.0,2.0,1.0,1.0,0.0,1.0,0.0,597.0,25.0,0.0,18.0,6.0,792.0,862.0,46.0,0.0
1033,126.0,1.0,2.0,33.0,4.0,5.0,11.0,5.0,2.0,1.0,6305.0,50.0,11.0,30.0,5.0,754.0,857.0,90.0,0.0
1034,31.0,2.0,1.0,8.0,2.0,3.0,3.0,0.0,0.0,2.0,2338.0,103.0,18.0,74.0,8.0,731.0,870.0,75.0,8.0
1035,316.0,0.0,12.0,26.0,34.0,10.0,42.0,6.0,6.0,2.0,5218.0,79.0,10.0,54.0,13.0,767.0,871.0,110.0,3.0
1036,117.0,1.0,2.0,28.0,6.0,4.0,9.0,3.0,2.0,0.0,5150.0,53.0,12.0,28.0,9.0,733.0,853.0,41.0,2.0
1037,18.0,0.0,1.0,6.0,0.0,2.0,2.0,2.0,0.0,0.0,628.0,145.0,0.0,146.0,0.0,824.0,963.0,133.0,0.0
1038,61.0,0.0,3.0,14.0,5.0,3.0,2.0,1.0,7.0,6.0,2889.0,59.0,2.0,36.0,23.0,804.0,883.0,113.0,0.0
1039,28.0,0.0,1.0,8.0,1.0,1.0,2.0,0.0,0.0,0.0,1205.0,70.0,10.0,59.0,0.0,791.0,894.0,78.0,4.0
1040,937.0,0.0,22.0,52.0,150.0,56.0,110.0,39.0,21.0,14.0,39656.0,302.0,109.0,161.0,29.0,657.0,792.0,86.0,0.0
1050,33.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,1.0,0.0,2361.0,98.0,36.0,60.0,1.0,732.0,825.0,85.0,0.0
1053,28.0,0.0,4.0,2.0,8.0,3.0,2.0,1.0,2.0,0.0,1464.0,181.0,18.0,160.0,5.0,772.0,825.0,106.0,7.0
1054,34.0,0.0,1.0,8.0,3.0,0.0,6.0,3.0,1.0,0.0,1980.0,46.0,6.0,26.0,10.0,753.0,838.0,76.0,1.0
1056,414.0,0.0,10.0,84.0,32.0,34.0,48.0,11.0,6.0,12.0,20868.0,58.0,13.0,36.0,8.0,750.0,835.0,76.0,0.0
1057,148.0,1.0,3.0,37.0,6.0,9.0,12.0,3.0,6.0,7.0,8804.0,60.0,11.0,41.0,7.0,728.0,835.0,90.0,0.0
1060,808.0,0.0,44.0,30.0,129.0,18.0,144.0,26.0,20.0,10.0,13263.0,179.0,18.0,142.0,21.0,758.0,880.0,181.0,8.0
1062,200.0,1.0,8.0,20.0,40.0,9.0,23.0,9.0,9.0,4.0,10673.0,143.0,56.0,73.0,10.0,718.0,814.0,111.0,0.0
1066,9.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1012.0,1008.0,0.0,0.0
1068,30.0,0.0,1.0,12.0,1.0,0.0,3.0,0.0,1.0,2.0,1833.0,34.0,0.0,30.0,3.0,709.0,823.0,70.0,1.0
1069,279.0,1.0,10.0,38.0,19.0,24.0,29.0,6.0,16.0,12.0,8520.0,75.0,12.0,56.0,5.0,740.0,850.0,90.0,0.0
1070,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,566.0,111.0,39.0,64.0,7.0,795.0,877.0,128.0,0.0
1071,20.0,1.0,0.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,1285.0,13.0,0.0,12.0,0.0,771.0,836.0,83.0,0.0
1072,19.0,0.0,2.0,6.0,0.0,2.0,5.0,0.0,0.0,0.0,1553.0,128.0,41.0,74.0,10.0,720.0,854.0,95.0,3.0
1073,132.0,1.0,8.0,30.0,7.0,6.0,15.0,3.0,4.0,4.0,6157.0,44.0,8.0,28.0,5.0,745.0,843.0,73.0,8.0
1074,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,232.0,0.0,0.0,0.0,0.0,688.0,686.0,0.0,0.0
1075,320.0,0.0,7.0,46.0,33.0,8.0,49.0,9.0,11.0,6.0,15491.0,103.0,15.0,68.0,22.0,768.0,864.0,95.0,1.0
1077,222.0,3.0,11.0,35.0,13.0,16.0,18.0,5.0,8.0,11.0,9711.0,60.0,20.0,34.0,4.0,724.0,817.0,64.0,0.0
1079,14.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,0.0,1.0,819.0,95.0,17.0,77.0,0.0,719.0,765.0,103.0,0.0
1080,39.0,0.0,0.0,3.0,3.0,6.0,8.0,0.0,1.0,0.0,2472.0,328.0,97.0,215.0,10.0,661.0,821.0,142.0,11.0
1081,14.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1841.0,58.0,16.0,37.0,3.0,709.0,790.0,60.0,0.0
1082,161.0,1.0,4.0,12.0,11.0,11.0,17.0,0.0,4.0,8.0,10644.0,143.0,41.0,68.0,32.0,713.0,832.0,85.0,1.0
1083,32.0,1.0,0.0,6.0,1.0,4.0,4.0,2.0,0.0,2.0,3176.0,81.0,21.0,60.0,0.0,701.0,790.0,79.0,0.0
1084,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,896.0,942.0,42.0,0.0
1085,885.0,0.0,21.0,111.0,103.0,82.0,104.0,35.0,40.0,33.0,39158.0,99.0,30.0,58.0,10.0,687.0,835.0,92.0,3.0
1088,32.0,0.0,1.0,4.0,2.0,3.0,4.0,1.0,2.0,1.0,433.0,82.0,0.0,54.0,31.0,901.0,945.0,278.0,12.0
