address,city,id,name,state,type,lat,lon,zip,first_appearance,final_appearance,block_fips,tract_fips
2601 W. Diversey,Chicago,3432,Arcade Brewery,IL,Brewery,-87.693232,41.932036,60647,2015,2015,1.70E+14,17031220300
103 W. Michigan Ave.,Battle Creek,43,Arcadia Brewing Co.,MI,BrewPub,-85.18495687,42.32184921,49017,2005,2015,2.60E+14,26025004100
701 E. Michigan Ave.,Kalamazoo,3587,Arcadia Brewing Co.,MI,BrewPub,-85.572173,42.294738,49048,2015,2015,2.61E+14,26077000900
28779 Hunter Creek Loop,Gold Beach,4413,Arch Rock Brewing Co.,OR,Brewery,-124.415465,42.388957,97444,2014,2015,4.10E+14,41015950200
544 N. Main St.,Watervliet,5570,Arclight Brewing Co.,MI,Brewery,-86.258322,42.191081,49098,2015,2015,2.60E+14,26021010300
2506 E. Platte Place,Colorado Springs,44,Arctic Craft Brewery,CO,Brewery,-104.7808142,38.83872046,80909,2006,2009,8.04E+13,8041002101
3200 W. Leigh St.,Richmond ,4437,Ardent Craft Ales,VA,Brewery,-77.472045,37.568205,23230,2015,2015,5.18E+14,51760040200
"7123 Arlington Ave., Suite A",Riverside,3524,Area 51 Craft Brewery,CA,Brewery,-117.44979,33.945898,92503,2014,2015,6.07E+13,6065030900
2667 Kirkwood Highway,Newark,2063,Argilla Brewing Co. @ Pietro's Pizza,DE,BrewPub,-75.684182,39.707453,19711,2013,2015,1.00E+14,10003013608
11314 S. Front Ave.,Chicago,3253,Argus Brewery,IL,Brewery,-87.61221,41.68891,60628,2012,2015,1.70E+14,17031491400
721 N. Arizona Ave.,Gilbert,3647,Arizona Wilderness Brewing,AZ,Brewery,-111.841846,33.363012,85233,2014,2015,4.01E+13,4013422217
600 N. Broadway St.,North Little Rock,5331,Arkansas Ale House (Diamond Bear Brewing),AR,BrewPub,-92.272263,34.759296,72114,2015,2015,5.12E+13,5119002500
650 E. Steel Loop,Palmer,2534,Arkose Brewery,AK,Brewery,-149.10821,61.581915,99645,2013,2015,2.17E+13,2170001201
2823 St. Louis St.,Dallas,3930,Armadillo Ale Works (brewing @ Deep Ellum),TX,BrewPub,-96.781876,32.780601,75226,2014,2015,4.81E+14,48113020400
"1000 Hollingsworth Dr., Suite 210",Phoenixville,4513,Armstrong Ales,PA,Brewery,-75.546191,40.135588,19460,2014,2015,4.20E+14,42029301000
415 Grand Ave.,South San Francisco,3980,Armstrong Brewing Co.,CA,Brewery,-122.413125,37.655454,94080,2015,2015,6.08E+13,6081602200
330 Littlefield Ave.,South San Francisco,3980,Armstrong Brewing Co.,CA,Brewery,-122.394398,37.647825,94080,2014,2014,6.08E+13,6081602300
"919 Calle Amanecer, Suite A",San Clemente,5136,Artifex Brewing Co.,CA,Brewery,-117.605586,33.44935,92673,2015,2015,6.06E+13,6059042109
11255 Dobbins Run,Lafayette,5158,ArtScience Brewing Co.,CO,Brewery,-105.0904432,40.0502374,80026,2015,2015,8.01E+13,8013012800
5600 Olde Wadsworth Blvd.,Arvada,3420,Arvada Beer Co.,CO,Brewery,-105.081464,39.799258,80002,2012,2015,8.06E+13,8059010405
4699 Nautilus Ct.,Boulder,2456,Asher Brewing Co.,CO,Brewery,-105.204965,40.059883,80301,2010,2015,8.01E+13,8013012705
77 Coxe Ave.,Asheville,2243,Asheville Brewing Co.,NC,Brewery,-82.555079,35.592393,28801,2009,2015,3.70E+14,37021000100
675 Merrimon Ave.,Asheville,45,Asheville Pizza & Brewing Co.,NC,BrewPub,-82.55440243,35.62202711,28804,2005,2015,3.70E+14,37021000500
1850 Hendersonville Rd.,Asheville,4628,Asheville Pizza Co.,NC,BrewHouse,-82.5230026,35.5023689,28803,2014,2015,3.70E+14,37021002204
1175 Hudson St.,Longview,3741,Ashtown Brewing,WA,Brewery,-122.932723,46.136707,98632,2014,2015,5.30E+14,53015002100
1330 N. Forest St.,Bellingham,4632,Aslan Brewing,WA,Brewery,-122.4744873,48.748394,98225,2015,2015,5.31E+14,53073000501
557 N. Mill St.,Aspen,1965,Aspen Brewing Co.,CO,Brewery,-106.817582,39.194168,81611,2009,2011,8.10E+13,8097000401
304 E. Hopkins Ave.,Aspen,1965,Aspen Brewing Co.,CO,Brewery,-106.820522,39.190049,81611,2012,2015,8.10E+13,8097000402
17039 Kenton Dr. #102,Cornelius,3210,Ass Clown Brewing Co.,NC,Brewery,-80.891529,35.447625,28031,2012,2015,3.71E+14,37119006209
4435 Coastal Hwy,Ocean City,5497,Assawoman Bay Brewing Co.,MD,Brewery,-75.0706805,38.3707769,21842,2015,2015,2.40E+14,24047950100
6910 Montgomery Blvd NE ,Albuquerque,,Assets Grille Brewing Company ,NM,BrewPub,-106.5698934,35.1300145,87109,2005,2011,3.50E+14,35001000203
"2323 Defoor Hills Rd., NW",Atlanta,41,Atlanta Brewing Co.,GA,Brewery,-84.43481,33.816952,30318,2008,2015,1.31E+14,13121008904
1219 Williams St. ,Atlanta,47,Atlanta Brewing Company ,GA,Brewery,-84.3898071,33.78788266,30309,2005,2007,1.31E+14,13121000500
15 Knox Rd.,Bar Harbor,48,Atlantic Brewing Co.'s Estate Brewery,ME,BrewPub,-68.33403075,44.40189448,4609,2005,2015,2.30E+14,23009965900
322 Moody St.,Waltham,49,Atlantic Coast Brewing/Tremont Ale,MA,Brewery,-71.23686439,42.37065357,2453,2006,2006,2.50E+14,25017368500
2052 West Virginia Avenue NE,Washington,3843,Atlas Brew Works,DC,Brewery,-76.981165,38.914559,20002,2014,2015,1.10E+14,11001008803
2747 N. Lincoln Ave.,Chicago,3574,Atlas Brewing Co.,IL,BrewPub,-87.657401,41.931623,60614,2013,2015,1.70E+14,17031070400
1015 Lee Blvd.,Richland,,Atomic Ale Brewpub and Eatery,WA,BrewPub,-119.277307,46.274522,99352,2005,2015,5.30E+14,53005010600
1175 Lakepointe St.,Grosse Pointe Park,3018,Atwater in the Park,MI,BrewPub,-82.939444,42.380966,48230,2015,2015,2.62E+14,26163550200
289 Washington St.,Auburn,1864,Auburn Alehouse,CA,BrewPub,-121.078905,38.896098,95603,2008,2015,6.06E+13,6061020401
1012 Shady Oaks Dr.,Denton,5711,Audacity Brew House,TX,Brewery,-97.12027,33.199715,76205,2015,2015,4.81E+14,48121021202
1860 Schell Rd,New Ulm,,August Schell Brewing Co.,MN,Brewery,-94.4489735,44.2896306,56073,2005,2015,2.70E+14,27015960200
5221 Water St.,Augusta,52,Augusta Brewing Co. Beer Garden,MO,BrewPub,-90.88011656,38.57060479,63332,2005,2015,2.92E+14,29183312204
1305 West Oltorf,Austin,4306,Austin Beer Garden Brewing Co.,TX,BrewPub,-97.768932,30.245873,78704,2014,2015,4.85E+14,48453001307
3009 Industrial Terrace,Austin,2896,Austin Beerworks,TX,Brewery,-97.729539,30.379793,78758,2012,2015,4.85E+14,48453001849
1067 Blair St.,Silverton,3429,Avalanche Brewing Co. & Cafe,CO,BrewPub,-107.664584,37.809989,81433,2013,2015,8.11E+13,8111972600
14301 Arnold Dr.,Glen Ellen,5655,Aventine Glen Ellen,CA,BrewPub,-122.523933,38.35424,95442,2015,2015,6.10E+13,6097150500
376 E. 8th Ave.,Salt Lake City,4548,Avenues Proper Restaurant & Publik House,UT,BrewPub,-111.878227,40.778175,84103,2014,2015,4.90E+14,49035101000
5763 Arapahoe Ave. Unit E,Boulder,,Avery Brewing Co.,CO,Brewery,-105.2187145,40.0161556,80303,2005,2015,8.01E+13,8013012707
5633 Piper Dr.,Fuquay Varina,2467,Aviator Brewery Tap House,NC,Brewery,-78.702444,35.621345,27526,2010,2010,3.72E+14,37183053110
209 Technology Park Ln.,Fuquay Varina,2467,Aviator Brewing Co.,NC,Brewery,-78.808539,35.619701,27526,2011,2015,3.72E+14,37183053205
600 E. Broad St.,Fuquay Varina,2468,Aviator Tap House,NC,BrewHouse,-78.793669,35.592784,27526,2010,2015,3.72E+14,37183053106
201 41st St. South,Birmingham,2748,Avondale Brewing Co.,AL,Brewery,-86.774075,33.524559,35222,2012,2015,1.07E+13,1073002400
3406 Merchant Ct.,Wilmington,1488,Azalea Coast Brewing,NC,Brewery,-77.8754282,34.31389667,28405,2007,2011,3.71E+14,37129011603
2330 La Mirada Dr.,Vista,2874,Aztec Brewing Co.,CA,Brewery,-117.228152,33.15159,92081,2012,2015,6.07E+13,6073019905
6662 S. Staples St.,Corpus Christi,4471,B & J's Pizza Restaurant,TX,BrewPub,-97.3867493,27.6795578,78412,2014,2015,4.84E+14,48355005413
