address,city,id,name,state,type,lat,lon,zip,first_appearance,final_appearance,block_fips,tract_fips
4765 NE Fremont St.,Portland,12,Alameda Brewhouse,OR,BrewPub,-122.6137943,45.54847348,97213,2005,2015,4.11E+14,41051007500
202 Lamar St. East,San Antonio,4721,Alamo Beer Co.,TX,Brewery,-98.477199,29.430866,78202,2015,2015,4.80E+14,48029191900
5429 Shaune Dr.,Juneau,,Alaskan Brewing Co.,AK,Brewery,-134.4893459,58.3570171,99801,2005,2015,2.11E+13,2110000400
11 Benton Ave. East,Albia,4215,Albia Brewing Co.,IA,BrewPub,-92.808132,41.027138,52531,2014,2015,1.91E+14,19135070100
4362 Baldwin Rd.,Auburn Hills,1444,Alcatraz Brewing Co.,MI,BrewPub,-83.30620247,42.70373451,48236,2006,2006,2.61E+14,26125140500
49 W. Maryland St.,Indianapolis,,Alcatraz Brewing Company ,IN,BrewPub,-86.1593858,39.7662599,46204,2005,2011,1.81E+14,18097391000
20 City Blvd. W.,Orange  ,16,Alcatraz Brewing Company ,CA,BrewPub,-117.8928173,33.78074462,92868,2005,2013,6.06E+13,6059076102
35 Crossroad,Waterbury,16,Alchemist Brewery,VT,Brewery,-72.743326,44.350617,5753,2013,2013,5.00E+14,50023954300
23 S. Main St.,Waterbury,18,Alchemist Pub & Brewery,VT,BrewPub,-72.75635058,44.3375939,5676,2005,2011,5.00E+14,50023954300
555 Centennial Ave.,Hanover,5271,Aldus Brewing Co.,PA,Brewery,-76.9769821,39.7905235,17331,2015,2015,4.21E+14,42133021900
61517 River Rd.,Bend,3815,Ale Apothecary,OR,Brewery,-121.51234,44.034254,97701,2013,2015,4.10E+14,41017000500
3698 Kinsman Blvd.,Madison,1497,Ale Asylum,WI,Brewery,-89.3268,43.1257,53704,2007,2015,5.50E+14,55025002500
2002 Pankratz St.,Madison,2596,Ale Asylum,WI,BrewPub,-89.35292,43.120966,53704,2013,2015,5.50E+14,55025002500
2501 16th St.,Denver,3301,Ale House @ Amato's (Breckenridge Brewery),CO,BrewHouse,-105.00941,39.758441,80211,2012,2015,8.03E+13,8031001102
2531 N. 12th St. ,Grand Junction,19,Ale House Brewery & Pub,CO,BrewPub,-108.5526013,39.09090646,81501,2005,2015,8.08E+13,8077000500
9368 Cabot Dr. ,San Diego,,Alesmith Brewing Co.,CA,Brewery,-117.1447157,32.8924532,92126,2005,2015,6.07E+13,6073008350
132 E. Crawford,Findlay,3397,Alexandria's Brewery & Restaurant,OH,BrewPub,-83.649657,41.037768,45840,2013,2015,3.91E+14,39063000800
204 E. Enterprise St.,Incline Village,5275,Alibi Ale Works,NV,Brewery,-119.953499,39.247445,89451,2015,2015,3.20E+14,32031003306
235 N. Ashland Ave.,Chicago,5196,All Rise Brewing Co. @ Cobra Lounge,IL,BrewPub,-87.666634,41.886349,60607,2015,2015,1.70E+14,17031833000
1602 Route 119,Greensburg,3312,All Saints Brewing Co.,PA,Brewery,-79.522524,40.316027,15601,2012,2015,4.21E+14,42129803800
50 Industrial Way,Portland,19,Allagash Brewing Co.,ME,Brewery,-70.31822,43.702764,4103,2013,2015,2.30E+14,23005002102
100 Industrial Way,Portland,,Allagash Brewing Co.,ME,Brewery,-70.316915,43.703094,4103,2005,2012,2.30E+14,23005002102
812 W Hamilton St.,Allentown,1886,Allentown Brew Works,PA,BrewPub,-75.473955,40.601431,18101,2008,2015,4.21E+14,42077009700
10 SE 2nd Ave.,Gainesville,3646,Alligator Brewing @ Tall Paul's Brew House,FL,Brewery,-82.324809,29.650288,32601,2013,2015,1.20E+14,12001000500
208 East Superior St.,Alma,4670,Alma Brewing Co.,MI,Brewery,-84.6596146,43.3786469,48801,2015,2015,2.61E+14,26057000600
580 N. Nimitz Highway,Honolulu,3824,Aloha Beer Co.,HI,Brewery,-157.869317,21.314042,96817,2013,2015,1.50E+14,15003005700
692 Arrow Grand Circle,Covina,4274,Alosta Brewing Co.,CA,Brewery,-117.877589,34.103725,91722,2014,2015,6.04E+13,6037403801
1409 Washington Ave.,St. Louis,3694,Alpha Brewing Co.,MO,Brewery,-90.199749,38.632405,63101,2014,2015,2.95E+14,29510125500
2351 Alpine Blvd,Alpine,,Alpine Beer Co.,CA,Brewery,-116.7628953,32.8352225,91901,2005,2015,6.07E+13,6073021205
821 14th St.,Oroville,,Alpine Brewing Co.,WA,BrewPub,-119.43674,48.939025,98844,2005,2015,5.30E+14,53047970300
1505 Ogden St.,Denver,4871,Alpine Dog Brewing Co.,CO,Brewery,-104.9748681,39.7401298,80218,2015,2015,8.03E+13,8031002602
615 High St.,Portsmouth,1511,Alt Platz Brewing Co.,VA,BrewPub,-76.3041,36.8352,23704,2007,2008,5.17E+14,51740210900
2402 Research Dr.,Livermore,3590,Altamont Beer Works,CA,Brewery,-121.721036,37.675666,94550,2014,2015,6.00E+13,6001451501
1042 Haywood Rd.,Asheville,3885,Altamont Brewing Co.,NC,Brewery,-82.604174,35.581704,28806,2013,2015,3.70E+14,37021001200
320 S. 2nd St.,Laramie,24,Altitude Chophouse & Brewery,WY,BrewPub,-105.5948977,41.31085492,82010,2005,2015,5.60E+14,56001963400
426 Alvarado St.,Monterey,4941,Alvarado Street Brewery & Grill,CA,BrewPub,-121.8948822,36.5993118,93940,2015,2015,6.05E+13,6053012700
1821 Cherokee St.,St. Louis,2164,Amalgamated Brewing @ The Stable Brew House,MO,BrewPub,-90.217763,38.592473,63118,2009,2013,2.95E+14,29510124300
1055 NE 25th Ave.,Hillsboro,2420,Ambacht,OR,Brewery,-122.957027,45.529934,97124,2010,2015,4.11E+14,41067032606
205 N. Broadway,Aurora,,America's Brewpub,IL,BrewPub,-88.3088086,41.7606442,60505,2005,2015,1.71E+14,17089853300
"180 W. Dayton St., Warehouse 102",Edmonds,2781,American Brewing Co.,WA,BrewPub,-122.3738021,47.7999439,98020,2012,2015,5.31E+14,53061050500
115 St. Paul St.,Burlington,1618,American Flatbread Taproom-Burlington Hearth,VT,BrewPub,-73.2157445,44.47679603,5401,2006,2015,5.00E+14,50007001000
301 Canal St.,Somerville,6034,American Fresh Brewhouse (Somerville Brewing),MA,BrewHouse,-71.08034085,42.39378128,2145,2015,2015,2.50E+14,25017350103
"11151 Trade Center Dr., #104",Rancho Cordova,3601,American River Brewing Co.,CA,Brewery,-121.270554,38.602161,95670,2013,2015,6.07E+13,6067009010
3200 N. Ameristar Dr.,Kansas City,26,Amerisports Brew Pub,MO,BrewPub,-94.47711463,39.15137537,64161,2006,2015,2.90E+14,29047022200
33 N. Pleasant St.,Amherst,,Amherst Brewing,MA,BrewPub,-72.5198605,42.3762273,1002,2005,2011,2.50E+14,25015820500
10 University Dr.,Amherst,25,Amherst Brewing Co.,MA,BrewPub,-72.532737,42.372968,1002,2012,2015,2.50E+14,25015820500
136 E. 2nd St.,Salida,,Amicas Pizza Microbrews & More,CO,BrewPub,-105.9917333,38.5351268,81201,2005,2015,8.02E+13,8015000100
832 N. Beech St.,Portland,,Amnesia Brewing,OR,BrewPub,-122.6751185,45.5494592,97227,2005,2015,4.11E+14,41051003402
1834 Main St.,Washougal,3118,Amnesia Brewing,WA,BrewPub,-122.35239,45.578508,98671,2014,2015,5.30E+14,53011040509
2828 W. Highway 70 SW,Hickory,942,Amos Howard's Brew Pub,NC,BrewPub,-81.38737364,35.72122512,28602,2011,2015,3.70E+14,37035010700
4150 Mission Blvd. #208,San Diego,3469,Amplified Ale Works in California Kebab,CA,BrewPub,-117.253996,32.791656,92109,2013,2015,6.07E+13,6073007910
472 E. Main St.,Ventura,,Anacapa Brewing Co.,CA,BrewPub,-119.2935802,34.2805753,93001,2005,2015,6.11E+13,6111002400
320 Commercial Ave.,Anacortes,31,Anacortes Brewery & Rockfish Grill,WA,BrewPub,-122.6127043,48.5197104,98221,2005,2015,5.31E+14,53057940600
336 S. Anaheim Blvd.,Anaheim,3127,Anaheim Brewery,CA,Brewery,-117.912774,33.832956,92805,2012,2015,6.06E+13,6059087300
1705 Mariposa Street ,San Francisco,,Anchor Brewing Company ,CA,Brewery,-122.4007543,37.7634514,94107,2005,2015,6.08E+13,6075022704
21547 Road 11.2 NW,Quincy,2803,Ancient Lakes Brewing Co.,WA,Brewery,-119.9551015,47.2529548,98848,2012,2014,5.30E+14,53025010500
17700 Hwy 253,Boonville,,Anderson Valley Brewing Co.,CA,Brewery,-123.3514555,38.9999656,95415,2005,2015,6.05E+13,6045011200
5402 N. Clark St.,Chicago,2461,Andersonville Brewing / Mary's Rec Room,IL,BrewPub,-87.668439,41.980055,60640,2015,2015,1.70E+14,17031030900
RFD #1 Box 4975,Lincolnville,,Andrew's Brewing Co.,ME,Brewery,-89.0955238,42.2016161,4849,2005,2008,1.72E+14,17201980000
4975 High St.,Lincolnville,32,Andrew's Brewing Co.,ME,Brewery,-69.158749,44.28351,4849,2009,2014,2.30E+14,23013970300
2521 Atlantic Highway,Lincolnville,32,Andrew's Brewpub @ Lobster Pound,ME,BrewPub,-69.007956,44.283085,4849,2015,2015,2.30E+14,23027044000
565 Aquone Rd.,Andrews,4784,Andrews Brewing Co. @ Calaboose Cellars,NC,Brewery,-83.8128128,35.1992722,28901,2015,2015,3.70E+14,37039930100
216 S. Alameda St.,Los Angeles,33,Angel City Brewing,CA,Brewery,-118.237618,34.04624,90012,2012,2015,6.04E+13,6037206031
833 W. Torrance Blvd. ,Torrance,35,Angel City Brewing Co.,CA,Brewery,-118.288841,33.84215704,90502,2006,2010,6.04E+13,6037543502
730 Technology Pl. #C,Waverly,2778,Angry Cedar Brewing Co.,IA,Brewery,-92.479549,42.707811,50677,2013,2015,1.90E+14,19017004200
6401 N Florida Ave.,Tampa,5843,Angry Chair Brewing Co.,FL,Brewery,-82.459213,28.005142,33604,2015,2015,1.21E+14,12057001600
"10 Millpond Drive, Unit #8",Lafayette,4938,Angry Erik Brewing Co.,NJ,Brewery,-74.7169189,41.093647,7848,2015,2015,3.40E+14,34037372400
2405 1st Avenue North,Billings,1614,Angry Hanks Taproom,MT,BrewPub,-108.5009,45.7845,59101,2007,2015,3.01E+14,30111000402
20 N. 30th St.,Billings,2836,Angry Hanks Taproom,MT,Brewery,-108.507571,45.780274,59101,2013,2015,3.01E+14,30111000402
10440 Florida Ave.,Hayward,1610,Angry Minnow Restaurant & Brewery,WI,BrewPub,-91.4892,46.0105,54843,2006,2015,5.51E+14,55113100300
"1048 East 2100 South, Suite 110",Salt Lake City,4720,Annex by Epic Brewing,UT,BrewPub,-111.8307325,40.7466126,84106,2014,2015,4.90E+14,49035104100
1175 8th Ave.,Marion,5492,Another Road Brewing,IA,Brewery,-91.597153,42.034177,52302,2015,2015,1.91E+14,19113000300
6008 W. Broad St.,Richmond ,4949,Answer Brewpub,VA,BrewPub,-77.5079226,37.5934466,23230,2015,2015,5.11E+14,51087200302
1354 W. Sheridan Ave.,Oklahoma City,3594,Anthem Brewing (brewing @ OKCity Brewing Co.),OK,Brewery,-97.5367,35.466449,73106,2013,2015,4.01E+14,40109103500
908 SW 4th St.,Oklahoma City,3594,Anthem Brewing Co.,OK,Brewery,-97.5283433,35.4610755,73109,2015,2015,4.01E+14,40109103602
Peltason & Pereira,Irvine,,Anthill Pub & Grill,CA,BrewPub,-117.8412195,33.6425148,92602,2005,2006,6.06E+13,6059062614
49 Eastern Blvd N.,Hagerstown,3459,Antietam Brewery & Benny's Pub,MD,BrewPub,-77.699894,39.633603,21740,2015,2015,2.40E+14,24043000601
1098 Burnbridge Rd.,Forest,3071,Apocalypse Ale Works,VA,Brewery,-79.289419,37.36321,24551,2013,2015,5.10E+14,51019030103
1612 Mellwood Ave.,Louisville,3553,Apocalypse Brew Works,KY,Brewery,-85.72051,38.256877,40206,2013,2015,2.11E+14,21111008100
"545 Rossanley Dr., Suite C",Medford,3554,Apocalypse Brewing Co.,OR,Brewery,-122.895619,42.34063,97501,2013,2015,4.10E+14,41029000800
3721 Market St.,Camp Hill,35,Appalachian Brewing Co.,PA,BrewPub,-76.9457,40.2389,17011,2007,2015,4.20E+14,42041011304
50 3rd Ave.,Collegeville,3085,Appalachian Brewing Co.,PA,BrewPub,-75.4522572,40.1858966,19426,2012,2015,4.21E+14,42091206300
401 Buford Ave.,Gettysburg,,Appalachian Brewing Co.,PA,BrewPub,-77.245052,39.835312,17325,2005,2015,4.20E+14,42001031502
50 N. Cameron St.,Harrisburg,,Appalachian Brewing Co.,PA,BrewPub,-76.8755,40.2657809,17101,2005,2015,4.20E+14,42043020100
55 N. Water St.,Lititz,3510,Appalachian Brewing Co.,PA,BrewPub,-76.301339,40.157973,17543,2013,2015,4.21E+14,42071012001
6462 Carlisle Pike,Mechanicsburg,4541,Appalachian Brewing Co.,PA,BrewPub,-77.0169449,40.2472,17050,2015,2015,4.20E+14,42041011801
142 Redmond Gap,Rosman,,Appalachian Brewing Co.,NC,Brewery,-82.8212432,35.143721,28772,2005,2006,3.72E+14,37175960500
34 Redmond Dr.,Fletcher,2051,Appalachian Craft Brewery,NC,Brewery,-82.491212,35.441477,28732,2008,2011,3.71E+14,37089930600
163 Boone Creek Rd.,Boone,3393,Appalachian Mountain Brewery,NC,Brewery,-81.668843,36.203505,28607,2014,2015,3.72E+14,37189920601
332 E. Main St.,Ottumwa,2758,Appanoose Rapids Brewing Co.,IA,BrewPub,-92.409956,41.015898,52501,2013,2015,1.92E+14,19179960500
1550 Zion Rd.,Fayetteville,3895,Apple Blossom Brewing Co.,AR,Brewery,-94.137423,36.129254,72701,2014,2015,5.14E+13,5143010106
603 W. College Ave.,Appleton,2845,Appleton Beer Factory,WI,BrewPub,-88.4140056,44.2617997,54914,2014,2015,5.51E+14,55087010100
114 E. Washington St.,Ann Arbor,42,Arbor Brewing Co.,MI,BrewPub,-83.74833941,42.28041652,48104,2005,2015,2.62E+14,26161400100
720 Norris St.,Ypsilanti,1510,Arbor Brewing's Corner Brewery,MI,BrewPub,-83.6103,42.2501,49198,2007,2015,2.62E+14,26161411200
