zcta,HouseCount,HouseMedianIncome,House0to10K,House10to15K,House15to25K,JobCount
1001,7460,57694,5.4,4,12.4,944
1002,9976,52379,13.1,5.2,10,3384
1003,31,"2,500-",58.1,25.8,0,42
1005,1785,70325,1.8,2.6,7.4,190
1007,5558,86165,3.1,3.7,3.1,458
1008,548,62750,1.3,1.6,6.8,42
1009,157,59440,7,0,28.7,36
1010,1465,86523,1.2,7.8,8.3,150
1011,572,75263,4.7,4.9,4.9,22
1012,233,70114,6.4,3.4,8.2,20
1013,9273,39868,8.8,7.3,14.8,1332
1020,12491,58780,5.9,5.6,9.6,2212
1022,1223,43349,4.1,4,12.3,116
1026,459,51442,3.9,2.4,11.1,38
1027,7871,63699,2.4,6.1,7.5,832
1028,5978,85221,2.1,3.1,9.5,1032
1029,316,50750,5.1,7.3,13.6,28
1030,4290,71716,2,3.4,11.8,418
1031,531,41875,10.7,10.4,14.1,40
1032,251,78011,0,6.4,6,54
1033,2457,89965,2.6,3.1,7,244
1034,878,87045,1.3,3.1,5.6,62
1035,2316,58953,6.1,2.2,4.9,616
1036,1976,81304,1.8,2.5,6.3,232
1037,238,92750,0,0,2.9,36
1038,1337,67096,1.6,2.8,3.3,122
1039,526,80000,4.2,2.5,7.8,56
1040,15403,37954,12.5,10.9,13.2,3552
1050,925,68869,4.3,3.8,9.3,66
1053,562,62222,6.6,1.6,3.2,56
1054,818,87174,2.3,2.6,5.9,66
1056,8086,67715,3,3.2,7.6,808
1057,3495,78986,1.8,2.3,8.1,288
1060,6563,57485,7.6,8.9,8.5,3092
1062,4281,73438,7.7,5.4,5,392
1063,0,-,-,-,-,8
1066,9,-,0,0,0,18
1068,679,85938,0.3,1.5,6.5,58
1069,3630,59211,4.6,4.1,12.1,544
1070,272,57000,0,5.9,12.1,16
1071,499,67132,2.8,3.8,5,40
1072,636,72000,2.5,4.6,10.4,38
1073,2422,89423,1.9,2,10.7,258
1074,134,61603,0,0,0,20
1075,6745,66681,5.2,5,8.5,626
1077,3750,76737,5,3.1,5.4,438
1079,256,27105,0,19.1,18.4,28
1080,911,49844,10,2.6,16.8,76
1081,734,50465,1,6.4,18.4,28
1082,4455,51768,7.1,5.6,8,316
1083,1115,65547,6.8,4.1,15.7,64
1084,74,90625,0,4.1,8.1,10
1085,15542,62423,3.1,3.5,8.2,1730
1086,0,-,-,-,-,32
1088,211,51406,9,0,5.2,62
1089,11971,51735,7.2,5.6,10.9,3896
1092,445,75799,5.4,0,14.4,32
1093,141,103750,0,5.7,6.4,62
1094,190,21250,10.5,13.7,38.9,6
1095,5266,104128,3.3,3.2,4.2,580
1096,1034,77083,4.2,1.4,6.7,106
1097,17,-,0,0,58.8,4
1098,556,76563,3.1,4.7,6.5,38
1103,1418,16720,22.8,21.9,15,2688
1104,8989,30053,10.6,14,20,3186
1105,4831,17569,25,19.3,17.3,544
1106,5822,111231,3,2,4.5,1080
1107,3825,26772,16.2,14.9,16.3,302
1108,9899,38499,13.6,8.4,13.7,1072
1109,9591,35191,12.7,11,15.8,1776
1118,5701,61112,7.1,6.6,5.6,260
1119,4822,47439,7.7,9.8,7.6,294
1128,1097,65977,0.8,5.2,6.8,104
1129,2787,63895,7.2,4.3,8.6,316
1151,3243,40360,8.6,6.3,17.2,576
1199,0,-,-,-,-,10
1201,19953,47614,7.3,6.9,13.3,7722
1220,3768,49777,5.1,5.5,12.7,318
1222,348,74583,0,3.7,2.3,34
1223,1028,77857,1.5,2.6,8.3,84
1224,124,38446,9.7,0,29,6
1225,1404,61512,5,3.1,9.9,108
1226,2970,61063,6.4,3.7,7,488
1229,48,29000,10.4,33.3,0,6
1230,3398,65214,3.7,4.1,6.8,1668
1235,1196,63000,3.7,3.2,4.5,98
1236,427,57014,1.9,2.6,3.5,86
1237,970,84615,4.7,0.3,6.4,246
1238,2351,67708,4.8,2.7,9.8,564
1240,2201,68948,3.9,6.7,6,496
1242,173,81172,0,0,0,34
1243,164,71979,4.9,0,9.1,12
1244,62,55556,16.1,0,16.1,6
1245,405,69821,2.5,1.5,6.9,48
1247,6848,40928,9.7,8.1,13.2,660
1253,365,74554,0.8,5.8,4.4,66
1254,471,92083,5.3,0.8,5.7,60
1255,326,68636,3.7,1.8,6.1,40
1256,321,55375,2.5,3.1,15.3,10
1257,1014,59500,6.1,2.6,9,220
1258,195,57917,1,5.6,6.7,66
1259,262,62727,0,6.5,1.1,50
1260,131,112756,10.7,0,0,24
1262,557,36042,4.5,6.8,15.4,312
1264,76,80000,3.9,5.3,13.2,2
1266,583,74107,0.9,6.5,7,88
1267,2405,78068,3.1,4.9,6.9,426
1270,342,80000,3.5,2.6,5,16
1301,7995,48477,4.5,7.8,14.1,2224
1330,632,74167,2.5,1.7,3,72
1331,5403,53733,5.2,5.9,10.5,422
1337,1101,66085,3.5,4.3,9.4,94
1338,73,57750,8.2,0,0,26
1339,601,55313,5.8,3.5,10.3,62
1340,722,53125,8.3,5.4,6.4,36
1341,692,101023,0,2.3,2.6,52
1342,563,106146,0,5.7,8.7,54
1343,25,85781,0,0,24,2
1344,602,70109,3,3.7,7.6,42
1346,189,60208,5.8,2.6,6.3,10
1347,78,52647,9,0,19.2,2
1349,462,61630,5,3.5,9.5,14
1350,47,31458,6.4,6.4,19.1,6
1351,999,82548,5.2,2.9,7.5,60
1354,583,69226,2.1,2.4,5,44
1355,392,70313,2.3,4.6,7.4,40
1360,1214,69028,6.2,4.3,5.9,94
1364,3185,43413,3.4,12.4,13,268
1366,493,65529,2.6,2.8,8.1,60
1367,231,55469,5.6,2.2,16.5,12
1368,528,72813,1.9,3.2,9.3,18
1370,1853,54036,6.5,4.5,12.7,228
1373,1850,74022,3.7,3,7.3,286
1375,1597,54886,3.8,2.5,15.5,108
1376,2375,43750,9.4,7.2,20.3,194
1378,338,57885,5.3,6.8,4.7,10
1379,384,43500,6.5,9.4,14.8,40
1420,14828,51412,6.8,7.1,11.7,1530
1430,2024,85064,5,0,4,182
1431,1106,95833,1.2,2.9,4,120
1432,3387,79750,3,7.3,3.7,466
1434,191,50547,5.8,0,0,154
1436,1229,60156,0.7,1.8,16.7,68
1438,229,74142,3.5,0,0,38
1440,8254,48915,7.5,8.2,11.3,806
1450,4101,123918,3.8,1.5,5.2,1688
1451,1645,143625,1.1,0.5,5.6,264
1452,1682,93387,0,5.4,5.1,98
1453,16563,57610,5.5,6.2,11.1,2254
1460,3440,119177,1.6,3.1,7.6,636
1462,4171,97775,5.3,4.8,4.5,424
1463,4346,90029,2.2,4.9,5.8,416
1464,2426,67541,3.5,2.6,10.1,242
1467,163,98036,0,28.8,0,18
1468,1891,64872,1,4.7,4.5,122
1469,2683,84489,1.3,3.3,3.3,258
1473,2832,100071,0,2.6,4.9,668
1474,715,84851,1.8,1.4,4.8,54
1475,3889,64539,1.4,9.4,7.6,286
1501,6642,74576,4.3,3.3,5.8,1194
1503,1151,97417,1,2.4,7.6,162
1504,3438,80260,1.6,3,7.4,264
1505,1713,97074,2.3,1.2,4.7,246
1506,1421,64219,3.4,0.5,8.5,84
1507,4889,93921,3.4,1.9,4.8,1410
1510,5586,68362,3.8,3.5,6,488
1515,828,80234,0.6,2.5,8.7,86
1516,3151,94531,2.5,5.1,2.7,254
1518,1397,58438,4.3,5.2,8.3,126
1519,2468,106250,4.2,2.4,3.5,202
1520,5420,99674,2.9,1.9,4.9,560
1521,951,78348,2.2,0,6,38
1522,1239,104508,1.3,0,5.7,66
1523,2245,104630,0.5,3.8,3.7,248
1524,2597,64135,6.3,6.4,6.9,216
1525,94,-,0,35.1,0,44
1527,5330,74713,4.3,3.4,7.2,1204
1529,1158,90500,1.5,3.9,5.1,60
1531,425,84432,1.6,1.6,5.2,36
1532,5278,111875,1.5,1.7,3.7,1006
1534,2236,89348,4.2,2.9,4.4,142
1535,1818,73133,3.4,1.8,7.2,152
1536,2759,105283,3.5,2.7,7.9,288
1537,880,74883,0,4.3,16.8,132
1540,4323,68865,5.6,5.2,7.6,472
1541,1279,128006,2.6,2,1.7,140
1542,828,100000,0,1.2,3.1,68
1543,2904,100962,2,1.9,1.2,234
1545,12853,101229,2.7,1.7,5.4,3204
1550,6926,50202,6.9,7.1,11.9,634
1560,1712,85390,4.8,1.3,3.8,120
1561,85,-,0,0,0,54
1562,4969,65386,6.3,5.3,12.2,440
1564,2692,102500,2.2,0.6,6.7,390
1566,2220,95800,2.5,2.1,4.5,474
1568,2725,119115,2.8,2,4.2,318
1569,4817,94809,1.9,2.6,6.4,1072
1570,6734,52107,3.8,5.5,11.2,750
1571,3873,64281,4.2,4.1,8.8,322
1581,6682,107604,2.8,1.4,5.3,1866
1583,2055,73463,3.9,2.6,6.4,480
1585,1887,66317,4,2.1,6.9,164
1588,3739,66607,3.2,4.7,8.1,426
1590,3341,101315,0.9,2.8,2.8,608
1602,9666,64808,6,5.3,7.9,612
1603,7203,42259,12.2,7.1,10.8,820
1604,14447,50487,10.2,6,12.3,1430
1605,10657,37703,12.2,10.3,14.7,5910
1606,8129,65135,5.4,3.7,8,908
1607,3694,43500,7,8.4,12.9,284
1608,1639,20578,26.8,13.6,17.7,3150
1609,7401,42903,13.4,10.8,10.8,1052
1610,8114,31003,16.2,11.5,14.1,730
1611,877,81830,0,3.9,3.6,64
1612,1558,95595,0.6,1.7,6.7,146
1701,12587,105940,3.7,2.6,3.8,7260
1702,15244,52746,9.3,7,9.2,3616
1718,240,160750,0,0,0,6
1719,2288,101077,2.2,2,5.1,256
1720,8476,133075,3.5,2.7,3.5,1424
1721,6689,120309,2.2,2,6.1,822
1730,5240,125208,2.4,2,1.6,1086
1731,540,93276,1.1,0,0,70
1740,1686,151618,0.4,2,3.8,250
1741,1773,170703,1.9,0.5,2.6,214
1742,6741,137547,4.1,2.1,4.5,1542
1745,157,123992,0,0,5.1,34
1746,5171,118933,0.7,1.6,6.2,792
1747,2232,101761,5,2.9,6.3,300
1748,5614,151357,1.3,0.2,1.7,1836
1749,7708,83765,2,2.6,8,1086
1752,15529,75418,2.8,2.2,8.1,2916
1754,4274,95833,4.4,2.2,7.6,544
1756,2064,125816,0.7,0.7,3.6,278
1757,11086,75976,3.8,3.7,5.7,1644
1760,14157,106332,2.6,1.8,6.3,2658
1770,1480,170872,2.5,0,5.2,204
1772,3246,143375,2.5,2,3.1,688
1773,2008,153500,1.6,2.3,4.7,296
1775,2627,144766,3.5,1.5,1.1,308
1776,6226,170945,2,1,3.6,1084
1778,5044,166548,2.3,1.6,4.7,696
1801,15650,84857,2.5,2.3,7.4,16952
1803,9572,99254,2.8,0.9,5.7,5896
1810,12369,143292,3.2,1.6,3.5,10280
1821,11211,99881,2.2,1.7,4.1,5824
1824,9805,115533,2.3,1.6,3.8,1664
1826,11185,86644,2.6,4.3,5.7,1092
1827,1138,138700,1,0,4,92
1830,10148,61375,5.2,5.2,10.4,1992
1832,8825,64238,4.9,6.3,9.1,630
1833,3265,113417,2.9,3.2,2.3,414
1834,2339,95031,4,2.6,7.1,246
1835,5182,77697,3.4,3,7.3,608
1840,2215,20596,21.4,18.4,15.2,1340
1841,14854,38199,11.8,8.6,13,802
1843,8732,46629,9.9,5.4,9.4,950
1844,17671,73525,4.6,3.7,7.3,1828
1845,11136,105661,3.5,2.7,5.7,1778
1850,5421,46102,11.3,5.4,15.4,220
1851,10203,52008,7.9,6.3,11.6,914
1852,13830,50911,8.9,10.2,10.3,3000
1854,9542,40982,14.9,11.6,11.3,604
1860,2683,84417,1,3.8,8.7,180
1862,3417,93494,2.3,1.1,7.1,750
1863,3888,77055,3.1,4.6,9.4,440
1864,5422,124750,1.1,1.6,4.5,2084
1867,9063,113553,2.2,1.5,6.2,1080
1876,11413,94817,3.4,3.1,6.6,1470
1879,4378,101620,2.2,1,7.8,634
1880,10335,93337,3.5,2.2,5.9,1794
1886,8244,138006,1.6,1,3.2,1240
1887,7947,118549,2.6,1.1,6.5,1652
1890,7928,152196,1.7,1.7,3.4,1124
1901,916,22057,18.7,16.9,20.4,570
1902,17154,42851,12.4,9.2,10.2,1712
1904,6345,88395,2.5,1.3,5.4,566
1905,8539,57638,9.2,6.4,8.4,1328
1906,10210,82188,4,3.7,5.8,1544
1907,5494,105029,4.1,2.9,5.6,650
1908,1597,81384,1.8,5.2,6.6,92
1913,7025,78638,3.9,1.9,5.5,846
1915,16408,77893,4.2,5.5,7.9,5140
1921,2707,155034,0.6,0.6,3,588
1922,1050,87986,7.3,5.9,4.6,124
1923,10624,79795,4,4.3,5.8,2200
1929,1439,109327,4.6,3.9,2.1,306
1930,12906,65348,4.3,5.5,10.3,3596
1937,0,-,-,-,-,8
1938,5677,80829,3.6,4.9,8.3,768
1940,4949,113509,2,0.5,5.9,792
1944,2106,105500,2.5,2.2,9,350
1945,8250,110025,4,2.2,4.3,1112
1949,2998,107727,4.2,2.6,4.1,648
1950,7881,89887,3.3,4.9,6,1526
1951,1765,90662,1,0.9,5.6,158
1952,3597,72900,6.7,3.1,7.7,552
