STATEFP,COUNTYFP,GEOID,NAME,NAMELSAD,longitude,latitude,state,ABBR,sq_miles,totalpop18
28,061,28061,Jasper,Jasper County,-89.1194302,32.0169894,Mississippi,MS,677.467623291287,16529
28,017,28017,Chickasaw,Chickasaw County,-88.9475579,33.9332767,Mississippi,MS,504.245267877334,17279
28,145,28145,Union,Union County,-89.0023393,34.4895325,Mississippi,MS,416.908056607339,28356
28,069,28069,Kemper,Kemper County,-88.6256306,32.7501361,Mississippi,MS,767.024991128909,10107
28,151,28151,Washington,Washington County,-90.9444459,33.273174,Mississippi,MS,761.225725399966,47086
28,055,28055,Issaquena,Issaquena County,-91.0035351,32.7555393,Mississippi,MS,441.42691902671,1328
28,009,28009,Benton,Benton County,-89.2002848,34.8105184,Mississippi,MS,408.654640350411,8253
28,087,28087,Lowndes,Lowndes County,-88.4397227,33.4714237,Mississippi,MS,516.464813631897,59437
28,073,28073,Lamar,Lamar County,-89.5063691,31.1975865,Mississippi,MS,499.99506921962,61223
28,003,28003,Alcorn,Alcorn County,-88.5811091,34.8865689,Mississippi,MS,401.360326774575,37180
28,071,28071,Lafayette,Lafayette County,-89.4853847,34.353077999999996,Mississippi,MS,679.228631313164,53459
28,015,28015,Carroll,Carroll County,-89.918887,33.4407948,Mississippi,MS,634.585082600575,10129
28,085,28085,Lincoln,Lincoln County,-90.4535663,31.5352155,Mississippi,MS,588.250159332394,34432
28,143,28143,Tunica,Tunica County,-90.3717697,34.6522011,Mississippi,MS,480.751763258374,10170
28,097,28097,Montgomery,Montgomery County,-89.6396251,33.5007144,Mississippi,MS,407.888757022864,10198
28,019,28019,Choctaw,Choctaw County,-89.2513319,33.3459638,Mississippi,MS,419.855388700524,8321
28,139,28139,Tippah,Tippah County,-88.9188185,34.7636183,Mississippi,MS,459.954584318772,21990
28,109,28109,Pearl River,Pearl River County,-89.5869043,30.7747929,Mississippi,MS,819.343645270043,55149
28,111,28111,Perry,Perry County,-88.9887554,31.1693073,Mississippi,MS,650.20147070663,12028
28,011,28011,Bolivar,Bolivar County,-90.8841199,33.7991391,Mississippi,MS,905.817694851138,32592
28,149,28149,Warren,Warren County,-90.8523838,32.3560946,Mississippi,MS,618.553659053368,47075
28,101,28101,Newton,Newton County,-89.1184115,32.4019702,Mississippi,MS,579.601936139416,21524
28,135,28135,Tallahatchie,Tallahatchie County,-90.1722434,33.9545292,Mississippi,MS,652.141667604344,14361
28,125,28125,Sharkey,Sharkey County,-90.8276129,32.8923946,Mississippi,MS,435.120216006958,4511
28,035,28035,Forrest,Forrest County,-89.2594467,31.1885802,Mississippi,MS,470.23992484143,75517
28,161,28161,Yalobusha,Yalobusha County,-89.7038072,34.0306661,Mississippi,MS,495.004316338126,12421
28,023,28023,Clarke,Clarke County,-88.6879756,32.0453738,Mississippi,MS,693.534879974183,15928
28,127,28127,Simpson,Simpson County,-89.9177086,31.9025047,Mississippi,MS,590.469663553398,27073
28,131,28131,Stone,Stone County,-89.112297,30.790184,Mississippi,MS,448.076389640769,18375
28,121,28121,Rankin,Rankin County,-89.946063,32.2671233,Mississippi,MS,806.08566385081,151240
28,091,28091,Marion,Marion County,-89.821712,31.2301672,Mississippi,MS,548.620128257335,25202
28,039,28039,George,George County,-88.6422679,30.8554305,Mississippi,MS,483.652826016658,23710
28,095,28095,Monroe,Monroe County,-88.4850379,33.8900295,Mississippi,MS,772.095788244041,35840
