	id	state	COUNTY	GEO_TTL	relevant_naics	NAICS2012_TTL	NAICS_Sector	estab	emp	payann
4	24001	24	1	Allegany County, Maryland	212111	Bituminous coal and lignite surface mining	21	2.4	7.6	250.4
12	24001	24	1	Allegany County, Maryland	236115	New single-family housing construction (except for-sale builders)	23	5.0	6.2	400.2
14	24001	24	1	Allegany County, Maryland	236117	New housing for-sale builders	23	2.2	1.6	22.0
15	24001	24	1	Allegany County, Maryland	236118	Residential remodelers	23	25.8	86.6	2215.2
16	24001	24	1	Allegany County, Maryland	236220	Commercial and institutional building construction	23	7.8	81.0	4955.0
19	24001	24	1	Allegany County, Maryland	237310	Highway, street, and bridge construction	23	2.8	6.8	489.2
23	24001	24	1	Allegany County, Maryland	238140	Masonry contractors	23	2.6	3.0	58.2
25	24001	24	1	Allegany County, Maryland	238160	Roofing contractors	23	5.0	55.4	2390.8
27	24001	24	1	Allegany County, Maryland	238210	Electrical contractors and other wiring installation contractors	23	13.6	89.0	4283.8
28	24001	24	1	Allegany County, Maryland	238220	Plumbing, heating, and air-conditioning contractors	23	17.0	311.2	12579.4
30	24001	24	1	Allegany County, Maryland	238320	Painting and wall covering contractors	23	3.6	5.4	181.0
33	24001	24	1	Allegany County, Maryland	238910	Site preparation contractors	23	8.6	13.4	957.6
34	24001	24	1	Allegany County, Maryland	238990	All other specialty trade contractors	23	4.6	7.6	480.6
41	24001	24	1	Allegany County, Maryland	311812	Commercial bakeries	31	3.0	9.2	307.8
47	24001	24	1	Allegany County, Maryland	323111	Commercial printing (except screen and books)	32	4.6	4.8	228.8
60	24001	24	1	Allegany County, Maryland	332710	Machine shops	33	3.0	36.0	1635.2
68	24001	24	1	Allegany County, Maryland	339116	Dental laboratories	33	2.2	2.4	76.0
71	24001	24	1	Allegany County, Maryland	423120	Motor vehicle supplies and new parts merchant wholesalers	42	2.8	5.0	419.6
76	24001	24	1	Allegany County, Maryland	423450	Medical, dental, and hospital equipment and supplies merchant wholesalers	42	2.6	2.6	186.0
80	24001	24	1	Allegany County, Maryland	423610	Electrical apparatus and equipment, wiring supplies, and related equipment merchant wholesalers	42	3.0	8.2	613.0
99	24001	24	1	Allegany County, Maryland	424490	Other grocery and related products merchant wholesalers	42	5.2	104.2	3598.6
100	24001	24	1	Allegany County, Maryland	424690	Other chemical and allied products merchant wholesalers	42	3.0	40.2	2572.0
109	24001	24	1	Allegany County, Maryland	441110	New car dealers	44	6.4	135.2	8536.6
110	24001	24	1	Allegany County, Maryland	441120	Used car dealers	44	6.0	48.2	2587.4
112	24001	24	1	Allegany County, Maryland	441310	Automotive parts and accessories stores	44	12.2	128.0	2350.0
113	24001	24	1	Allegany County, Maryland	441320	Tire dealers	44	7.6	56.0	1753.0
114	24001	24	1	Allegany County, Maryland	442110	Furniture stores	44	9.4	52.6	1566.2
115	24001	24	1	Allegany County, Maryland	442210	Floor covering stores	44	3.2	9.4	468.4
119	24001	24	1	Allegany County, Maryland	443142	Electronics stores	44	9.4	50.4	1041.6
122	24001	24	1	Allegany County, Maryland	444130	Hardware stores	44	6.2	36.8	1026.4
123	24001	24	1	Allegany County, Maryland	444190	Other building material dealers	44	4.8	48.4	1782.4
126	24001	24	1	Allegany County, Maryland	445110	Supermarkets and other grocery (except convenience) stores	44	12.4	227.6	4097.8
127	24001	24	1	Allegany County, Maryland	445120	Convenience stores	44	6.4	38.0	652.0
128	24001	24	1	Allegany County, Maryland	445210	Meat markets	44	2.2	1.6	30.2
133	24001	24	1	Allegany County, Maryland	445310	Beer, wine, and liquor stores	44	10.2	58.0	944.8
134	24001	24	1	Allegany County, Maryland	446110	Pharmacies and drug stores	44	17.0	238.6	8432.8
136	24001	24	1	Allegany County, Maryland	446130	Optical goods stores	44	3.6	22.4	548.4
137	24001	24	1	Allegany County, Maryland	446191	Food (health) supplement stores	44	2.6	5.4	158.6
138	24001	24	1	Allegany County, Maryland	446199	All other health and personal care stores	44	6.0	8.6	325.2
139	24001	24	1	Allegany County, Maryland	447110	Gasoline stations with convenience stores	44	23.8	282.8	5223.8
140	24001	24	1	Allegany County, Maryland	447190	Other gasoline stations	44	4.4	18.2	377.8
141	24001	24	1	Allegany County, Maryland	448120	Women's clothing stores	44	6.0	22.4	375.2
143	24001	24	1	Allegany County, Maryland	448140	Family clothing stores	44	3.0	41.2	366.8
144	24001	24	1	Allegany County, Maryland	448150	Clothing accessories stores	44	2.2	2.0	19.0
145	24001	24	1	Allegany County, Maryland	448190	Other clothing stores	44	3.4	2.6	83.2
146	24001	24	1	Allegany County, Maryland	448210	Shoe stores	44	5.8	45.0	704.2
147	24001	24	1	Allegany County, Maryland	448310	Jewelry stores	44	6.6	31.6	722.6
148	24001	24	1	Allegany County, Maryland	451110	Sporting goods stores	45	7.8	50.4	1030.4
149	24001	24	1	Allegany County, Maryland	451120	Hobby, toy, and game stores	45	3.6	7.2	161.2
153	24001	24	1	Allegany County, Maryland	452111	Department stores (except discount department stores)	45	3.0	94.2	1218.8
156	24001	24	1	Allegany County, Maryland	452990	All other general merchandise stores	45	15.4	162.4	2680.2
