FMID,Name,Website ,Address,City,State,ZIP,EBT/Snaps,Fresh Produce,Type,Day of Week ,Month ,Time of Day ,Tags,Comments,Lat,Long
,14 TH ST GROCERY AND HALAL MEAT,https://m.facebook.com/pages/category/Grocery-Store/14th-Street-Grocery-and-Halal-Meat-178919075528881/,398 14th St NW,Atlanta,GA,30318,,,Specialty Health Store,,,,Groc/Butcher ,,33.78592,-84.40019
,Bennett's Market and Del,http://www.bennettsmarket.com/,568 Boulevard SE,Atlanta,GA,30312,,,Specialty Health Store,,,,Veggies and Delli ,,33.7390067,-84.3681144
,Candler Park Market,http://www.candlerparkmarket.com/,1642 McLendon Ave NE,Atlanta,GA,30307,,,Specialty Health Store,,,,,,33.76511,-84.33349
,Discount Meat World,https://m.facebook.com/pages/Discount-Meat-World/817695238338657,2595 Donald Lee Hollowell Pkwy NW,Atlanta,GA,30318,,,Specialty Health Store,,,,Butcher and discount meats ,,33.77579,-84.47169
,Fruit Veggies & Herbs,https://m.facebook.com/pages/Fruit-Veggies-Herbs/119362294781325,2085 Campbellton Rd SW,Atlanta,GA,30311,,,Specialty Health Store,,,,no meat and dairy but veggies ,,33.70727,-84.45663
,Almadina Halal Meat Market ,https://www.almadina1.com,,,,,,,,,,,,,,
,Halal N Halal Meat Market,,759 Dill Ave SW,Atlanta,GA,30310,,,Specialty Health Store,,,,Butcher,,33.7183336,-84.4129954
,Intown Market LLC,http://www.intownmarket.com/,349 Decatur St SE,Atlanta,GA,30312,,,Specialty Health Store,,,,CS/ Specialty ,,33.74955,-84.37822
,Little's Food Store,http://www.littlesfoodstore.com/,198 Carroll St SE,Atlanta,GA,30312,,,Specialty Health Store,,,,CS/ Specialty ,,33.74923,-84.36784
,Lucy's Market,https://www.lucysmarket.com/,56 E Andrews Dr NW,Atlanta,GA,30305,,,Specialty Health Store,,,,"locally sourced produce, prepared foods & baked goods",,33.84298,-84.38104
,Savi Provisions,https://www.saviprovisions.com/mobile/,988 Peachtree St NE,Atlanta,GA,30309,,,Specialty Health Store,,,,CS-Specialty,,33.781043,-84.384366
,Sean's Harvest Market,http://www.seansharvestmarket.com/,"500 Amsterdam Ave NE, Atlanta, GA ",Atlanta,GA,30306,,,Specialty Health Store,,,,Foodie sandwich but can also buy Produce Milk etc ,,33.788265,-84.3689133
,Sevananda Natural Foods Market,http://www.seansharvestmarket.com/,467 Moreland Ave NE,Atlanta,GA,30307,,,Specialty Health Store,,,,Co-op Organic,,33.767246,-84.34864
,The Mercantile,http://www.themercantileatl.com/,1660 DeKalb Ave NE #150,Atlanta,GA,30307,,,Specialty Health Store,,,,"local dairy, produce, baked goods & prepared/deli foods.",,33.76249,-84.33332
,The Spotted Trotter- Kirkwood ,http://thespottedtrotter.com/,1610 Hosea L Williams Dr NE,Atlanta,GA,30317,,,Specialty Health Store,,,,"butcher, in house specialty, classes",,33.75369,-84.33504
,Alon's Bakery & Market - Morningside,https://alons.com,1394 North Highland Avenue Northeast,Atlanta,GA,30306,,,Specialty Health Store,,,,"bakery, sandwich, prepared foods gourmet ",,33.79258,-84.35284
,Discount Meat Market,https://m.facebook.com/pages/category/Specialty-Grocery-Store/Discount-Meat-Market-220362348401603/,,,,,,,,,,,,,,
,B & K Grocery Store,http://www.carvermarket.com,1265 Lee St SW # C,Atlanta,GA,30310,Yes,Yes,Small Grocery,,,,,,33.72044,-84.42459
,Big Bear Foods,https://m.facebook.com/pages/El-Progreso-Taqueria/471315789552101,683 Joseph E Lowery Blvd SW,Atlanta,GA,30310,Yes,Yes,Small Grocery,,,,,,33.73658,-84.41819
,Carver Neighborhood Market,http://www.fiestafoodssupermarkets.com,1297 McDonough Blvd SE,Atlanta,GA,30315,Yes,Yes,Small Grocery,,,,,,33.713932,-84.3734763
,Fieste Food,https://m.facebook.com/pages/Mercado-Acapulco/140941079288772,2455 Piedmont Rd NE,Atlanta,GA,30324,Yes,Yes,Supercenters,,,,"Independent grocer offering a deli, bakery, produce & butcher",,33.8223,-84.36686
,Mercado Acapulco Y Taqueria,https://www.target.com/sl/atlanta-midtown/2137,2179 Cheshire Bridge Rd NE,Atlanta,GA,30324,Yes,Yes,Supercenters,,,,Mexican Market,,33.81439,-84.35298
,El Progreso #1,https://www.target.com/sl/atlanta-edgewood/1964,199 Cleveland Ave SW ,Atlanta,GA,30315,Yes,Only Fruit,Supercenters,,,,Mexican Market,,33.68147,-84.39556
,Target Atlantic Station 18th,https://www.target.com/sl/buckhead/1197,375 18th St NW,Atlanta,GA,30363,Yes,Yes,Supercenters,,,,,,33.7917368,-84.4010316
,Target_Caroline,https://www.target.com/sl/buckhead-south/2171,1275 Caroline St NE,Atlanta,GA,30307,Yes,Yes,Supercenters,,,,,,33.756624,-84.346491
,Target_PeachtreeLenox,https://www.walmart.com/store/3775/atlanta-ga/details,3535 Peachtree Rd,Atlanta,GA,30326,None,Yes,Supercenters,,,,,,33.85101,-84.35977
,Target_PiedmontLinPlaza,https://www.walmart.com/store/3008/atlanta-ga/details,2539 Piedmont Rd NE,Atlanta,GA,30324,Yes,Yes,Supercenters,,,,,,33.824483,-84.36347
,Walmart_MLK ,https://www.walmart.com/store/5010/details,835 M.L.K. Jr Dr NW,Atlanta,GA,30314,,Yes,Supercenters,,,,,,33.75542,-84.41406
,WalmartCampus5thSt,https://www.aldi.us/,86 5th St NW,Atlanta,GA,30308,,Yes,Supercenters,,,,,,33.776806,-84.3897791
,WalmartExp_DeltaBlvd,https://m.facebook.com/pages/Buy-Low-Super-Market/141949782511630,1030 Delta Blvd,Atlanta,GA,30354,,Yes,Supercenters,,,,,,33.6564006,-84.4231482
,Buy Low Super Market,https://www.thefreshmarket.com/my-market/store/2099peachtree-atlanta,820 James Jackson Pkwy NW,Atlanta,GA,30318,Yes,,Traditional Grocery Stores,,,,,,33.77759,-84.47479
,Fresh Market Roswell Rd,https://www.thefreshmarket.com/my-market/store/4405roswell-atlanta,4405 Roswell Rd,Atlanta ,,,,,,,,,,,,
,Fresh Market_Peachtree,https://www.thefreshmarket.com/my-market/store/2099peachtree-atlanta,2099 Peachtree Rd NW,Atlanta,GA,30309,,,Traditional Grocery Stores,MON-SUN,,8AM-9PM,,,33.81201,-84.39146
,Kroger_Caroline,https://www.kroger.com/stores/details/011/00461,1225 Caroline St NE,Atlanta,GA,30307,,,Traditional Grocery Stores,DAILY,,9AM-9PM,,,33.7571,-84.34783
,Kroger_Cascade,https://www.kroger.com/stores/details/011/00465,590 Cascade Ave SW,Atlanta,GA,30310,,,Traditional Grocery Stores,DAILY,,6AM-1AM,,,33.73821,-84.43458
