STATEFP,COUNTYFP,GEOID,NAME,NAMELSAD,longitude,latitude,state,ABBR,sq_miles,totalpop18
29,083,29083,Henry,Henry County,-93.7926278,38.3864909,Missouri,MO,732.324721578655,21765
29,011,29011,Barton,Barton County,-94.3440893,37.5007989,Missouri,MO,596.722152193548,11850
29,103,29103,Knox,Knox County,-92.1468345,40.1368559,Missouri,MO,506.830027767696,3951
29,117,29117,Livingston,Livingston County,-93.5482013,39.778587,Missouri,MO,538.552840829123,15076
29,101,29101,Johnson,Johnson County,-93.8118634,38.741528,Missouri,MO,833.19167913934,53689
29,123,29123,Madison,Madison County,-90.3434128,37.4744807,Missouri,MO,497.599388084408,12205
29,125,29125,Maries,Maries County,-91.923601,38.1626154,Missouri,MO,529.92754717294,8884
29,109,29109,Lawrence,Lawrence County,-93.8305507,37.1065898,Missouri,MO,613.377592592117,38133
29,179,29179,Reynolds,Reynolds County,-90.9722821,37.3664637,Missouri,MO,814.413096944396,6315
29,145,29145,Newton,Newton County,-94.335034,36.9083713,Missouri,MO,626.574900448705,58202
29,043,29043,Christian,Christian County,-93.1876139,36.9697388,Missouri,MO,563.807982293794,84275
29,119,29119,McDonald,McDonald County,-94.3439556,36.630218,Missouri,MO,539.681038367731,22827
29,005,29005,Atchison,Atchison County,-95.4375546,40.431846,Missouri,MO,550.126790115484,5270
29,019,29019,Boone,Boone County,-92.3102022,38.9898614,Missouri,MO,691.046651217121,176515
29,081,29081,Harrison,Harrison County,-93.9925818,40.34562,Missouri,MO,726.405103853756,8554
29,037,29037,Cass,Cass County,-94.3545467,38.6464737,Missouri,MO,702.391861329336,102678
29,067,29067,Douglas,Douglas County,-92.5158918,36.9465168,Missouri,MO,814.596156685647,13374
29,225,29225,Webster,Webster County,-92.8760795,37.2808043,Missouri,MO,593.763666739388,38082
29,093,29093,Iron,Iron County,-90.9846823,37.594363800000004,Missouri,MO,552.064457737928,10221
29,079,29079,Grundy,Grundy County,-93.5650538,40.1125409,Missouri,MO,438.040375746418,10039
29,163,29163,Pike,Pike County,-91.1716071,39.3399592,Missouri,MO,684.715639704156,18489
29,201,29201,Scott,Scott County,-89.5680975,37.0477927,Missouri,MO,425.857323263369,38729
29,209,29209,Stone,Stone County,-93.4737009,36.751004,Missouri,MO,510.617093034654,31527
29,089,29089,Howard,Howard County,-92.6959255,39.143365,Missouri,MO,471.463800587959,10113
29,221,29221,Washington,Washington County,-90.8970179,37.9426107,Missouri,MO,762.488172218637,24931
29,131,29131,Miller,Miller County,-92.4298762,38.2166802,Missouri,MO,599.992098863289,25049
29,165,29165,Platte,Platte County,-94.7614717,39.3786957,Missouri,MO,426.34658023302,98824
29,021,29021,Buchanan,Buchanan County,-94.8081728,39.6603695,Missouri,MO,415.17726670384,89076
29,051,29051,Cole,Cole County,-92.2800271,38.5032331,Missouri,MO,398.924986564609,76740
29,173,29173,Ralls,Ralls County,-91.5247867,39.5534554,Missouri,MO,483.833930575417,10217
29,003,29003,Andrew,Andrew County,-94.8035511,39.9888628,Missouri,MO,436.367958893651,17403
29,139,29139,Montgomery,Montgomery County,-91.465427,38.9351835,Missouri,MO,540.491279052253,11545
29,153,29153,Ozark,Ozark County,-92.4585492,36.6495904,Missouri,MO,755.232193816943,9236
29,127,29127,Marion,Marion County,-91.6353791,39.8075383,Missouri,MO,444.30208331842,28672
29,177,29177,Ray,Ray County,-93.9957462,39.3084005,Missouri,MO,573.936101270808,22825
29,023,29023,Butler,Butler County,-90.40313,36.7151802,Missouri,MO,698.991705467854,42733
29,105,29105,Laclede,Laclede County,-92.594843,37.6596977,Missouri,MO,767.993783193645,35507
29,195,29195,Saline,Saline County,-93.2041639,39.1358403,Missouri,MO,766.916437706063,23102
29,071,29071,Franklin,Franklin County,-91.072832,38.4130031,Missouri,MO,930.685440788637,102781
29,041,29041,Chariton,Chariton County,-92.9616205,39.5179685,Missouri,MO,766.758466206718,7546
29,223,29223,Wayne,Wayne County,-90.4539307,37.1110737,Missouri,MO,774.064117808233,13308
29,039,29039,Cedar,Cedar County,-93.8500144,37.7336549,Missouri,MO,498.654320058591,13938
29,017,29017,Bollinger,Bollinger County,-90.0246452,37.3184272,Missouri,MO,621.197743330664,12281
29,175,29175,Randolph,Randolph County,-92.4929595,39.4392486,Missouri,MO,487.829312976736,24945
29,097,29097,Jasper,Jasper County,-94.3372594,37.2051967,Missouri,MO,641.272159753438,119238
29,149,29149,Oregon,Oregon County,-91.4018272,36.6853104,Missouri,MO,791.545050265288,10699
29,059,29059,Dallas,Dallas County,-93.0338146,37.6835825,Missouri,MO,542.846810404607,16499
