STATEFP,COUNTYFP,GEOID,NAME,NAMELSAD,longitude,latitude,state,ABBR,sq_miles,totalpop18
44,009,44009,Washington,Washington County,-71.6202819,41.396792,Rhode Island,RI,562.781480726046,126242
44,007,44007,Providence,Providence County,-71.5786246,41.8697678,Rhode Island,RI,435.686438005843,634533
44,001,44001,Bristol,Bristol County,-71.2866369,41.7068313,Rhode Island,RI,44.7337838755035,48900
44,005,44005,Newport,Newport County,-71.2836888,41.5025036,Rhode Island,RI,313.629021515295,83075
44,003,44003,Kent,Kent County,-71.5809243,41.6742448,Rhode Island,RI,188.137880745839,163861
