	NAICS_Sector	NAICS2012_TTL	state	relevant_naics	COUNTY	id	GEO_TTL	estab	emp	payann	estimate
0	11	Farm labor contractors and crew leaders	15	115115	1	15001	Hawaii County, Hawaii	1.0	0.0	84.16666666666667	0.8333333333333334
1	11	Farm labor contractors and crew leaders	15	115115	7	15007	Kauai County, Hawaii	1.0	0.0	505.0	1.0
2	11	Farm labor contractors and crew leaders	15	115115	9	15009	Maui County, Hawaii	1.0	0.0	252.5	1.0
3	11	Farm management services	15	115116	1	15001	Hawaii County, Hawaii	1.2	0.0	0.0	0.8
4	11	Finfish fishing	15	114111	1	15001	Hawaii County, Hawaii	2.125	2.9791666666666665	31.1875	0.75
5	11	Finfish fishing	15	114111	3	15003	Honolulu County, Hawaii	13.375	20.25	755.625	0.25
6	11	Finfish fishing	15	114111	7	15007	Kauai County, Hawaii	1.0	0.9444444444444443	47.27777777777777	1.0
7	11	Logging	15	113310	1	15001	Hawaii County, Hawaii	1.0	0.0	0.0	1.0
8	11	Postharvest crop activities (except cotton ginning)	15	115114	1	15001	Hawaii County, Hawaii	1.0	0.0	0.0	0.7142857142857143
9	11	Postharvest crop activities (except cotton ginning)	15	115114	9	15009	Maui County, Hawaii	1.0	0.0	0.0	0.7142857142857143
10	11	Shellfish fishing	15	114112	1	15001	Hawaii County, Hawaii	1.5	0.0	0.0	0.8333333333333334
11	11	Shellfish fishing	15	114112	3	15003	Honolulu County, Hawaii	1.0	0.0	0.0	1.0
12	11	Shellfish fishing	15	114112	7	15007	Kauai County, Hawaii	1.0	0.0	0.0	1.0
13	11	Shellfish fishing	15	114112	9	15009	Maui County, Hawaii	1.0	0.0	0.0	1.0
14	11	Soil preparation, planting, and cultivating	15	115112	1	15001	Hawaii County, Hawaii	1.0	0.0	0.0	0.5
15	11	Soil preparation, planting, and cultivating	15	115112	9	15009	Maui County, Hawaii	1.0	0.0	0.0	1.0
16	11	Support activities for animal production	15	115210	1	15001	Hawaii County, Hawaii	2.5714285714285716	4.816326530612245	128.92687074829934	0.7142857142857143
17	11	Support activities for animal production	15	115210	3	15003	Honolulu County, Hawaii	4.714285714285714	5.857142857142857	128.42857142857142	0.14285714285714285
18	11	Support activities for animal production	15	115210	9	15009	Maui County, Hawaii	1.0	4.5	80.54166666666666	1.0
19	11	Support activities for forestry	15	115310	1	15001	Hawaii County, Hawaii	1.0	0.0	0.0	0.8333333333333334
20	11	Timber tract operations	15	113110	7	15007	Kauai County, Hawaii	1.0	0.0	0.0	0.6666666666666666
21	21	All other nonmetallic mineral mining	15	212399	3	15003	Honolulu County, Hawaii	1.0	0.0	0.0	0.8333333333333334
22	21	Construction sand and gravel mining	15	212321	3	15003	Honolulu County, Hawaii	1.0	0.0	0.0	0.5
23	21	Crude petroleum and natural gas extraction	15	211111	1	15001	Hawaii County, Hawaii	1.0	0.0	0.0	1.0
24	21	Crude petroleum and natural gas extraction	15	211111	3	15003	Honolulu County, Hawaii	1.0	0.0	0.0	1.0
25	21	Crushed and broken limestone mining and quarrying	15	212312	7	15007	Kauai County, Hawaii	1.0	0.0	0.0	0.8333333333333334
26	21	Drilling oil and gas wells	15	213111	1	15001	Hawaii County, Hawaii	1.0	0.0	0.0	1.0
27	21	Drilling oil and gas wells	15	213111	3	15003	Honolulu County, Hawaii	1.0	0.0	0.0	0.8333333333333334
28	21	Other crushed and broken stone mining and quarrying	15	212319	3	15003	Honolulu County, Hawaii	1.0	0.0	0.0	0.7142857142857143
29	21	Other crushed and broken stone mining and quarrying	15	212319	7	15007	Kauai County, Hawaii	1.0	0.0	0.0	0.7142857142857143
30	21	Support activities for oil and gas operations	15	213112	3	15003	Honolulu County, Hawaii	1.0	0.0	0.0	0.8
31	22	Biomass electric power generation	15	221117	1	15001	Hawaii County, Hawaii	1.0	0.0	0.0	0.6
32	22	Biomass electric power generation	15	221117	3	15003	Honolulu County, Hawaii	1.0	0.0	0.0	1.0
33	22	Biomass electric power generation	15	221117	7	15007	Kauai County, Hawaii	1.0	0.0	0.0	0.6666666666666666
34	22	Electric bulk power transmission and control	15	221121	3	15003	Honolulu County, Hawaii	1.0	0.0	0.0	1.0
35	22	Electric power distribution	15	221122	3	15003	Honolulu County, Hawaii	3.0	0.0	0.0	0.6666666666666666
36	22	Electric power distribution	15	221122	7	15007	Kauai County, Hawaii	5.0	0.0	0.0	0.7142857142857143
37	22	Fossil fuel electric power generation	15	221112	1	15001	Hawaii County, Hawaii	1.5	0.0	0.0	0.625
38	22	Fossil fuel electric power generation	15	221112	3	15003	Honolulu County, Hawaii	5.875	0.0	0.0	0.625
39	22	Fossil fuel electric power generation	15	221112	9	15009	Maui County, Hawaii	3.5	0.0	0.0	0.625
40	22	Geothermal electric power generation	15	221116	1	15001	Hawaii County, Hawaii	1.0	0.0	0.0	0.7142857142857143
41	22	Geothermal electric power generation	15	221116	3	15003	Honolulu County, Hawaii	1.0	0.0	0.0	0.6666666666666666
42	22	Natural gas distribution	15	221210	3	15003	Honolulu County, Hawaii	4.0	0.0	0.0	0.7142857142857143
